lower,upper,quantity,interval,source,growth_rate_hr,condition,replicate
5.780687,15.3922,m_peri_ppc,95%,Caglar et al. 2017,0.6630116912775283,gluconate_growth,0.0
6.295637999999999,14.2249,m_peri_ppc,90%,Caglar et al. 2017,0.6630116912775283,gluconate_growth,0.0
6.918039,13.00046,m_peri_ppc,80%,Caglar et al. 2017,0.6630116912775283,gluconate_growth,0.0
7.3375155,12.224469999999998,m_peri_ppc,70%,Caglar et al. 2017,0.6630116912775283,gluconate_growth,0.0
7.4223756,12.086148,m_peri_ppc,68%,Caglar et al. 2017,0.6630116912775283,gluconate_growth,0.0
7.697572,11.624920000000001,m_peri_ppc,60%,Caglar et al. 2017,0.6630116912775283,gluconate_growth,0.0
8.02144,11.147975,m_peri_ppc,50%,Caglar et al. 2017,0.6630116912775283,gluconate_growth,0.0
8.334545,10.75292,m_peri_ppc,40%,Caglar et al. 2017,0.6630116912775283,gluconate_growth,0.0
8.633006,10.409035000000001,m_peri_ppc,30%,Caglar et al. 2017,0.6630116912775283,gluconate_growth,0.0
8.903464,10.09072,m_peri_ppc,20%,Caglar et al. 2017,0.6630116912775283,gluconate_growth,0.0
9.174205,9.766526,m_peri_ppc,10%,Caglar et al. 2017,0.6630116912775283,gluconate_growth,0.0
9.46647,9.46647,m_peri_ppc,median,Caglar et al. 2017,0.6630116912775283,gluconate_growth,0.0
5.43853275,14.41756,m_peri_ppc,95%,Caglar et al. 2017,0.7747553284413429,glucose_time_course,0.0
5.92135,13.358479999999998,m_peri_ppc,90%,Caglar et al. 2017,0.7747553284413429,glucose_time_course,0.0
6.521327,12.193909999999999,m_peri_ppc,80%,Caglar et al. 2017,0.7747553284413429,glucose_time_course,0.0
6.948143,11.4937,m_peri_ppc,70%,Caglar et al. 2017,0.7747553284413429,glucose_time_course,0.0
7.019088,11.382564,m_peri_ppc,68%,Caglar et al. 2017,0.7747553284413429,glucose_time_course,0.0
7.287546,10.981860000000001,m_peri_ppc,60%,Caglar et al. 2017,0.7747553284413429,glucose_time_course,0.0
7.6039425000000005,10.506875,m_peri_ppc,50%,Caglar et al. 2017,0.7747553284413429,glucose_time_course,0.0
7.882267,10.1249,m_peri_ppc,40%,Caglar et al. 2017,0.7747553284413429,glucose_time_course,0.0
8.168291499999999,9.798207,m_peri_ppc,30%,Caglar et al. 2017,0.7747553284413429,glucose_time_course,0.0
8.435410000000001,9.512406,m_peri_ppc,20%,Caglar et al. 2017,0.7747553284413429,glucose_time_course,0.0
8.696215500000001,9.24111,m_peri_ppc,10%,Caglar et al. 2017,0.7747553284413429,glucose_time_course,0.0
8.98447,8.98447,m_peri_ppc,median,Caglar et al. 2017,0.7747553284413429,glucose_time_course,0.0
5.9133095,15.7246575,m_peri_ppc,95%,Li et al. 2014,0.738700370046123,MOPS minimal,0.0
6.4261075,14.499419999999997,m_peri_ppc,90%,Li et al. 2014,0.738700370046123,MOPS minimal,0.0
7.050765,13.1995,m_peri_ppc,80%,Li et al. 2014,0.738700370046123,MOPS minimal,0.0
7.4887765,12.386735,m_peri_ppc,70%,Li et al. 2014,0.738700370046123,MOPS minimal,0.0
7.5639824,12.265331999999999,m_peri_ppc,68%,Li et al. 2014,0.738700370046123,MOPS minimal,0.0
7.876274,11.80992,m_peri_ppc,60%,Li et al. 2014,0.738700370046123,MOPS minimal,0.0
8.185435,11.32115,m_peri_ppc,50%,Li et al. 2014,0.738700370046123,MOPS minimal,0.0
8.476352,10.9332,m_peri_ppc,40%,Li et al. 2014,0.738700370046123,MOPS minimal,0.0
8.7649475,10.59267,m_peri_ppc,30%,Li et al. 2014,0.738700370046123,MOPS minimal,0.0
9.060186,10.24924,m_peri_ppc,20%,Li et al. 2014,0.738700370046123,MOPS minimal,0.0
