lower,upper,quantity,interval,phi_rib
0.099643925,0.14669744999999998,phi_mem_ppc,95%,0.0
0.10395245,0.1421773,phi_mem_ppc,90%,0.0
0.1084934,0.13744440000000002,phi_mem_ppc,80%,0.0
0.111163,0.13436715,phi_mem_ppc,70%,0.0
0.11163988000000001,0.13390116,phi_mem_ppc,68%,0.0
0.1133448,0.1321962,phi_mem_ppc,60%,0.0
0.1153195,0.13026574999999999,phi_mem_ppc,50%,0.0
0.1169871,0.1285691,phi_mem_ppc,40%,0.0
0.11856395,0.12702735,phi_mem_ppc,30%,0.0
0.1200592,0.1256394,phi_mem_ppc,20%,0.0
0.1214991,0.12427915,phi_mem_ppc,10%,0.0
0.122902,0.122902,phi_mem_ppc,median,0.0
0.099438625,0.1459897,phi_mem_ppc,95%,0.006081081081081081
0.1039607,0.14162005,phi_mem_ppc,90%,0.006081081081081081
0.1085634,0.1371621,phi_mem_ppc,80%,0.006081081081081081
0.1113317,0.13431030000000002,phi_mem_ppc,70%,0.006081081081081081
0.11183752000000001,0.13381196,phi_mem_ppc,68%,0.006081081081081081
0.11348820000000001,0.1318692,phi_mem_ppc,60%,0.006081081081081081
0.1153195,0.13001174999999998,phi_mem_ppc,50%,0.006081081081081081
0.1168874,0.12828530000000002,phi_mem_ppc,40%,0.006081081081081081
0.118417,0.12673105,phi_mem_ppc,30%,0.006081081081081081
0.1197686,0.125302,phi_mem_ppc,20%,0.006081081081081081
0.12106865,0.12393645,phi_mem_ppc,10%,0.006081081081081081
0.1224445,0.1224445,phi_mem_ppc,median,0.006081081081081081
0.0998016425,0.14550402499999998,phi_mem_ppc,95%,0.012162162162162163
0.10366979999999999,0.14106205,phi_mem_ppc,90%,0.012162162162162163
0.1082676,0.13672120000000001,phi_mem_ppc,80%,0.012162162162162163
0.11118884999999999,0.133799,phi_mem_ppc,70%,0.012162162162162163
0.111644,0.13330132,phi_mem_ppc,68%,0.012162162162162163
0.11340979999999999,0.131579,phi_mem_ppc,60%,0.012162162162162163
0.115164,0.12960875,phi_mem_ppc,50%,0.012162162162162163
0.116786,0.1280626,phi_mem_ppc,40%,0.012162162162162163
0.11832765,0.126591,phi_mem_ppc,30%,0.012162162162162163
0.1197212,0.1251248,phi_mem_ppc,20%,0.012162162162162163
0.12110510000000001,0.12377045,phi_mem_ppc,10%,0.012162162162162163
0.1225165,0.1225165,phi_mem_ppc,median,0.012162162162162163
0.09935756000000001,0.14462575,phi_mem_ppc,95%,0.018243243243243244
0.1037557,0.14059059999999998,phi_mem_ppc,90%,0.018243243243243244
0.1083373,0.13619540000000002,phi_mem_ppc,80%,0.018243243243243244
0.11116,0.13331905,phi_mem_ppc,70%,0.018243243243243244
0.11162284,0.132885,phi_mem_ppc,68%,0.018243243243243244
0.1133164,0.1312678,phi_mem_ppc,60%,0.018243243243243244
0.11510775000000001,0.129467,phi_mem_ppc,50%,0.018243243243243244
0.1167014,0.1278059,phi_mem_ppc,40%,0.018243243243243244
0.11819265000000001,0.12633640000000002,phi_mem_ppc,30%,0.018243243243243244
0.11949620000000001,0.1249832,phi_mem_ppc,20%,0.018243243243243244
0.12082265,0.12351445,phi_mem_ppc,10%,0.018243243243243244
0.122156,0.122156,phi_mem_ppc,median,0.018243243243243244
0.0994714675,0.14398102499999998,phi_mem_ppc,95%,0.024324324324324326
0.1038094,0.14014965,phi_mem_ppc,90%,0.024324324324324326
0.10843570000000001,0.1355951,phi_mem_ppc,80%,0.024324324324324326
0.111171,0.132908,phi_mem_ppc,70%,0.024324324324324326
0.11164884,0.13243616,phi_mem_ppc,68%,0.024324324324324326
0.1131716,0.1308734,phi_mem_ppc,60%,0.024324324324324326
0.114963,0.129048,phi_mem_ppc,50%,0.024324324324324326
0.116545,0.127447,phi_mem_ppc,40%,0.024324324324324326
0.11801629999999999,0.12604405,phi_mem_ppc,30%,0.024324324324324326
0.1194356,0.12460120000000001,phi_mem_ppc,20%,0.024324324324324326
0.1208051,0.1233048,phi_mem_ppc,10%,0.024324324324324326
0.122028,0.122028,phi_mem_ppc,median,0.024324324324324326
0.10013470000000001,0.14378407499999998,phi_mem_ppc,95%,0.030405405405405407
0.10399644999999999,0.13983465,phi_mem_ppc,90%,0.030405405405405407
0.1083741,0.13549,phi_mem_ppc,80%,0.030405405405405407
0.1109377,0.1326343,phi_mem_ppc,70%,0.030405405405405407
0.11144668,0.13220064,phi_mem_ppc,68%,0.030405405405405407
0.1130806,0.1305192,phi_mem_ppc,60%,0.030405405405405407
0.1148165,0.12872825000000002,phi_mem_ppc,50%,0.030405405405405407
0.116445,0.12708049999999999,phi_mem_ppc,40%,0.030405405405405407
0.117819,0.12569935000000002,phi_mem_ppc,30%,0.030405405405405407
0.1190882,0.1243314,phi_mem_ppc,20%,0.030405405405405407
0.1204292,0.12300125,phi_mem_ppc,10%,0.030405405405405407
0.121674,0.121674,phi_mem_ppc,median,0.030405405405405407
0.0998238125,0.14358534999999997,phi_mem_ppc,95%,0.03648648648648649
0.1038807,0.13959325,phi_mem_ppc,90%,0.03648648648648649
0.1082475,0.13503110000000002,phi_mem_ppc,80%,0.03648648648648649
0.11091285,0.13234145,phi_mem_ppc,70%,0.03648648648648649
0.11131268,0.13185716,phi_mem_ppc,68%,0.03648648648648649
0.1130138,0.13023479999999998,phi_mem_ppc,60%,0.03648648648648649
0.114872,0.12842350000000002,phi_mem_ppc,50%,0.03648648648648649
0.11636070000000001,0.12684330000000002,phi_mem_ppc,40%,0.03648648648648649
0.11766865,0.12532235,phi_mem_ppc,30%,0.03648648648648649
0.11899760000000001,0.1239986,phi_mem_ppc,20%,0.03648648648648649
0.12027155,0.12277735,phi_mem_ppc,10%,0.03648648648648649
0.121517,0.121517,phi_mem_ppc,median,0.03648648648648649
0.1002029,0.142706375,phi_mem_ppc,95%,0.04256756756756757
