lower,upper,quantity,interval,growth_rate_hr,condition,replicate,source
5.9423752499999996,8.579391750000001,sav_ppc,95%,0.3537727536958663,acetate,1.0,This Study
6.1818995,8.331017999999998,sav_ppc,90%,0.3537727536958663,acetate,1.0,This Study
6.427910000000001,8.069399,sav_ppc,80%,0.3537727536958663,acetate,1.0,This Study
6.599308,7.9115135,sav_ppc,70%,0.3537727536958663,acetate,1.0,This Study
6.6257368,7.8841092,sav_ppc,68%,0.3537727536958663,acetate,1.0,This Study
6.72736,7.783894,sav_ppc,60%,0.3537727536958663,acetate,1.0,This Study
6.8373675,7.6780975,sav_ppc,50%,0.3537727536958663,acetate,1.0,This Study
6.929348,7.582196,sav_ppc,40%,0.3537727536958663,acetate,1.0,This Study
7.01608,7.494981999999999,sav_ppc,30%,0.3537727536958663,acetate,1.0,This Study
7.09687,7.409298,sav_ppc,20%,0.3537727536958663,acetate,1.0,This Study
7.1762255,7.3318975,sav_ppc,10%,0.3537727536958663,acetate,1.0,This Study
7.254265,7.254265,sav_ppc,median,0.3537727536958663,acetate,1.0,This Study
6.12309,8.726475500000001,sav_ppc,95%,0.3851859922434523,acetate,2.0,This Study
6.351839,8.4911415,sav_ppc,90%,0.3851859922434523,acetate,2.0,This Study
6.603594,8.24078,sav_ppc,80%,0.3851859922434523,acetate,2.0,This Study
6.766425,8.083279000000001,sav_ppc,70%,0.3851859922434523,acetate,2.0,This Study
6.7968535999999995,8.0575664,sav_ppc,68%,0.3851859922434523,acetate,2.0,This Study
6.894678,7.952916,sav_ppc,60%,0.3851859922434523,acetate,2.0,This Study
7.0000275,7.8521825,sav_ppc,50%,0.3851859922434523,acetate,2.0,This Study
7.098157,7.758692,sav_ppc,40%,0.3851859922434523,acetate,2.0,This Study
7.1875729999999995,7.6723475,sav_ppc,30%,0.3851859922434523,acetate,2.0,This Study
7.265204,7.5861600000000005,sav_ppc,20%,0.3851859922434523,acetate,2.0,This Study
7.347415499999999,7.506335,sav_ppc,10%,0.3851859922434523,acetate,2.0,This Study
7.428325,7.428325,sav_ppc,median,0.3851859922434523,acetate,2.0,This Study
5.4186885,8.02004475,sav_ppc,95%,0.608803125485576,sorbitol,2.0,This Study
5.653668,7.799891,sav_ppc,90%,0.608803125485576,sorbitol,2.0,This Study
5.911125,7.544258,sav_ppc,80%,0.608803125485576,sorbitol,2.0,This Study
6.0687955,7.3780304999999995,sav_ppc,70%,0.608803125485576,sorbitol,2.0,This Study
6.091562000000001,7.351430799999999,sav_ppc,68%,0.608803125485576,sorbitol,2.0,This Study
6.186536,7.25432,sav_ppc,60%,0.608803125485576,sorbitol,2.0,This Study
6.300705,7.1510625,sav_ppc,50%,0.608803125485576,sorbitol,2.0,This Study
6.399624,7.055796,sav_ppc,40%,0.608803125485576,sorbitol,2.0,This Study
6.482992,6.9668719999999995,sav_ppc,30%,0.608803125485576,sorbitol,2.0,This Study
6.564196,6.881176,sav_ppc,20%,0.608803125485576,sorbitol,2.0,This Study
6.6419535000000005,6.7998005,sav_ppc,10%,0.608803125485576,sorbitol,2.0,This Study
6.7207550000000005,6.7207550000000005,sav_ppc,median,0.608803125485576,sorbitol,2.0,This Study
5.44645475,8.0433165,sav_ppc,95%,0.6189821322967243,sorbitol,1.0,This Study
5.687473000000001,7.8245949999999995,sav_ppc,90%,0.6189821322967243,sorbitol,1.0,This Study
5.946684,7.578365,sav_ppc,80%,0.6189821322967243,sorbitol,1.0,This Study
6.114574,7.4137450000000005,sav_ppc,70%,0.6189821322967243,sorbitol,1.0,This Study
6.1435964,7.3876996,sav_ppc,68%,0.6189821322967243,sorbitol,1.0,This Study
6.244014,7.28505,sav_ppc,60%,0.6189821322967243,sorbitol,1.0,This Study
6.34596,7.180655,sav_ppc,50%,0.6189821322967243,sorbitol,1.0,This Study
6.441662,7.087377,sav_ppc,40%,0.6189821322967243,sorbitol,1.0,This Study
6.5310765,6.9996085,sav_ppc,30%,0.6189821322967243,sorbitol,1.0,This Study
6.613996,6.918468,sav_ppc,20%,0.6189821322967243,sorbitol,1.0,This Study
6.6865795,6.844909,sav_ppc,10%,0.6189821322967243,sorbitol,1.0,This Study
6.76413,6.76413,sav_ppc,median,0.6189821322967243,sorbitol,1.0,This Study
5.414249249999999,8.027035999999999,sav_ppc,95%,0.6323276248776727,glycerol,2.0,This Study
5.657188,7.7942045,sav_ppc,90%,0.6323276248776727,glycerol,2.0,This Study
5.910887000000001,7.54327,sav_ppc,80%,0.6323276248776727,glycerol,2.0,This Study
6.075657,7.375835,sav_ppc,70%,0.6323276248776727,glycerol,2.0,This Study
6.1022940000000006,7.3476756,sav_ppc,68%,0.6323276248776727,glycerol,2.0,This Study
6.1951,7.2513440000000005,sav_ppc,60%,0.6323276248776727,glycerol,2.0,This Study
6.3084775,7.141435,sav_ppc,50%,0.6323276248776727,glycerol,2.0,This Study
6.39569,7.04733,sav_ppc,40%,0.6323276248776727,glycerol,2.0,This Study
6.4805065,6.960894000000001,sav_ppc,30%,0.6323276248776727,glycerol,2.0,This Study
6.561698,6.877140000000001,sav_ppc,20%,0.6323276248776727,glycerol,2.0,This Study
6.637835,6.7981620000000005,sav_ppc,10%,0.6323276248776727,glycerol,2.0,This Study
6.71985,6.71985,sav_ppc,median,0.6323276248776727,glycerol,2.0,This Study
5.54865975,8.203576749999998,sav_ppc,95%,0.6737871653670506,glycerol,1.0,This Study
5.802232,7.9531855,sav_ppc,90%,0.6737871653670506,glycerol,1.0,This Study
6.0494900000000005,7.685177,sav_ppc,80%,0.6737871653670506,glycerol,1.0,This Study
6.2128155000000005,7.5267475,sav_ppc,70%,0.6737871653670506,glycerol,1.0,This Study
6.241458,7.4999671999999995,sav_ppc,68%,0.6737871653670506,glycerol,1.0,This Study
6.339688,7.398886,sav_ppc,60%,0.6737871653670506,glycerol,1.0,This Study
6.4442825,7.296304999999999,sav_ppc,50%,0.6737871653670506,glycerol,1.0,This Study
6.54212,7.199216,sav_ppc,40%,0.6737871653670506,glycerol,1.0,This Study
6.630443,7.1134710000000005,sav_ppc,30%,0.6737871653670506,glycerol,1.0,This Study
6.7115920000000004,7.030164,sav_ppc,20%,0.6737871653670506,glycerol,1.0,This Study
6.792643,6.9521695,sav_ppc,10%,0.6737871653670506,glycerol,1.0,This Study
6.875725,6.875725,sav_ppc,median,0.6737871653670506,glycerol,1.0,This Study
5.86255825,8.49565775,sav_ppc,95%,0.7000527193406471,glucose+acetate,2.0,This Study
