strain,carbon_source,replicate,ug_rna_per_biomass,ug_protein_per_biomass,growth_rate_hr
wildtype,glycerol,1,74.4497084548105,265.1562827774281,0.7078284133458368
wildtype,glycerol,2,86.11809214970951,286.0038350514245,0.706268561645832
wildtype,glycerol,3,67.30015606034333,269.47005630150227,0.7598039580140293
wildtype,glucose,1,81.71122994652407,290.2554643889528,0.9354779026550559
wildtype,glucose,2,89.97445068983137,295.1128007317884,0.9371386616127587
wildtype,glucose,3,74.99934683213587,249.34457571157154,0.9333692108399839
wildtype,glucoseCAA,1,105.85833591091865,263.17295039761996,1.2716548642220722
wildtype,glucoseCAA,2,107.47461793309823,320.1439324787342,1.1639613255727217
wildtype,glucoseCAA,3,111.12796741115325,336.9727724667938,1.2613052744395035
wildtype,sorbitol,1,58.475531389026195,314.9962873059159,0.5038085629376987
wildtype,sorbitol,2,57.13216290883165,273.6072402529293,0.5488649479790477
wildtype,sorbitol,3,73.65783306291691,299.8105895305161,0.5120622389728829
wildtype,acetate,1,63.326058489742465,292.17657969282214,0.4647399346662649
wildtype,acetate,2,61.436464088397784,287.60530580105365,0.4758512609091788
wildtype,acetate,3,58.096296296296295,307.67079225228997,0.45014985217039516
wildtype,LB,1,155.2737978410206,266.80826515628274,1.9859655293861496
wildtype,LB,2,165.7614115841964,248.50333220377271,2.176565923999235
wildtype,LB,3,156.54795553043152,235.806081653215,2.110514083888657
