date,strain,carbon_source,run_no,technical_rep,n_events,cells_per_biomass
2022-11-17,wildtype,glucose,1,3.5,9537.333333333334,863888888.888889
2022-11-17,wildtype,glucoseCAA,1,3.5,10689.333333333334,738796735.1237493
2022-11-17,wildtype,glycerol,1,3.5,10070.166666666666,1174852777.7777777
2022-11-17,wildtype,sorbitol,1,3.5,12566.5,1081188544.7394297
2022-12-02,wildtype,LB,1,2.0,38816.666666666664,463997040.07285976
2022-12-02,wildtype,glucose,1,2.0,96933.66666666667,958383709.9811674
2022-12-02,wildtype,glucoseCAA,1,3.5,101550.33333333333,831990090.5118603
2022-12-02,wildtype,glycerol,1,2.5,96178.0,2280643631.4363146
2022-12-02,wildtype,sorbitol,1,2.5,178462.5,1544556750.74184
2022-12-15,wildtype,LB,1,2.5,5700.5,681412226.7759563
2022-12-15,wildtype,glucoseCAA,1,2.5,12345.0,823941647.597254
2022-12-15,wildtype,glycerol,1,2.5,12423.25,1420959967.3202615
2022-12-15,wildtype,sorbitol,1,2.5,13999.25,1687237431.1294765
2023-01-17,wildtype,LB,1,0.5,10583.5,613688701.1265738
2023-01-17,wildtype,LB,2,1.0,6062.333333333333,575954578.3568585
2023-01-17,wildtype,acetate,1,1.0,11743.333333333334,1476352969.3486588
2023-01-17,wildtype,acetate,2,1.0,18859.666666666668,1594416264.0901768
2023-01-17,wildtype,glucose,1,1.0,12089.333333333334,885943606.9235064
2023-01-17,wildtype,glucoseCAA,1,1.0,10917.0,844595490.7161804
2023-01-17,wildtype,glycerol,1,1.0,15268.666666666666,1817698412.6984127
2023-01-17,wildtype,sorbitol,1,1.0,16225.0,1307262891.344383
2023-01-19,wildtype,acetate,1,1.5,9724.25,1508638076.241135
2023-01-19,wildtype,acetate,2,1.5,8243.0,1092821969.6969697
2023-01-19,wildtype,glycerol,1,1.5,13965.5,1023434882.7470686
2023-01-19,wildtype,sorbitol,1,1.5,13303.75,1060180441.712204
