source,strain,condition,growth_rate_hr,allocation,mass_frac
Caglar et al. 2017,REL606,gluconate_growth,0.6630116912775283,phi_cyto,0.8658769673663816
Caglar et al. 2017,REL606,gluconate_growth,0.6630116912775283,phi_mem,0.08132261682034266
Caglar et al. 2017,REL606,gluconate_growth,0.6630116912775283,phi_peri,0.052503587313217595
Caglar et al. 2017,REL606,glucose_time_course,0.7747553284413429,phi_cyto,0.8523427331842834
Caglar et al. 2017,REL606,glucose_time_course,0.7747553284413429,phi_mem,0.10072106490199408
Caglar et al. 2017,REL606,glucose_time_course,0.7747553284413429,phi_peri,0.04649491212363179
Li et al. 2014,MG1655,MOPS complete,1.934364224818452,phi_cyto,0.8139837923520963
Li et al. 2014,MG1655,MOPS complete,1.934364224818452,phi_mem,0.14741038993203254
Li et al. 2014,MG1655,MOPS complete,1.934364224818452,phi_peri,0.015595134798668054
Li et al. 2014,MG1655,MOPS complete without methionine,1.5693898427772346,phi_cyto,0.8257497358676843
Li et al. 2014,MG1655,MOPS complete without methionine,1.5693898427772346,phi_mem,0.12177425148092795
Li et al. 2014,MG1655,MOPS complete without methionine,1.5693898427772346,phi_peri,0.03236835675204801
Li et al. 2014,MG1655,MOPS minimal,0.738700370046123,phi_cyto,0.769720292510956
Li et al. 2014,MG1655,MOPS minimal,0.738700370046123,phi_mem,0.16353818823297514
Li et al. 2014,MG1655,MOPS minimal,0.738700370046123,phi_peri,0.04780043065016484
Mori et al. 2021,EQ 59,0.2% melibiose,0.6817841120261757,phi_cyto,0.8036084013146
Mori et al. 2021,EQ 59,0.2% melibiose,0.6817841120261757,phi_mem,0.15242982354134998
Mori et al. 2021,EQ 59,0.2% melibiose,0.6817841120261757,phi_peri,0.043961790924
Mori et al. 2021,EQ353,0.2% glucose,0.69,phi_cyto,0.7861515133752868
Mori et al. 2021,EQ353,0.2% glucose,0.69,phi_mem,0.15267284034389483
Mori et al. 2021,EQ353,0.2% glucose,0.69,phi_peri,0.0634280028101642
Mori et al. 2021,NCM3722,0.2% galactose,0.4892803627481966,phi_cyto,0.73641834873835
Mori et al. 2021,NCM3722,0.2% galactose,0.4892803627481966,phi_mem,0.16412220161744
Mori et al. 2021,NCM3722,0.2% galactose,0.4892803627481966,phi_peri,0.099459437375
Mori et al. 2021,NCM3722,0.4% sodium acetate,0.5010702510071894,phi_cyto,0.8011790132247
Mori et al. 2021,NCM3722,0.4% sodium acetate,0.5010702510071894,phi_mem,0.14187790838376
Mori et al. 2021,NCM3722,0.4% sodium acetate,0.5010702510071894,phi_peri,0.0569430575554
Mori et al. 2021,NCM3722,10 mM glucose-6-phosphate + 10 mM gluconate,1.1240224549620734,phi_cyto,0.8250646084725
Mori et al. 2021,NCM3722,10 mM glucose-6-phosphate + 10 mM gluconate,1.1240224549620734,phi_mem,0.1458043541363
Mori et al. 2021,NCM3722,10 mM glucose-6-phosphate + 10 mM gluconate,1.1240224549620734,phi_peri,0.029131032968
Mori et al. 2021,NCM3722,12 mM arabinose,0.8487516496652392,phi_cyto,0.7993028558331
Mori et al. 2021,NCM3722,12 mM arabinose,0.8487516496652392,phi_mem,0.14678147349744
Mori et al. 2021,NCM3722,12 mM arabinose,0.8487516496652392,phi_peri,0.053915653896000004
Mori et al. 2021,NCM3722,20 mM mannitol,0.9041050181216675,phi_cyto,0.7982427184561
Mori et al. 2021,NCM3722,20 mM mannitol,0.9041050181216675,phi_mem,0.15496324730082
Mori et al. 2021,NCM3722,20 mM mannitol,0.9041050181216675,phi_peri,0.0467940317136
Mori et al. 2021,NCM3722,24 mM xylose + 20 mM oxaloacetate,0.8317766166719343,phi_cyto,0.798716973261
Mori et al. 2021,NCM3722,24 mM xylose + 20 mM oxaloacetate,0.8317766166719343,phi_mem,0.1542370110801
Mori et al. 2021,NCM3722,24 mM xylose + 20 mM oxaloacetate,0.8317766166719343,phi_peri,0.0470460083443
Mori et al. 2021,NCM3722,40 mM glycerol + 30 mM succinate,0.7701635339554948,phi_cyto,0.7861295853581
Mori et al. 2021,NCM3722,40 mM glycerol + 30 mM succinate,0.7701635339554948,phi_mem,0.15749447646394
Mori et al. 2021,NCM3722,40 mM glycerol + 30 mM succinate,0.7701635339554948,phi_peri,0.0563759386858
Mori et al. 2021,NQ1243,0.2% glucose,0.55,phi_cyto,0.743946779625
Mori et al. 2021,NQ1243,0.2% glucose,0.55,phi_mem,0.16454646379693
Mori et al. 2021,NQ1243,0.2% glucose,0.55,phi_peri,0.09015192169
Mori et al. 2021,NQ1243,0.2% glucose,0.56,phi_cyto,0.7581930553428695
Mori et al. 2021,NQ1243,0.2% glucose,0.56,phi_mem,0.1630767090573183
Mori et al. 2021,NQ1243,0.2% glucose,0.56,phi_peri,0.0826799027754996
Mori et al. 2021,NQ1243,0.2% glucose,0.69,phi_cyto,0.7779733080244
Mori et al. 2021,NQ1243,0.2% glucose,0.69,phi_mem,0.14867259495407
Mori et al. 2021,NQ1243,0.2% glucose,0.69,phi_peri,0.071756444226
Mori et al. 2021,NQ1243,0.2% glucose,0.71,phi_cyto,0.7716205231635
Mori et al. 2021,NQ1243,0.2% glucose,0.71,phi_mem,0.15065882445217002
Mori et al. 2021,NQ1243,0.2% glucose,0.71,phi_peri,0.07636628478100001
Mori et al. 2021,NQ1243,0.2% glucose,0.72,phi_cyto,0.7794546836588
Mori et al. 2021,NQ1243,0.2% glucose,0.72,phi_mem,0.14982185639583
Mori et al. 2021,NQ1243,0.2% glucose,0.72,phi_peri,0.069116160675
