date,carbon_source,strain,replicate,clock_time,od_600nm,inducer_conc
2024-08-27,glucoseCAA,meshI,1,10:24,0.019,0
2024-08-27,glucoseCAA,meshI,2,10:24,0.023,0
2024-08-27,glucoseCAA,meshI,1,10:24,0.031,100
2024-08-27,glucoseCAA,meshI,2,10:25,0.020,100
2024-08-27,glucoseCAA,relA,1,10:25,0.024,0
2024-08-27,glucoseCAA,relA,2,10:25,0.029,0
2024-08-27,glucoseCAA,relA,1,10:26,0.026,2
2024-08-27,glucoseCAA,relA,2,10:26,0.023,2
2024-08-27,glucoseCAA,relA,1,10:26,0.011,4
2024-08-27,glucoseCAA,relA,2,10:27,0.012,4
2024-08-27,glucoseCAA,meshI,1,10:51,0.056,0
2024-08-27,glucoseCAA,meshI,2,10:51,0.052,0
2024-08-27,glucoseCAA,meshI,1,10:52,0.058,100
2024-08-27,glucoseCAA,meshI,2,10:52,0.055,100
2024-08-27,glucoseCAA,relA,1,10:53,0.059,0
2024-08-27,glucoseCAA,relA,2,10:53,0.064,0
2024-08-27,glucoseCAA,relA,1,10:54,0.040,2
2024-08-27,glucoseCAA,relA,2,10:54,0.044,2
2024-08-27,glucoseCAA,relA,1,10:54,0.022,4
2024-08-27,glucoseCAA,relA,2,10:55,0.010,4
2024-08-27,glucoseCAA,meshI,1,11:28,0.138,0
2024-08-27,glucoseCAA,meshI,2,11:28,0.151,0
2024-08-27,glucoseCAA,meshI,1,11:29,0.140,100
2024-08-27,glucoseCAA,meshI,2,11:29,0.142,100
2024-08-27,glucoseCAA,relA,1,11:29,0.158,0
2024-08-27,glucoseCAA,relA,2,11:30,0.163,0
2024-08-27,glucoseCAA,relA,1,11:30,0.103,2
2024-08-27,glucoseCAA,relA,2,11:30,0.101,2
2024-08-27,glucoseCAA,relA,1,11:31,0.043,4
2024-08-27,glucoseCAA,relA,2,11:31,0.029,4
2024-08-27,glucoseCAA,meshI,1,11:44,0.172,0
2024-08-27,glucoseCAA,meshI,2,11:44,0.183,0
2024-08-27,glucoseCAA,meshI,1,11:44,0.163,100
2024-08-27,glucoseCAA,meshI,2,11:44,0.148,100
2024-08-27,glucoseCAA,relA,1,11:45,0.193,0
2024-08-27,glucoseCAA,relA,2,11:45,0.215,0
2024-08-27,glucoseCAA,relA,1,11:45,0.144,2
2024-08-27,glucoseCAA,relA,2,11:46,0.144,2
2024-08-27,glucoseCAA,relA,1,11:46,0.057,4
2024-08-27,glucoseCAA,relA,2,11:46,0.038,4
2024-08-27,glucoseCAA,meshI,1,12:02,0.264,0
2024-08-27,glucoseCAA,meshI,2,12:02,0.258,0
2024-08-27,glucoseCAA,meshI,1,12:03,0.187,100
2024-08-27,glucoseCAA,meshI,2,12:03,0.181,100
2024-08-27,glucoseCAA,relA,1,12:03,0.300,0
2024-08-27,glucoseCAA,relA,2,12:04,0.319,0
2024-08-27,glucoseCAA,relA,1,12:04,0.196,2
2024-08-27,glucoseCAA,relA,2,12:04,0.213,2
2024-08-27,glucoseCAA,relA,1,12:12,0.252,2
2024-08-27,glucoseCAA,relA,1,12:13,0.350,0
2024-08-27,glucoseCAA,relA,2,12:13,0.381,0
2024-08-27,glucoseCAA,relA,1,12:19,0.406,0
2024-08-27,glucoseCAA,relA,2,12:19,0.439,0
2024-08-27,glucoseCAA,meshI,1,12:30,0.438,0
2024-08-27,glucoseCAA,meshI,2,12:30,0.458,0
2024-08-27,glucoseCAA,meshI,1,12:31,0.245,100
2024-08-27,glucoseCAA,meshI,2,12:31,0.263,100
2024-08-27,glucoseCAA,meshI,1,12:47,0.303,100
2024-08-27,glucoseCAA,meshI,2,12:48,0.370,100
2024-08-27,glucoseCAA,relA,1,12:48,0.494,2
2024-08-27,glucoseCAA,relA,2,12:48,0.530,2
2024-08-27,glucoseCAA,relA,1,12:52,0.170,4
2024-08-27,glucoseCAA,relA,2,12:52,0.110,4
2024-08-27,glucoseCAA,meshI,1,13:05,0.383,100
2024-08-27,glucoseCAA,meshI,2,13:05,0.473,100
2024-08-27,glucoseCAA,relA,1,13:11,0.246,4
2024-08-27,glucoseCAA,relA,2,13:11,0.152,4
2024-08-27,glucoseCAA,relA,1,13:25,0.305,4
2024-08-27,glucoseCAA,relA,2,13:25,0.183,4
2024-08-27,glucoseCAA,relA,1,13:37,0.355,4
2024-08-27,glucoseCAA,relA,2,13:38,0.217,4
2024-08-27,glucoseCAA,relA,1,13:54,0.469,4
2024-08-27,glucoseCAA,relA,2,13:55,0.275,4
2024-08-27,glucoseCAA,relA,2,14:14,0.366,4
2024-08-27,glucoseCAA,relA,2,14:20,0.393,4
