strain,carbon_source,date,inducer_conc,replicate,entry,name,synonyms,intensity,norm_intensity,common_intensity,mass_frac,rel_mass_frac,localization
wildtype,glucose,2024-05-22,0,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0011669437610829,1.01052252162687,2302336100.0,0.0011669437610829,0.0005123412,phi_mem
wildtype,glucose+acetate,2024-05-22,0,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0009136571178142,0.768174646726193,2302336100.0,0.0009136571178142,0.0003894693209604,phi_mem
wildtype,glycerol,2024-05-22,0,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0009420526813881,0.748878548994806,2302336100.0,0.0009420526813881,0.0003796860794636,phi_mem
wildtype,sorbitol,2024-05-22,0,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0009773959798407,0.76088356513506,2302336100.0,0.0009773959798407,0.0003857726972714,phi_mem
wildtype,glucoseCAA,2024-05-24,0,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.001518258685721,1.26949152320615,2302336100.0,0.0015182586857211,0.0006436400935846,phi_mem
wildtype,LB,2024-05-24,0,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0018700657068335,1.57297820365789,2302336100.0,0.0018700657068335,0.000797509727085,phi_mem
wildtype,acetate,2024-05-25,0,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.000737344286485,0.590115641906021,2302336100.0,0.000737344286485,0.0002991922986794,phi_mem
meshI,glucose,2024-05-23,0,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0010303048986917,0.897807380656657,2302336100.0,0.0010303048986917,0.0004551939228765,phi_mem
meshI,glucose,2024-05-23,100,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0010915185969439,0.938545386376848,2302336100.0,0.0010915185969439,0.0004758483450093,phi_mem
relA,glucose,2024-05-23,0,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0010875803774887,0.90919533595189,2302336100.0,0.0010875803774887,0.0004609676870002,phi_mem
relA,glucose,2024-05-23,2,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0012875512124064,1.02269391409187,2302336100.0,0.0012875512124064,0.0005185121716386,phi_mem
relA,glucose,2024-05-25,4,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0013347759957816,1.01928254821033,2302336100.0,0.0013347759957816,0.0005167825879312,phi_mem
lacZ,glucose,2024-05-25,0,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0014146144844963,1.16949697103352,2302336100.0,0.0014146144844963,0.0005929422340543,phi_mem
lacZ,glucose,2024-05-28,1,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0014686753071962,1.19434021707253,2302336100.0,0.0014686753071962,0.0006055379142248,phi_mem
lacZ,glucose,2024-05-29,3,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0014000694904223,1.13782778488849,2302336100.0,0.0014000694904223,0.0005768857598191,phi_mem
lacZ,glucose,2024-05-25,5,1,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0013983530619606,1.14234200299174,2302336100.0,0.0013983530619606,0.0005791744964584,phi_mem
wildtype,glucose,2024-05-22,0,2,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0015650069238135,0.930891712494438,3568488600.0,0.0015650069238135,0.0005123412,phi_mem
wildtype,glucose+acetate,2024-05-22,0,2,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0014394510433819,0.826325199490469,3568488600.0,0.0014394510433819,0.0004547902173956,phi_mem
wildtype,glycerol,2024-05-22,0,2,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0015134222451606,0.798160260857484,3568488600.0,0.0015134222451606,0.0004392888886552,phi_mem
