strain,carbon_source,growth_rate_hr,fg_rna_per_cell,fg_protein_per_cell
wildtype,glycerol,0.7078284133458368,48.23378257923857,171.78697886733212
wildtype,glycerol,0.706268561645832,55.793386154214375,185.2934965497164
wildtype,glycerol,0.7598039580140293,43.6017972714261,174.5817462153139
wildtype,glucose,0.935477902655056,90.51481536635404,321.52765030504867
wildtype,glucose,0.9371386616127588,99.66831728281495,326.908317106072
wildtype,glucose,0.933369210839984,83.0797925273025,276.20901371702905
wildtype,glucoseCAA,1.2716548642220722,130.71657801323119,324.97268359264336
wildtype,glucoseCAA,1.1639613255727217,132.7124043525137,395.32190795569363
wildtype,glucoseCAA,1.2613052744395037,137.22365363627003,416.10258957364914
wildtype,sorbitol,0.5038085629376987,43.76631884459337,235.76062701126727
wildtype,sorbitol,0.5488649479790477,42.76086764417888,204.78277718304255
wildtype,sorbitol,0.5120622389728829,55.12959233814562,224.3948116876889
wildtype,acetate,0.4647399346662649,44.65691026981791,206.0400349154546
wildtype,acetate,0.4758512609091788,43.32438698257007,202.81641776839132
wildtype,acetate,0.4501498521703951,40.96893368363828,216.96640040339543
wildtype,LB,1.9859655293861496,265.98767224303333,457.0488412783141
wildtype,LB,2.176565923999235,283.9532015578216,425.6920600679516
wildtype,LB,2.110514083888657,268.170334370123,403.94137086739937
