carbon_source,date,inducer_conc,phi_cyto,phi_mem,phi_peri,phi_rib,replicate,strain,temperature_C,growth_rate_hr,length_um,periplasm_volume,sav_inv_um,surface_area_um2,volume_fL,width_um
glucose,2024-05-22,0,0.818,0.115,0.066,0.179,1,wildtype,37,0.859,2.626,0.13,6.671,5.467,0.835,0.663
glucose+acetate,2024-05-22,0,0.812,0.121,0.066,0.177,1,wildtype,37,0.854,2.536,0.125,6.699,5.257,0.796,0.661
glycerol,2024-05-22,0,0.787,0.116,0.097,0.156,1,wildtype,37,0.674,2.418,0.107,7.429,4.496,0.615,0.593
sorbitol,2024-05-22,0,0.784,0.113,0.102,0.153,1,wildtype,37,0.619,2.322,0.105,7.346,4.414,0.616,0.605
glucose,2024-05-22,0,0.796,0.128,0.074,0.193,2,wildtype,37,0.884,2.371,0.124,6.42,5.185,0.818,0.699
glucose+acetate,2024-05-22,0,0.8,0.129,0.069,0.187,2,wildtype,37,0.7,2.429,0.12,6.726,5.032,0.759,0.664
glycerol,2024-05-22,0,0.788,0.115,0.096,0.166,2,wildtype,37,0.632,2.27,0.101,7.361,4.277,0.588,0.603
sorbitol,2024-05-22,0,0.78,0.114,0.105,0.163,2,wildtype,37,0.609,2.316,0.107,7.181,4.506,0.643,0.621
glucose,2024-05-23,0,0.821,0.113,0.065,0.183,1,meshI,37,0.889,2.662,0.131,6.719,5.505,0.839,0.659
glucose,2024-05-23,100,0.826,0.106,0.067,0.177,1,meshI,37,0.721,2.393,0.134,6.029,5.62,0.947,0.751
glucose,2024-05-23,0,0.814,0.116,0.069,0.18,1,relA,37,0.831,2.404,0.124,6.51,5.19,0.813,0.688
glucose,2024-05-23,2,0.775,0.143,0.08,0.149,1,relA,37,0.595,2.175,0.107,6.776,4.515,0.673,0.664
glucose,2024-05-23,0,0.81,0.12,0.068,0.19,2,meshI,37,0.82,2.393,0.128,6.308,5.356,0.865,0.715
glucose,2024-05-23,100,0.82,0.111,0.068,0.185,2,meshI,37,0.667,2.511,0.141,6.013,5.904,1.003,0.75
glucose,2024-05-23,0,0.816,0.115,0.068,0.184,2,relA,37,0.765,2.472,0.12,6.893,5.037,0.755,0.647
LB,2024-05-24,0,0.849,0.114,0.036,0.286,1,wildtype,37,2.269,3.852,0.269,4.773,11.138,2.37,0.919
glucoseCAA,2024-05-24,0,0.827,0.115,0.057,0.202,1,wildtype,37,1.477,3.182,0.211,5.168,8.769,1.771,0.874
LB,2024-05-24,0,0.871,0.098,0.03,0.323,2,wildtype,37,2.273,4.212,0.296,4.736,12.256,2.649,0.924
glucoseCAA,2024-05-24,0,0.827,0.118,0.054,0.215,2,wildtype,37,1.303,3.341,0.22,5.17,9.125,1.828,0.864
glucose,2024-05-25,4,0.749,0.157,0.093,0.123,1,relA,37,0.434,2.1,0.1,7.05,4.209,0.607,0.64
acetate,2024-05-25,0,0.776,0.11,0.113,0.112,1,wildtype,37,0.354,2.045,0.091,7.507,3.841,0.522,0.598
glucose,2024-05-25,4,0.73,0.178,0.09,0.135,2,relA,37,0.405,1.976,0.095,7.069,3.991,0.576,0.644
acetate,2024-05-25,0,0.763,0.113,0.123,0.117,2,wildtype,37,0.385,2.064,0.093,7.361,3.945,0.544,0.61
glucose,2024-05-26,2,0.766,0.148,0.084,0.161,2,relA,37,0.575,2.162,0.1,7.234,4.233,0.605,0.623
glucoseCAA,2024-08-27,0,0.863,0.099,0.036,0.188,1,meshI,37,1.241,2.828,0.155,6.394,6.494,1.111,0.718
glucoseCAA,2024-08-27,100,0.874,0.089,0.035,0.189,1,meshI,37,0.774,3.305,0.221,5.229,9.153,1.876,0.869
glucoseCAA,2024-08-27,0,0.864,0.097,0.036,0.188,1,relA,37,1.315,3.079,0.186,5.576,7.754,1.431,0.797
glucoseCAA,2024-08-27,2,0.849,0.108,0.04,0.176,1,relA,37,1.311,3.001,0.176,5.761,7.322,1.315,0.771
glucoseCAA,2024-08-27,4,0.829,0.12,0.048,0.154,1,relA,37,1.006,2.502,0.125,6.69,5.226,0.797,0.663
glucoseCAA,2024-08-27,0,0.858,0.101,0.038,0.183,2,meshI,37,1.287,2.751,0.167,5.7,6.965,1.288,0.797
glucoseCAA,2024-08-27,100,0.871,0.091,0.036,0.181,2,meshI,37,0.901,3.368,0.221,5.522,9.164,1.882,0.838
glucoseCAA,2024-08-27,0,0.867,0.095,0.036,0.188,2,relA,37,1.322,2.697,0.156,6.025,6.492,1.148,0.753
glucoseCAA,2024-08-27,2,0.848,0.108,0.042,0.17,2,relA,37,1.354,2.73,0.158,5.84,6.58,1.152,0.766
glucoseCAA,2024-08-27,4,0.821,0.126,0.051,0.147,2,relA,37,0.857,2.299,0.114,6.736,4.795,0.723,0.663
