date,run_no,strain,carbon_source,od_600nm
2022-11-17,1,wildtype,glucoseCAA,0.32916
2022-11-17,1,wildtype,glucose,0.25116
2022-11-17,1,wildtype,sorbitol,0.26442
2022-11-17,1,wildtype,glycerol,0.195
2022-11-17,1,wildtype,LB,276.9
2022-11-17,1,lpp14,LB,0.14196
2022-11-17,1,lpp21,LB,0.12246
2022-12-02,1,wildtype,glucose,0.2301
2022-12-02,1,wildtype,glycerol,0.09594
2022-12-02,1,wildtype,sorbitol,0.26286
2022-12-02,1,wildtype,glucoseCAA,0.27768
2022-12-02,1,wildtype,LB,0.19032
2022-12-15,1,wildtype,LB,0.19032
2022-12-15,1,wildtype,glucose,0.19578
2022-12-15,1,wildtype,glycerol,0.1989
2022-12-15,1,wildtype,sorbitol,0.18876
2022-12-15,1,wildtype,glucoseCAA,0.34086
2022-12-15,1,wildtype,LB,0.35568
2022-12-15,1,lpp14,glucose,0.28626
2022-12-15,1,lpp14,LB,0.1794
2022-12-15,1,lpp21,glucose,0.15366
2022-12-15,1,lpp21,LB,0.14664
2023-01-17,1,wildtype,acetate,0.18096
2023-01-17,1,wildtype,glucose,0.31044
2023-01-17,1,wildtype,glucoseCAA,0.29406
2023-01-17,1,wildtype,glycerol,0.1911
2023-01-17,1,wildtype,LB,0.39234
2023-01-17,1,wildtype,sorbitol,0.28236
2023-01-17,2,wildtype,acetate,0.2691
2023-01-17,2,wildtype,LB,0.23946
2023-01-19,1,wildtype,acetate,0.14664
2023-01-19,1,wildtype,glycerol,0.31044
2023-01-19,1,wildtype,sorbitol,0.28548
2023-01-19,2,wildtype,acetate,0.1716
