clock_time,od_600nm,strain,overexpression,carbon_source,inducer_conc,inducer,temperature,run_idx
15:35,0.026,wildtype,rbsB,glucose,0,none,37,1
16:15,0.044,wildtype,rbsB,glucose,0,none,37,1
17:11,0.098,wildtype,rbsB,glucose,0,none,37,1
17:31,0.134,wildtype,rbsB,glucose,0,none,37,1
17:53,0.179,wildtype,rbsB,glucose,0,none,37,1
18:14,0.248,wildtype,rbsB,glucose,0,none,37,1
18:44,0.396,wildtype,rbsB,glucose,0,none,37,1
15:37,0.028,wildtype,lamB,glucose,0,none,37,5
16:17,0.049,wildtype,lamB,glucose,0,none,37,5
17:13,0.111,wildtype,lamB,glucose,0,none,37,5
17:33,0.149,wildtype,lamB,glucose,0,none,37,5
17:55,0.208,wildtype,lamB,glucose,0,none,37,5
18:16,0.286,wildtype,lamB,glucose,0,none,37,5
18:46,0.451,wildtype,lamB,glucose,0,none,37,5
15:39,0.103,wildtype,lacZ,glucose,0,none,37,9
16:12,0.157,wildtype,lacZ,glucose,0,none,37,9
17:06,0.329,wildtype,lacZ,glucose,0,none,37,9
17:16,0.369,wildtype,lacZ,glucose,0,none,37,9
17:26,0.438,wildtype,lacZ,glucose,0,none,37,9
12:45,0.038,wildtype,none,acetate,0,none,37,15
13:14,0.041,wildtype,none,acetate,0,none,37,15
13:46,0.05,wildtype,none,acetate,0,none,37,15
14:23,0.063,wildtype,none,acetate,0,none,37,15
14:44,0.071,wildtype,none,acetate,0,none,37,15
15:39,0.098,wildtype,none,acetate,0,none,37,15
16:22,0.127,wildtype,none,acetate,0,none,37,15
17:11,0.167,wildtype,none,acetate,0,none,37,15
17:39,0.198,wildtype,none,acetate,0,none,37,15
18:12,0.239,wildtype,none,acetate,0,none,37,15
12:45,0.098,malE-rbsB-fliC-KO,none,acetate,0,none,37,16
13:14,0.125,malE-rbsB-fliC-KO,none,acetate,0,none,37,16
13:46,0.16,malE-rbsB-fliC-KO,none,acetate,0,none,37,16
14:23,0.219,malE-rbsB-fliC-KO,none,acetate,0,none,37,16
14:44,0.259,malE-rbsB-fliC-KO,none,acetate,0,none,37,16
15:39,0.398,malE-rbsB-fliC-KO,none,acetate,0,none,37,16
16:22,0.556,malE-rbsB-fliC-KO,none,acetate,0,none,37,16
16:59,0.7,malE-rbsB-fliC-KO,none,acetate,0,none,37,16
12:45,0.089,malE-rbsB-fliC-KO,rbsB,acetate,0,none,37,16
13:14,0.111,malE-rbsB-fliC-KO,rbsB,acetate,0,none,37,16
13:46,0.142,malE-rbsB-fliC-KO,rbsB,acetate,0,none,37,16
14:23,0.198,malE-rbsB-fliC-KO,rbsB,acetate,0,none,37,16
14:44,0.228,malE-rbsB-fliC-KO,rbsB,acetate,0,none,37,16
