clock_time,od_600nm,strain,carbon_source,replicate,date,elapsed_time_hr
2022-12-12 12:29:00,0.043,WT,LB,1,2020-09-13,0.0
2022-12-12 12:48:00,0.098,WT,LB,1,2020-09-13,0.31666666666666700
2022-12-12 12:56:00,0.136,WT,LB,1,2020-09-13,0.45
2022-12-12 13:05:00,0.186,WT,LB,1,2020-09-13,0.6
2022-12-12 13:13:00,0.255,WT,LB,1,2020-09-13,0.7333333333333330
2022-12-12 13:25:00,0.376,WT,LB,1,2020-09-13,0.9333333333333330
2022-12-12 11:43:00,0.117,WT,LB,1,2021-08-04,0.0
2022-12-12 11:57:00,0.188,WT,LB,1,2021-08-04,0.23333333333333300
2022-12-12 12:15:00,0.35,WT,LB,1,2021-08-04,0.5333333333333330
2022-12-12 11:43:00,0.13,WT,LB,1,2021-08-05,0.0
2022-12-12 11:57:00,0.199,WT,LB,1,2021-08-05,0.23333333333333300
2022-12-12 12:15:00,0.36,WT,LB,1,2021-08-05,0.5333333333333330
2022-12-12 13:20:00,0.087,WT,LB,1,2022-03-14,0.0
2022-12-12 13:34:00,0.129,WT,LB,1,2022-03-14,0.23333333333333300
2022-12-12 13:46:00,0.187,WT,LB,1,2022-03-14,0.43333333333333300
2022-12-12 14:02:00,0.341,WT,LB,1,2022-03-14,0.7
2022-12-12 13:08:00,0.057,WT,LB,1,2022-03-15,0.0
2022-12-12 13:23:00,0.09,WT,LB,1,2022-03-15,0.25
2022-12-12 13:46:00,0.213,WT,LB,1,2022-03-15,0.6333333333333330
2022-12-12 14:02:00,0.358,WT,LB,1,2022-03-15,0.9
2022-12-12 11:44:00,0.059,WT,acetate,1,2020-07-30,1.0666666666666700
2022-12-12 12:17:00,0.072,WT,acetate,1,2020-07-30,1.6166666666666700
2022-12-12 12:49:00,0.089,WT,acetate,1,2020-07-30,2.1500000000000000
2022-12-12 13:13:00,0.101,WT,acetate,1,2020-07-30,2.55
2022-12-12 14:01:00,0.136,WT,acetate,1,2020-07-30,3.35
2022-12-12 14:29:00,0.162,WT,acetate,1,2020-07-30,3.816666666666670
2022-12-12 15:02:00,0.198,WT,acetate,1,2020-07-30,4.366666666666670
2022-12-12 15:21:00,0.222,WT,acetate,1,2020-07-30,4.683333333333330
2022-12-12 15:38:00,0.246,WT,acetate,1,2020-07-30,4.966666666666670
2022-12-12 15:58:00,0.278,WT,acetate,1,2020-07-30,5.3
2022-12-12 16:17:00,0.31,WT,acetate,1,2020-07-30,5.616666666666670
2022-12-12 16:30:00,0.33,WT,acetate,1,2020-07-30,5.833333333333330
2022-12-12 16:48:00,0.366,WT,acetate,1,2020-07-30,6.133333333333330
2022-12-12 16:57:00,0.383,WT,acetate,1,2020-07-30,6.283333333333330
2022-12-12 10:40:00,0.057,WT,acetate,2,2020-07-30,0.0
2022-12-12 11:44:00,0.085,WT,acetate,2,2020-07-30,1.0666666666666700
2022-12-12 12:17:00,0.099,WT,acetate,2,2020-07-30,1.6166666666666700
2022-12-12 12:49:00,0.125,WT,acetate,2,2020-07-30,2.1500000000000000
2022-12-12 13:13:00,0.142,WT,acetate,2,2020-07-30,2.55
2022-12-12 14:01:00,0.187,WT,acetate,2,2020-07-30,3.35
2022-12-12 14:29:00,0.221,WT,acetate,2,2020-07-30,3.816666666666670
2022-12-12 15:02:00,0.269,WT,acetate,2,2020-07-30,4.366666666666670
2022-12-12 15:21:00,0.301,WT,acetate,2,2020-07-30,4.683333333333330
2022-12-12 15:58:00,0.378,WT,acetate,2,2020-07-30,5.3
2022-12-12 12:17:00,0.052,WT,acetate,1,2020-08-03,0.0
2022-12-12 12:45:00,0.062,WT,acetate,1,2020-08-03,0.4666666666666670
2022-12-12 14:02:00,0.095,WT,acetate,1,2020-08-03,1.75
2022-12-12 14:33:00,0.111,WT,acetate,1,2020-08-03,2.266666666666670
2022-12-12 14:49:00,0.125,WT,acetate,1,2020-08-03,2.533333333333330
2022-12-12 15:30:00,0.158,WT,acetate,1,2020-08-03,3.216666666666670
2022-12-12 16:33:00,0.229,WT,acetate,1,2020-08-03,4.2666666666666700
2022-12-12 17:00:00,0.268,WT,acetate,1,2020-08-03,4.716666666666670
2022-12-12 17:16:00,0.293,WT,acetate,1,2020-08-03,4.983333333333330
2022-12-12 17:26:00,0.31,WT,acetate,1,2020-08-03,5.15
2022-12-12 14:13:00,0.049,WT,acetate,1,2020-08-04,0.0
2022-12-12 14:59:00,0.064,WT,acetate,1,2020-08-04,0.7666666666666670
2022-12-12 15:24:00,0.074,WT,acetate,1,2020-08-04,1.1833333333333300
2022-12-12 16:24:00,0.105,WT,acetate,1,2020-08-04,2.1833333333333300
2022-12-12 16:52:00,0.124,WT,acetate,1,2020-08-04,2.65
2022-12-12 17:27:00,0.148,WT,acetate,1,2020-08-04,3.2333333333333300
2022-12-12 17:49:00,0.163,WT,acetate,1,2020-08-04,3.6
2022-12-12 18:29:00,0.195,WT,acetate,1,2020-08-04,4.2666666666666700
2022-12-12 12:28:00,0.047,WT,acetate,1,2020-09-11,0.0
2022-12-12 13:21:00,0.063,WT,acetate,1,2020-09-11,0.8833333333333330
2022-12-12 14:11:00,0.083,WT,acetate,1,2020-09-11,1.7166666666666700
2022-12-12 15:01:00,0.108,WT,acetate,1,2020-09-11,2.55
2022-12-12 15:38:00,0.132,WT,acetate,1,2020-09-11,3.1666666666666700
2022-12-12 16:09:00,0.154,WT,acetate,1,2020-09-11,3.683333333333330
2022-12-12 16:39:00,0.181,WT,acetate,1,2020-09-11,4.183333333333330
2022-12-12 17:08:00,0.213,WT,acetate,1,2020-09-11,4.666666666666670
2022-12-12 17:27:00,0.235,WT,acetate,1,2020-09-11,4.983333333333330
2022-12-12 17:46:00,0.26,WT,acetate,1,2020-09-11,5.3
2022-12-12 18:00:00,0.281,WT,acetate,1,2020-09-11,5.533333333333330
2022-12-12 18:26:00,0.324,WT,acetate,1,2020-09-11,5.966666666666670
2022-12-12 18:37:00,0.345,WT,acetate,1,2020-09-11,6.15
2022-12-12 15:12:00,0.044,WT,acetate,1,2020-09-13,0.0
2022-12-12 15:29:00,0.051,WT,acetate,1,2020-09-13,0.2833333333333330
2022-12-12 15:54:00,0.06,WT,acetate,1,2020-09-13,0.7
2022-12-12 17:10:00,0.091,WT,acetate,1,2020-09-13,1.9666666666666700
2022-12-12 17:53:00,0.112,WT,acetate,1,2020-09-13,2.683333333333330
2022-12-12 17:59:00,0.118,WT,acetate,1,2020-09-13,2.783333333333330
2022-12-12 18:18:00,0.129,WT,acetate,1,2020-09-13,3.1
2022-12-12 18:33:00,0.145,WT,acetate,1,2020-09-13,3.35
2022-12-12 18:45:00,0.152,WT,acetate,1,2020-09-13,3.55
2022-12-12 18:51:00,0.158,WT,acetate,1,2020-09-13,3.65
2022-12-12 19:01:00,0.169,WT,acetate,1,2020-09-13,3.816666666666670
2022-12-12 18:48:00,0.365,WT,acetate,1,2020-09-18,4.3500000000000000
2022-12-12 14:27:00,0.051,WT,acetate,1,2020-09-18,0.0
2022-12-12 14:59:00,0.063,WT,acetate,1,2020-09-18,0.5333333333333330
2022-12-12 15:58:00,0.088,WT,acetate,1,2020-09-18,1.5166666666666700
2022-12-12 16:42:00,0.116,WT,acetate,1,2020-09-18,2.2500000000000000
2022-12-12 17:15:00,0.139,WT,acetate,1,2020-09-18,2.8
2022-12-12 17:54:00,0.177,WT,acetate,1,2020-09-18,3.45
2022-12-12 18:23:00,0.209,WT,acetate,1,2020-09-18,3.933333333333330
2022-12-12 18:51:00,0.241,WT,acetate,1,2020-09-18,4.4
2022-12-12 19:02:00,0.256,WT,acetate,1,2020-09-18,4.583333333333330
2022-12-12 13:14:00,0.041,WT,acetate,1,2020-09-29,0.0
2022-12-12 13:46:00,0.05,WT,acetate,1,2020-09-29,0.5333333333333330
2022-12-12 14:23:00,0.063,WT,acetate,1,2020-09-29,1.15
2022-12-12 14:44:00,0.071,WT,acetate,1,2020-09-29,1.5
2022-12-12 15:39:00,0.098,WT,acetate,1,2020-09-29,2.4166666666666700
2022-12-12 16:22:00,0.127,WT,acetate,1,2020-09-29,3.1333333333333300
2022-12-12 17:11:00,0.167,WT,acetate,1,2020-09-29,3.95
2022-12-12 17:39:00,0.198,WT,acetate,1,2020-09-29,4.416666666666670
2022-12-12 18:12:00,0.239,WT,acetate,1,2020-09-29,4.966666666666670
2022-12-12 12:45:00,0.068,WT,acetate,1,2020-09-30,0.0
2022-12-12 13:14:00,0.081,WT,acetate,1,2020-09-30,0.48333333333333300
2022-12-12 13:46:00,0.098,WT,acetate,1,2020-09-30,1.0166666666666700
2022-12-12 14:23:00,0.124,WT,acetate,1,2020-09-30,1.6333333333333300
2022-12-12 14:44:00,0.14,WT,acetate,1,2020-09-30,1.9833333333333300
2022-12-12 15:39:00,0.197,WT,acetate,1,2020-09-30,2.9
2022-12-12 16:22:00,0.252,WT,acetate,1,2020-09-30,3.6166666666666700
2022-12-12 16:59:00,0.314,WT,acetate,1,2020-09-30,4.233333333333330
2022-12-12 17:11:00,0.358,WT,acetate,1,2020-09-30,4.433333333333330
2022-12-12 17:39:00,0.399,WT,acetate,1,2020-09-30,4.9
2022-12-12 12:30:00,0.078,WT,acetate,1,2020-10-06,0.0
2022-12-12 12:55:00,0.088,WT,acetate,1,2020-10-06,0.4166666666666670
2022-12-12 13:27:00,0.103,WT,acetate,1,2020-10-06,0.95
2022-12-12 13:49:00,0.118,WT,acetate,1,2020-10-06,1.3166666666666700
2022-12-12 14:12:00,0.134,WT,acetate,1,2020-10-06,1.7
2022-12-12 14:33:00,0.15,WT,acetate,1,2020-10-06,2.0500000000000000
2022-12-12 14:56:00,0.17,WT,acetate,1,2020-10-06,2.433333333333330
2022-12-12 15:20:00,0.196,WT,acetate,1,2020-10-06,2.8333333333333300
2022-12-12 15:38:00,0.22,WT,acetate,1,2020-10-06,3.1333333333333300
2022-12-12 16:17:00,0.272,WT,acetate,1,2020-10-06,3.783333333333330
2022-12-12 16:35:00,0.298,WT,acetate,1,2020-10-06,4.083333333333330
2022-12-12 17:06:00,0.353,WT,acetate,1,2020-10-06,4.6
2022-12-12 17:26:00,0.397,WT,acetate,1,2020-10-06,4.933333333333330
2022-12-12 13:49:00,0.066,WT,acetate,1,2020-10-07,0.0
2022-12-12 14:12:00,0.074,WT,acetate,1,2020-10-07,0.38333333333333300
2022-12-12 14:33:00,0.082,WT,acetate,1,2020-10-07,0.7333333333333330
2022-12-12 14:56:00,0.093,WT,acetate,1,2020-10-07,1.1166666666666700
2022-12-12 15:20:00,0.107,WT,acetate,1,2020-10-07,1.5166666666666700
2022-12-12 15:38:00,0.117,WT,acetate,1,2020-10-07,1.8166666666666700
2022-12-12 16:17:00,0.149,WT,acetate,1,2020-10-07,2.466666666666670
2022-12-12 16:35:00,0.163,WT,acetate,1,2020-10-07,2.7666666666666700
