clock_time,od_600nm,strain,carbon_source,date
3:05,0.042,WT,glucoseCAA,2020-07-27
3:20,0.051,WT,glucoseCAA,2020-07-27
3:35,0.07,WT,glucoseCAA,2020-07-27
3:51,0.091,WT,glucoseCAA,2020-07-27
4:01,0.112,WT,glucoseCAA,2020-07-27
4:13,0.147,WT,glucoseCAA,2020-07-27
4:30,0.218,WT,glucoseCAA,2020-07-27
4:45,0.314,WT,glucoseCAA,2020-07-27
5:00,0.427,WT,glucoseCAA,2020-07-27
12:30,0.041,WT,glucose,2021-09-02
12:49,0.051,WT,glucose,2021-09-02
13:20,0.082,WT,glucose,2021-09-02
13:40,0.1,WT,glucose,2021-09-02
14:20,0.178,WT,glucose,2021-09-02
14:56,0.275,WT,glucose,2021-09-02
15:14,0.36,WT,glucose,2021-09-02
15:24,0.419,WT,glucose,2021-09-02
12:30,0.064,WT,glucoseCAA,2021-09-02
12:49,0.098,WT,glucoseCAA,2021-09-02
13:20,0.188,WT,glucoseCAA,2021-09-02
13:40,0.267,WT,glucoseCAA,2021-09-02
14:20,0.577,WT,glucoseCAA,2021-09-02
12:30,0.049,WT,glycerol,2021-09-02
12:49,0.061,WT,glycerol,2021-09-02
13:20,0.084,WT,glycerol,2021-09-02
14:20,0.15,WT,glycerol,2021-09-02
14:56,0.209,WT,glycerol,2021-09-02
15:14,0.259,WT,glycerol,2021-09-02
15:24,0.282,WT,glycerol,2021-09-02
15:58,0.397,WT,glycerol,2021-09-02
16:21,0.495,WT,glycerol,2021-09-02
12:30,0.153,WT,sorbitol,2021-09-02
12:49,0.18,WT,sorbitol,2021-09-02
13:20,0.227,WT,sorbitol,2021-09-02
13:40,0.253,WT,sorbitol,2021-09-02
14:20,0.334,WT,sorbitol,2021-09-02
14:56,0.416,WT,sorbitol,2021-09-02
12:28,0.047,WT,acetate,2020-09-11
13:21,0.063,WT,acetate,2020-09-11
14:11,0.083,WT,acetate,2020-09-11
15:01,0.108,WT,acetate,2020-09-11
15:38,0.132,WT,acetate,2020-09-11
16:09,0.154,WT,acetate,2020-09-11
16:39,0.181,WT,acetate,2020-09-11
17:08,0.213,WT,acetate,2020-09-11
17:27,0.235,WT,acetate,2020-09-11
17:46,0.26,WT,acetate,2020-09-11
18:00,0.281,WT,acetate,2020-09-11
18:26,0.324,WT,acetate,2020-09-11
18:37,0.345,WT,acetate,2020-09-11
18:48,0.365,WT,acetate,2020-09-18
14:27,0.051,WT,acetate,2020-09-18
14:59,0.063,WT,acetate,2020-09-18
15:58,0.088,WT,acetate,2020-09-18
16:42,0.116,WT,acetate,2020-09-18
17:15,0.139,WT,acetate,2020-09-18
17:54,0.177,WT,acetate,2020-09-18
18:23,0.209,WT,acetate,2020-09-18
18:51,0.241,WT,acetate,2020-09-18
19:02,0.256,WT,acetate,2020-09-18
12:45,0.038,WT,acetate,2020-09-29
13:14,0.041,WT,acetate,2020-09-29
13:46,0.05,WT,acetate,2020-09-29
14:23,0.063,WT,acetate,2020-09-29
14:44,0.071,WT,acetate,2020-09-29
15:39,0.098,WT,acetate,2020-09-29
16:22,0.127,WT,acetate,2020-09-29
17:11,0.167,WT,acetate,2020-09-29
17:39,0.198,WT,acetate,2020-09-29
18:12,0.239,WT,acetate,2020-09-29
12:45,0.068,WT,acetate,2020-09-30
13:14,0.081,WT,acetate,2020-09-30
13:46,0.098,WT,acetate,2020-09-30
14:23,0.124,WT,acetate,2020-09-30
14:44,0.14,WT,acetate,2020-09-30
15:39,0.197,WT,acetate,2020-09-30
16:22,0.252,WT,acetate,2020-09-30
16:59,0.314,WT,acetate,2020-09-30
