width_nm,frequency,source,notes
18,0.002,Asmar et al. 2017,Digitized from histogram in Fig. 1B (WT)
20,0.025,Asmar et al. 2017,Digitized from histogram in Fig. 1B (WT)
21,0.063,Asmar et al. 2017,Digitized from histogram in Fig. 1B (WT)
22,0.098,Asmar et al. 2017,Digitized from histogram in Fig. 1B (WT)
23,0.124,Asmar et al. 2017,Digitized from histogram in Fig. 1B (WT)
24,0.163,Asmar et al. 2017,Digitized from histogram in Fig. 1B (WT)
25,0.143,Asmar et al. 2017,Digitized from histogram in Fig. 1B (WT)
26,0.107,Asmar et al. 2017,Digitized from histogram in Fig. 1B (WT)
27,0.069,Asmar et al. 2017,Digitized from histogram in Fig. 1B (WT)
28,0.033,Asmar et al. 2017,Digitized from histogram in Fig. 1B (WT)
29,0.007,Asmar et al. 2017,Digitized from histogram in Fig. 1B (WT)
30,0.002,Asmar et al. 2017,Digitized from histogram in Fig. 1B (WT)
34,0.003,Asmar et al. 2017,Digitized from histogram in Fig. 1B (WT)
