strain,carbon_source,chlor_conc,growth_rate_hr,volume,length,width,aspect_ratio,surface_area,surface-to-volume,phi_Rb
NCM3722,TSB,0,1.7573,3.8902,4.3623,1.1435,3.8148,15.671,4.0284,0.19032
NCM3722,TSB,1,1.585,4.083,4.5152,1.1479,3.9334,16.283,3.988,0.21078
NCM3722,TSB,2,1.5019,3.5251,4.2286,1.1035,3.8319,14.66,4.1587,0.17799
NCM3722,TSB,4,1.3281,3.2573,4.0321,1.09,3.6992,13.807,4.2388,0.24110
NCM3722,TSB,6,1.3515,2.9446,3.8075,1.0705,3.5566,12.805,4.3487,0.23953
NCM3722,TSB,12,0.89489,3.253,3.6263,1.1661,3.1099,13.284,4.0837,0.29178
NCM3722,TSB,1,1.9324,3.4034,4.1477,1.1012,3.787,14.3,4.2353,0.18165
NCM3722,TSB,2,1.9202,3.2545,4.0468,1.092,3.7292,13.829,4.2936,0.17250
NCM3722,TSB,4,1.5697,3.004,3.8127,1.0856,3.5314,12.955,4.3502,0.20800
NCM3722,TSB,6,1.2732,2.727,3.4664,1.0956,3.1833,11.881,4.3905,0.21461
NCM3722,TSB,12,0.88187,2.8094,3.4273,1.1232,3.0771,12.03,4.3224,0.26472
NCM3722,TSB,15,0.53487,3.0558,3.43,1.1744,2.9458,12.601,4.1727,0.27995
NCM3722,MOPS glucose synthetic rich,0,1.7095,3.2427,4.3903,1.0278,4.2717,14.175,4.3715,0.21040
NCM3722,MOPS glucose synthetic rich,1,1.7591,2.8079,4.0852,0.99784,4.094,12.806,4.5609,0.2389
NCM3722,MOPS glucose synthetic rich,2,1.2626,2.2194,3.8474,0.91351,4.2117,11.042,4.975,0.2822
NCM3722,MOPS glucose synthetic rich,4,0.97244,1.821,3.4819,0.87305,3.9882,9.55,5.2443,0.29083
NCM3722,MOPS glucose synthetic rich,7,0.61099,1.8961,3.2749,0.92677,3.5337,9.535,5.0286,0.33917
NCM3722,MOPS glucose synthetic rich,0,1.9438,3.2485,4.3491,1.0371,4.1936,14.17,4.3619,0.19592
NCM3722,MOPS glucose synthetic rich,2,1.3661,2.3228,3.762,0.94891,3.9645,11.215,4.828,0.22531
NCM3722,MOPS glucose synthetic rich,4,1.0881,2.0327,3.573,0.9137,3.9105,10.256,5.0456,0.23984
NCM3722,MOPS glucose synthetic rich,6,0.90775,1.9626,3.3291,0.93572,3.5578,9.7863,4.9864,0.27008
NCM3722,MOPS glucose synthetic rich,8,0.65346,2.1171,3.2532,0.98714,3.2956,10.089,4.7654,0.32529
NCM3722,MOPS glucose synthetic rich,0,1.7703,3.2581,4.3014,1.0276,4.186,13.886,4.2619,0.20495
NCM3722,MOPS glucose synthetic rich,1,1.7968,3.0038,4.3109,0.98962,4.3561,13.403,4.4618,0.2157
NCM3722,MOPS glucose synthetic rich,2,1.7995,2.7988,4.0492,0.97856,4.1379,12.448,4.4478,0.20974
NCM3722,MOPS glucose synthetic rich,4,1.452,2.2103,3.7684,0.91888,4.1011,10.878,4.9216,0.22814
NCM3722,MOPS glucose synthetic rich,6,1.1318,2.1011,3.6854,0.91237,4.0394,10.564,5.0277,0.24711
NCM3722,MOPS glucose synthetic rich,8,0.99896,1.9198,3.5406,0.88907,3.9824,9.8894,5.1513,0.30114
NCM3722,MOPS glucose synthetic rich,10,0.85903,1.7959,3.3597,0.88469,3.7977,9.3378,5.1993,0.30025
NCM3722,MOPS glucose synthetic rich,12,0.79324,1.8682,3.4244,0.89552,3.8239,9.634,5.1569,0.3285
NCM3722,MOPS glucose synthetic rich,0,1.7077,3.391,4.2863,1.0739,4.0089,14.439,4.3058,0.17259
NCM3722,MOPS glucose synthetic rich,1,1.6268,3.0078,4.0983,1.035,3.9774,13.305,4.473,0.23258
NCM3722,MOPS glucose synthetic rich,2,0.97979,2.3905,3.886,0.94542,4.1282,11.521,4.8695,0.25595
NCM3722,MOPS glucose synthetic rich,4,0.9646,2.0235,3.6082,0.90573,4.0063,10.237,5.1066,0.22268
NCM3722,MOPS glucose synthetic rich,6,0.78478,1.8859,3.3043,0.92187,3.6121,9.5331,5.1108,0.29533
NCM3722,MOPS glucose synthetic rich,8,0.55261,2.8498,4.1663,0.99688,4.2042,13.01,4.6192,0.26546
NCM3722,MOPS glucose synthetic rich,10,0.37502,3.2597,3.9563,1.1062,3.609,13.707,4.273,0.40649
NCM3722,MOPS glucose synthetic rich,12,0.20596,3.4952,4.3231,1.082,4.0165,14.703,4.2987,0.40208
NCM3722,MOPS glucose + casamino acids,0,1.3168,1.9548,3.1518,0.96715,3.2589,9.5765,4.899,0.14759
NCM3722,MOPS glucose + casamino acids,2,1.1846,1.7484,2.9981,0.94092,3.1864,8.8624,5.0689,0.17490
NCM3722,MOPS glucose + casamino acids,4,0.89823,1.5187,2.8817,0.89404,3.2233,8.094,5.3296,0.16202
NCM3722,MOPS glucose + casamino acids,6,0.75717,1.56,2.8447,0.91245,3.1177,8.1545,5.2274,0.17281
NCM3722,MOPS glucose + casamino acids,8,0.56583,1.8524,2.9741,0.97507,3.0501,9.1103,4.918,0.17499
NCM3722,MOPS glucose + casamino acids,10,0.63145,2.107,3.189,0.99854,3.1936,10.004,4.7479,0.19223
NCM3722,MOPS glucose + casamino acids,12,0.41543,2.0087,3.1015,0.97999,3.1648,9.5486,4.7537,0.1871
NCM3722,MOPS glucose + casamino acids,15,0.28494,2.8217,3.769,1.0432,3.6129,12.352,4.3776,0.23530
NCM3722,MOPS glucose + casamino acids,0,1.4475,2.0507,3.2144,0.98074,3.2775,9.9038,4.8296,0.17034
NCM3722,MOPS glucose + casamino acids,2,1.2931,1.7009,2.94,0.93677,3.1384,8.6523,5.087,0.1842
NCM3722,MOPS glucose + casamino acids,4,1.1798,1.4831,2.7786,0.90002,3.0873,7.8565,5.2974,0.18412
NCM3722,MOPS glucose + casamino acids,6,1.0181,1.5078,2.8007,0.90419,3.0975,7.9557,5.2762,0.17474
NCM3722,MOPS glucose + casamino acids,8,0.70327,1.8112,2.8973,0.97859,2.9607,8.9072,4.9179,0.19771
NCM3722,MOPS glucose + casamino acids,10,0.50106,2.0603,3.0787,1.0081,3.054,9.7499,4.7322,0.22411
NCM3722,MOPS glucose + casamino acids,12,0.50106,2.3268,3.2894,1.0282,3.1992,10.626,4.5666,0.19729
NCM3722,MOPS glucose + 12 a. a.,0,1.3448,1.1798,3.562,0.68122,5.2289,7.6231,6.4613,0.20124
NCM3722,MOPS glucose + 12 a. a.,1,1.1843,1.0754,3.5342,0.65415,5.4027,7.263,6.7538,0.13682
NCM3722,MOPS glucose + 12 a. a.,2,1.3081,1.3471,3.4195,0.74999,4.5594,8.0569,5.9809,0.1930
NCM3722,MOPS glucose + 12 a. a.,4,1.0086,1.2587,3.439,0.71944,4.7801,7.7728,6.1752,0.26121
NCM3722,MOPS glucose + 12 a. a.,6,0.78276,1.1471,3.1433,0.72439,4.3392,7.1533,6.236,0.25931
NCM3722,MOPS glucose + 12 a. a.,8,0.49985,1.1481,3.0018,0.7436,4.0368,7.0125,6.1079,0.26926
NCM3722,MOPS glucose + 12 a. a.,10,0.37288,1.1761,3.0475,0.74749,4.077,7.1565,6.0849,0.33047
NCM3722,MOPS glucose + 12 a. a.,12,0.30566,1.3061,3.1097,0.78015,3.986,7.6216,5.8354,0.35305
NCM3722,MOPS glucose + 12 a. a.,0,1.503,1.6218,3.6432,0.79543,4.5802,9.1041,5.6135,0.17162
NCM3722,MOPS glucose + 12 a. a.,1,1.3993,1.6339,3.674,0.7984,4.6017,9.2153,5.64,0.19031
NCM3722,MOPS glucose + 12 a. a.,2,1.2312,1.5171,3.5161,0.78508,4.4787,8.6722,5.7161,0.20865
NCM3722,MOPS glucose + 12 a. a.,4,0.93059,1.5425,3.5195,0.79216,4.4429,8.7588,5.6783,0.21210
NCM3722,MOPS glucose + 12 a. a.,6,0.72311,1.3281,3.1582,0.78128,4.0423,7.7516,5.8367,0.20348
NCM3722,MOPS glucose + 12 a. a.,8,0.50109,1.4326,3.2813,0.78811,4.1635,8.1242,5.671,0.26671
NCM3722,MOPS glucose + 12 a. a.,10,0.35213,1.3129,3.1011,0.78031,3.9742,7.6021,5.7902,0.31643
NCM3722,MOPS glucose + 12 a. a.,12,0.27108,1.3589,3.1817,0.78643,4.0458,7.8609,5.7849,0.15855
NCM3722,MOPS glucose + 12 a. a.,0,1.5053,1.421,3.5191,0.75937,4.6614,8.3816,6.0025,0.18344
NCM3722,MOPS glucose + 12 a. a.,1,1.344,1.399,3.4912,0.75758,4.6452,8.2846,5.9997,0.25624
NCM3722,MOPS glucose + 12 a. a.,2,1.1744,1.3337,3.3361,0.75903,4.4244,7.9342,6.0251,0.21013
NCM3722,MOPS glucose + 12 a. a.,4,0.85972,1.2359,3.2298,0.74347,4.3805,7.5184,6.1566,0.21980
NCM3722,MOPS glucose + 12 a. a.,6,0.69024,1.3096,3.2264,0.76802,4.2364,7.7548,5.9842,0.2578
NCM3722,MOPS glucose + 12 a. a.,8,0.5441,1.2013,3.0834,0.75287,4.1342,7.2691,6.1404,0.22064
NCM3722,MOPS glucose + 12 a. a.,10,0.50647,1.2913,3.0924,0.78129,3.992,7.5675,5.9546,0.35254
NCM3722,MOPS glucose + 12 a. a.,12,0.31304,1.1813,2.9391,0.76797,3.8593,7.0729,6.0751,0.32100
NCM3722,MOPS glucose + 6 a. a.,0,1.2583,1.3684,3.0812,0.80728,3.8168,7.8144,5.7106,0.1900
NCM3722,MOPS glucose + 6 a. a.,1,1.2367,1.4025,3.0778,0.803,3.8329,7.7643,5.536,0.16438
NCM3722,MOPS glucose + 6 a. a.,2,0.9458,1.1185,2.8762,0.75595,3.8047,6.8306,6.1067,0.1712
NCM3722,MOPS glucose + 6 a. a.,3,0.95239,1.0574,2.7342,0.7564,3.6147,6.4973,6.1446,0.2026
NCM3722,MOPS glucose + 6 a. a.,4,0.76485,0.95781,2.6197,0.73492,3.5647,6.0486,6.315,0.17408
NCM3722,MOPS glucose + 6 a. a.,6,0.67825,0.97297,2.5756,0.75123,3.4285,6.0785,6.2473,0.16103
NCM3722,MOPS glucose + 6 a. a.,8,0.50873,0.9319,2.6074,0.72702,3.5865,5.9553,6.3905,0.2748
NCM3722,MOPS glucose + 6 a. a.,10,0.38495,0.97091,2.703,0.7263,3.7216,6.1676,6.3524,0.25168
NCM3722,MOPS glucose + 6 a. a.,0,1.3125,1.3559,2.9464,0.82656,3.5646,7.6509,5.6425,0.14428
NCM3722,MOPS glucose + 6 a. a.,1,1.2565,1.2969,3.0266,0.79059,3.8283,7.5171,5.7964,0.15402
NCM3722,MOPS glucose + 6 a. a.,2,0.99689,1.1527,2.8264,0.77648,3.6401,6.8947,5.9814,0.17656
NCM3722,MOPS glucose + 6 a. a.,3,0.99142,1.082,2.6659,0.77884,3.4229,6.5229,6.0286,0.1710
NCM3722,MOPS glucose + 6 a. a.,4,0.82257,1.0204,2.6326,0.75975,3.465,6.2835,6.1581,0.17684
NCM3722,MOPS glucose + 6 a. a.,6,0.64933,1.025,2.668,0.7524,3.5459,6.3064,6.1526,0.18864
NCM3722,MOPS glucose + 6 a. a.,8,0.51298,0.98459,2.6654,0.73723,3.6154,6.1733,6.2699,0.19519
NCM3722,MOPS glucose + 6 a. a.,10,0.4256,0.87158,2.7078,0.68097,3.9764,5.7928,6.6463,0.22594
