growth_rate_hr,volume_um3,length_um,width_um,aspect_ratio,phi_Rb
2.0023,3.8086,4.303,1.0809,3.9808,0.19650
1.9522,2.9365,4.2086,1.0006,4.206,0.22010
0.75155,0.89672,2.7009,0.69872,3.8655,0.1266
1.0344,0.96492,2.8449,0.70242,4.0502,0.13074
0.56926,0.60029,2.4865,0.59055,4.2106,0.11662
0.75501,0.51746,2.3497,0.56215,4.1799,0.08789
1.8144,2.8519,3.7332,1.0037,3.7194,0.1996
1.8154,2.8416,3.9132,1.004,3.8978,0.21533
1.4587,1.5949,2.922,0.88847,3.2888,0.16342
1.2686,0.85536,2.3728,0.70302,3.3752,0.13957
0.88083,0.93877,2.5736,0.72957,3.5276,0.12188
0.65611,0.63891,2.3783,0.6259,3.7998,0.09758
0.59741,0.59033,2.4229,0.59149,4.0963,0.0900
2.1133,3.7034,4.1452,1.1473,3.6131,0.16975
1.8779,3.2127,4.1946,1.0489,3.9991,0.15700
1.4313,1.8491,2.9609,0.97687,3.031,0.13001
1.2541,1.2597,3.1271,0.76763,4.0738,0.12561
1.0632,1.0256,3.0158,0.70278,4.2912,0.11537
0.75406,0.59587,2.4389,0.58318,4.1821,0.09460
0.78904,0.53503,2.5285,0.56388,4.4841,0.10405
1.8088,2.7472,4.2164,0.96547,4.3672,0.21452
1.5663,1.6133,3.6637,0.79141,4.6293,0.17232
1.1517,1.251,3.104,0.75998,4.0844,0.13524
1.1026,0.9888,2.9743,0.69354,4.2886,0.11516
0.62786,0.60901,2.5961,0.57831,4.4891,0.1159
1.7854,2.8417,4.7505,0.91737,5.1784,0.2029
1.0818,1.1972,2.6105,0.83267,3.1351,0.14689
0.83287,1.3071,2.8949,0.81908,3.5343,0.1312
0.73618,0.94738,2.5391,0.74507,3.4079,0.07322
0.69244,1.0629,2.7419,0.75812,3.6167,0.09943
0.31271,0.68302,2.2441,0.67452,3.327,0.06747
1.7662,3.276,4.8191,0.98167,4.9091,0.2061
1.0637,1.5763,2.7888,0.93224,2.9915,0.13029
0.80028,1.3394,3.0319,0.80649,3.7594,0.1302
0.82842,1.5766,2.9779,0.89043,3.3443,0.13102
0.70978,1.2677,2.7537,0.83331,3.3045,0.06856
0.66856,1.3869,2.8628,0.8529,3.3565,0.09927
0.4499,0.84411,2.5424,0.70192,3.6221,0.07542
1.6541,3.6638,5.1331,1.0049,5.1287,0.15845
1.4993,2.6674,5.0939,0.85385,5.988,0.15883
0.72045,0.98256,2.7276,0.73099,3.7564,0.12456
1.0654,1.3865,3.2073,0.79462,4.0599,0.11055
0.82866,1.1051,2.6302,0.79764,3.3194,0.04823
0.75346,1.1649,2.963,0.76129,3.9213,0.07669
0.41312,0.71863,2.4695,0.65682,3.7926,0.06257
1.7479,3.4662,4.9925,0.99168,5.0532,0.22790
1.4982,2.7158,5.0218,0.86968,5.8,0.19139
1.3375,2.6567,4.5603,0.9083,5.039,0.17170
1.0379,1.3573,3.2322,0.78224,4.1579,0.16821
0.79254,1.0872,2.6726,0.78249,3.4383,0.12463
0.75655,1.1741,2.909,0.77384,3.7891,0.12509
0.34007,0.79,2.6633,0.66014,4.0794,0.08912
