chlor_conc,growth_rate_hr,volume_um3,length_um,width_um,aspect_ratio,phi_Rb
0,1.7573,3.8902,4.3623,1.1435,3.8148,0.19032
1,1.585,4.083,4.5152,1.1479,3.9334,0.21078
2,1.5019,3.5251,4.2286,1.1035,3.8319,0.17799
4,1.3281,3.2573,4.0321,1.09,3.6992,0.24110
6,1.3515,2.9446,3.8075,1.0705,3.5566,0.23953
12,0.89489,3.253,3.6263,1.1661,3.1099,0.29178
1,1.9324,3.4034,4.1477,1.1012,3.787,0.18165
2,1.9202,3.2545,4.0468,1.092,3.7292,0.17250
4,1.5697,3.004,3.8127,1.0856,3.5314,0.20800
6,1.2732,2.727,3.4664,1.0956,3.1833,0.21461
12,0.88187,2.8094,3.4273,1.1232,3.0771,0.26472
15,0.53487,3.0558,3.43,1.1744,2.9458,0.27995
0,1.7095,3.2427,4.3903,1.0278,4.2717,0.21040
1,1.7591,2.8079,4.0852,0.99784,4.094,0.2389
2,1.2626,2.2194,3.8474,0.91351,4.2117,0.2822
4,0.97244,1.821,3.4819,0.87305,3.9882,0.29083
7,0.61099,1.8961,3.2749,0.92677,3.5337,0.33917
0,1.9438,3.2485,4.3491,1.0371,4.1936,0.19592
2,1.3661,2.3228,3.762,0.94891,3.9645,0.22531
4,1.0881,2.0327,3.573,0.9137,3.9105,0.23984
6,0.90775,1.9626,3.3291,0.93572,3.5578,0.27008
8,0.65346,2.1171,3.2532,0.98714,3.2956,0.32529
0,1.7703,3.2581,4.3014,1.0276,4.186,0.20495
1,1.7968,3.0038,4.3109,0.98962,4.3561,0.2157
2,1.7995,2.7988,4.0492,0.97856,4.1379,0.20974
4,1.452,2.2103,3.7684,0.91888,4.1011,0.22814
6,1.1318,2.1011,3.6854,0.91237,4.0394,0.24711
8,0.99896,1.9198,3.5406,0.88907,3.9824,0.30114
10,0.85903,1.7959,3.3597,0.88469,3.7977,0.30025
12,0.79324,1.8682,3.4244,0.89552,3.8239,0.3285
0,1.7077,3.391,4.2863,1.0739,4.0089,0.17259
1,1.6268,3.0078,4.0983,1.035,3.9774,0.23258
2,0.97979,2.3905,3.886,0.94542,4.1282,0.25595
4,0.9646,2.0235,3.6082,0.90573,4.0063,0.22268
6,0.78478,1.8859,3.3043,0.92187,3.6121,0.29533
8,0.55261,2.8498,4.1663,0.99688,4.2042,0.26546
10,0.37502,3.2597,3.9563,1.1062,3.609,0.40649
12,0.20596,3.4952,4.3231,1.082,4.0165,0.40208
0,1.3168,1.9548,3.1518,0.96715,3.2589,0.14759
2,1.1846,1.7484,2.9981,0.94092,3.1864,0.17490
4,0.89823,1.5187,2.8817,0.89404,3.2233,0.16202
6,0.75717,1.56,2.8447,0.91245,3.1177,0.17281
8,0.56583,1.8524,2.9741,0.97507,3.0501,0.17499
10,0.63145,2.107,3.189,0.99854,3.1936,0.19223
12,0.41543,2.0087,3.1015,0.97999,3.1648,0.1871
15,0.28494,2.8217,3.769,1.0432,3.6129,0.23530
0,1.4475,2.0507,3.2144,0.98074,3.2775,0.17034
2,1.2931,1.7009,2.94,0.93677,3.1384,0.1842
4,1.1798,1.4831,2.7786,0.90002,3.0873,0.18412
6,1.0181,1.5078,2.8007,0.90419,3.0975,0.17474
8,0.70327,1.8112,2.8973,0.97859,2.9607,0.19771
10,0.50106,2.0603,3.0787,1.0081,3.054,0.22411
12,0.50106,2.3268,3.2894,1.0282,3.1992,0.19729
0,1.3448,1.1798,3.562,0.68122,5.2289,0.20124
1,1.1843,1.0754,3.5342,0.65415,5.4027,0.13682
2,1.3081,1.3471,3.4195,0.74999,4.5594,0.1930
4,1.0086,1.2587,3.439,0.71944,4.7801,0.26121
6,0.78276,1.1471,3.1433,0.72439,4.3392,0.25931
8,0.49985,1.1481,3.0018,0.7436,4.0368,0.26926
10,0.37288,1.1761,3.0475,0.74749,4.077,0.33047
12,0.30566,1.3061,3.1097,0.78015,3.986,0.35305
0,1.503,1.6218,3.6432,0.79543,4.5802,0.17162
1,1.3993,1.6339,3.674,0.7984,4.6017,0.19031
2,1.2312,1.5171,3.5161,0.78508,4.4787,0.20865
4,0.93059,1.5425,3.5195,0.79216,4.4429,0.21210
6,0.72311,1.3281,3.1582,0.78128,4.0423,0.20348
8,0.50109,1.4326,3.2813,0.78811,4.1635,0.26671
10,0.35213,1.3129,3.1011,0.78031,3.9742,0.31643
12,0.27108,1.3589,3.1817,0.78643,4.0458,0.15855
0,1.5053,1.421,3.5191,0.75937,4.6614,0.18344
1,1.344,1.399,3.4912,0.75758,4.6452,0.25624
2,1.1744,1.3337,3.3361,0.75903,4.4244,0.21013
4,0.85972,1.2359,3.2298,0.74347,4.3805,0.21980
6,0.69024,1.3096,3.2264,0.76802,4.2364,0.2578
8,0.5441,1.2013,3.0834,0.75287,4.1342,0.22064
10,0.50647,1.2913,3.0924,0.78129,3.992,0.35254
12,0.31304,1.1813,2.9391,0.76797,3.8593,0.32100
0,1.2583,1.3684,3.0812,0.80728,3.8168,0.1900
1,1.2367,1.4025,3.0778,0.803,3.8329,0.16438
2,0.9458,1.1185,2.8762,0.75595,3.8047,0.1712
3,0.95239,1.0574,2.7342,0.7564,3.6147,0.2026
4,0.76485,0.95781,2.6197,0.73492,3.5647,0.17408
6,0.67825,0.97297,2.5756,0.75123,3.4285,0.16103
8,0.50873,0.9319,2.6074,0.72702,3.5865,0.2748
10,0.38495,0.97091,2.703,0.7263,3.7216,0.25168
0,1.3125,1.3559,2.9464,0.82656,3.5646,0.14428
1,1.2565,1.2969,3.0266,0.79059,3.8283,0.15402
2,0.99689,1.1527,2.8264,0.77648,3.6401,0.17656
3,0.99142,1.082,2.6659,0.77884,3.4229,0.1710
4,0.82257,1.0204,2.6326,0.75975,3.465,0.17684
6,0.64933,1.025,2.668,0.7524,3.5459,0.18864
8,0.51298,0.98459,2.6654,0.73723,3.6154,0.19519
10,0.4256,0.87158,2.7078,0.68097,3.9764,0.22594
0,1.1146,1.2903,3.1488,0.77295,4.0737,0.13335
1,1.0532,1.1074,2.9378,0.74286,3.9547,0.14291
2,0.98643,1.0748,2.8601,0.74348,3.847,0.14716
3,0.88372,0.97523,2.6964,0.7307,3.6901,0.14885
4,0.7331,0.95885,2.7212,0.72011,3.7788,0.15877
6,0.58057,0.90494,2.6166,0.7154,3.6575,0.17861
8,0.43425,0.86984,2.6739,0.68972,3.8767,0.18857
0,1.1547,1.3001,3.0873,0.78679,3.9471,0.1424
1,1.0672,1.161,2.9182,0.76677,3.8289,0.14243
2,0.99987,1.0419,2.7974,0.74197,3.7925,0.15420
3,0.92364,0.97205,2.7186,0.72803,3.7581,0.16599
4,0.81461,0.99981,2.7941,0.72595,3.8696,0.17997
6,0.68519,0.97412,2.7128,0.72946,3.7404,0.20790
8,0.61002,0.91266,2.7082,0.70496,3.863,0.18959
10,0.4819,0.94692,2.7331,0.71507,3.8437,0.20686
0,1.0276,1.0287,2.8811,0.72241,3.9881,0.12710
1,0.92638,0.87577,2.6361,0.69882,3.7722,0.11998
2,0.99015,0.86399,2.4566,0.72486,3.3891,0.12609
3,0.77351,0.82785,2.4104,0.71968,3.3493,0.15580
5,0.45261,0.74649,2.2983,0.69244,3.3192,0.23460
7,0.27229,0.76084,2.4643,0.67161,3.6692,0.29738
9,0.19119,0.76336,2.472,0.67329,3.6716,0.2920
0,1.058,0.89382,2.7862,0.6858,4.0627,0.11081
1,0.97615,0.85915,2.6785,0.68758,3.8955,0.11991
2,0.80351,0.79213,2.4981,0.68577,3.6427,0.13075
3,0.6899,0.73012,2.3746,0.67724,3.5062,0.12344
4,0.58911,0.69035,2.3426,0.66347,3.5309,0.13695
0,1.1048,1.0786,2.8931,0.73797,3.9203,0.14719
1,0.93339,1.005,2.7445,0.73361,3.7411,0.20685
2,0.75701,0.92607,2.5841,0.72862,3.5466,0.1821
3,0.67556,0.90458,2.5222,0.72982,3.4559,0.23024
4,0.59601,0.92134,2.5384,0.73376,3.4595,0.20848
6,0.44655,0.87196,2.5645,0.70552,3.6349,0.24935
8,0.35315,0.88538,2.5981,0.70622,3.679,0.26244
10,0.24271,1.003,2.7616,0.72917,3.7873,0.32396
0,1.0261,1.0445,2.8031,0.74277,3.7971,0.11836
1,0.87457,0.92645,2.6563,0.71949,3.7134,0.14218
2,0.74707,0.88557,2.5693,0.71653,3.6062,0.16811
3,0.66518,0.81756,2.4445,0.70806,3.4736,0.147
4,0.54311,0.7978,2.3872,0.70931,3.3853,0.16045
6,0.45503,0.78961,2.3914,0.70435,3.4141,0.22144
8,0.3437,0.84489,2.4349,0.72242,3.3875,0.26255
10,0.25179,0.88385,2.5252,0.72319,3.5093,0.25444
0,0.70007,0.57327,2.4369,0.58535,4.1632,0.17678
1,0.68014,0.57859,2.3126,0.60763,3.8059,0.22053
2,0.57929,0.58073,2.2121,0.62558,3.5361,0.258
3,0.42811,0.59554,2.1727,0.64155,3.3867,0.33981
4,0.36704,0.63059,2.2417,0.64913,3.4533,0.40636
0,0.75945,0.53591,2.3742,0.5196,4.5693,0.08784
1,0.66459,0.53286,2.1127,0.51366,4.113,0.10550
2,0.53543,0.53371,2.0184,0.50935,3.9627,0.12085
3,0.50237,0.55063,2.0283,0.51124,3.9675,0.13855
4,0.40893,0.58609,2.1514,0.50718,4.2418,0.14870
5,0.35485,0.60239,2.2321,0.5095,4.381,0.17464
6,0.31577,0.65671,2.4028,0.52158,4.6068,0.15696
0,0.64728,0.60875,2.4261,0.60204,4.0298,0.09566
1,0.56868,0.6005,2.2353,0.62639,3.5685,0.11591
2,0.47045,0.62711,2.2302,0.63987,3.4854,0.17469
3,0.42962,0.63657,2.2173,0.64761,3.4239,0.14272
4,0.3524,0.74551,2.3514,0.68303,3.4426,0.17048
5,0.30699,0.79937,2.4933,0.6815,3.6585,0.17187
5.5,0.29217,0.77014,2.5384,0.66209,3.8339,0.18745
6,0.23997,0.72394,2.4407,0.65592,3.7211,0.23531
0,0.64552,0.61189,2.5282,0.59351,4.2886,0.0856
1,0.589,0.59408,2.2437,0.62833,3.5909,0.11113
2,0.46026,0.59083,2.1433,0.64486,3.3415,0.11940
3,0.42746,0.64161,2.2014,0.66268,3.3381,0.14955
4,0.33567,0.67961,2.2971,0.66584,3.4687,0.15811
5,0.30831,0.71886,2.369,0.67322,3.5393,0.15400
5.5,0.2668,0.71954,2.3523,0.67647,3.4954,0.21015
6,0.24472,0.74334,2.3321,0.69251,3.3843,0.1735
0,0.6694,0.56932,2.3729,0.59255,4.0046,0.08796
0.15,0.60849,0.53904,2.2856,0.58833,3.8849,0.08796
0.3,0.45088,0.50594,2.2386,0.57481,3.8945,0.09429
0.5,0.44689,0.51376,2.1786,0.59062,3.6887,0.08955
0.75,0.40681,0.4775,2.0694,0.58619,3.5303,0.08712
1,0.32987,0.49862,2.1421,0.58574,3.6571,0.09172
2.5,0.25375,0.50209,1.9699,0.62231,3.1655,0.1124
0,0.35841,0.45099,2.0452,0.57288,3.5897,0.06854
0.2,0.32282,0.43232,2.0357,0.56201,3.6462,0.07167
0.4,0.28177,0.40341,1.9347,0.55856,3.481,0.07897
0.6,0.22507,0.38043,1.8331,0.55947,3.2939,0.08234
0.8,0.21122,0.39023,1.7873,0.57527,3.1212,0.07705
0,2.0023,3.8086,4.303,1.0809,3.9808,0.19650
0,1.9522,2.9365,4.2086,1.0006,4.206,0.22010
0,0.75155,0.89672,2.7009,0.69872,3.8655,0.1266
0,1.0344,0.96492,2.8449,0.70242,4.0502,0.13074
0,0.56926,0.60029,2.4865,0.59055,4.2106,0.11662
0,0.75501,0.51746,2.3497,0.56215,4.1799,0.08789
0,1.8144,2.8519,3.7332,1.0037,3.7194,0.1996
