,growth_rate_hr,fg_protein_per_cell,source,notes,Unnamed: 4,volume,density
0,1.27,399.7,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD,,1.4940057587829625,267.5357826770367
1,0.98,311.2,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD,,1.110691671502518,280.18576890831986
2,0.7,221.9,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD,,0.8342087027905951,266.00058145845287
3,0.45,221.1,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD,,0.6460643668167922,342.2259628547173
4,0.42,201.5,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD,,0.6265502638280924,321.6022905630535
5,1.84,959.2,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD,,2.6756532265966433,358.4918966573542
6,1.04,156.0,Neidhardt et al. 1992,From Bionumber BNID,,1.1809547518559043,132.0965089939657
7,0.416,136.0,Bremer & Dennis 2008,From table 1,,0.6239933111931465,217.95105421875832
8,0.693,214.0,Bremer & Dennis 2008,From table 1,,0.8282601110805033,258.3729400185978
9,1.04,295.0,Bremer & Dennis 2008,From table 1,,1.1809547518559043,249.79788559756335
10,1.386,387.0,Bremer & Dennis 2008,From table 1,,1.682115350111443,230.06745641692206
11,1.733,431.0,Bremer & Dennis 2008,From table 1,,2.398403701093831,179.70285811493514
12,2.079,426.0,Bremer & Dennis 2008,From table 1,,3.4162119039987506,124.69952449417956
13,0.416,101.0,Churchward et al. 1982,From Table 1,,0.6239933111931465,161.86070938304846
14,0.693,140.0,Churchward et al. 1982,From Table 1,,0.8282601110805033,169.02902618039104
15,1.04,246.0,Churchward et al. 1982,From Table 1,,1.1809547518559043,208.30603341356132
16,1.386,417.0,Churchward et al. 1982,From Table 1,,1.682115350111443,247.9021429608695
17,1.733,474.0,Churchward et al. 1982,From Table 1,,2.398403701093831,197.63144952779408
25,0.416,100.0,Dennis & Bremer 1987,Taken from Table 2,,0.6239933111931465,160.25812810202817
26,0.693,156.0,Dennis & Bremer 1987,Taken from Table 2,,0.8282601110805033,188.34662917243574
