time_hr,width_um,source,notes
0.058,0.542,Woldringh et al. 1980,Digitized from Fig. 1
0.048,0.549,Woldringh et al. 1980,Digitized from Fig. 1
0.119,0.550,Woldringh et al. 1980,Digitized from Fig. 1
0.048,0.560,Woldringh et al. 1980,Digitized from Fig. 1
0.028,0.579,Woldringh et al. 1980,Digitized from Fig. 1
0.201,0.570,Woldringh et al. 1980,Digitized from Fig. 1
0.292,0.611,Woldringh et al. 1980,Digitized from Fig. 1
0.404,0.612,Woldringh et al. 1980,Digitized from Fig. 1
0.546,0.601,Woldringh et al. 1980,Digitized from Fig. 1
0.668,0.630,Woldringh et al. 1980,Digitized from Fig. 1
0.972,0.652,Woldringh et al. 1980,Digitized from Fig. 1
1.094,0.671,Woldringh et al. 1980,Digitized from Fig. 1
0.800,0.691,Woldringh et al. 1980,Digitized from Fig. 1
1.470,0.730,Woldringh et al. 1980,Digitized from Fig. 1
1.327,0.741,Woldringh et al. 1980,Digitized from Fig. 1
1.175,0.760,Woldringh et al. 1980,Digitized from Fig. 1
1.267,0.790,Woldringh et al. 1980,Digitized from Fig. 1
1.723,0.811,Woldringh et al. 1980,Digitized from Fig. 1
1.591,0.831,Woldringh et al. 1980,Digitized from Fig. 1
1.865,0.841,Woldringh et al. 1980,Digitized from Fig. 1
2.018,0.821,Woldringh et al. 1980,Digitized from Fig. 1
2.180,0.811,Woldringh et al. 1980,Digitized from Fig. 1
2.343,0.902,Woldringh et al. 1980,Digitized from Fig. 1
2.698,0.943,Woldringh et al. 1980,Digitized from Fig. 1
2.871,0.922,Woldringh et al. 1980,Digitized from Fig. 1
3.084,0.973,Woldringh et al. 1980,Digitized from Fig. 1
3.348,0.922,Woldringh et al. 1980,Digitized from Fig. 1
3.825,0.952,Woldringh et al. 1980,Digitized from Fig. 1
4.058,0.943,Woldringh et al. 1980,Digitized from Fig. 1
4.332,0.893,Woldringh et al. 1980,Digitized from Fig. 1
4.952,0.964,Woldringh et al. 1980,Digitized from Fig. 1
5.662,0.933,Woldringh et al. 1980,Digitized from Fig. 1
0.129,0.591,Woldringh et al. 1980,Digitized from Fig. 1
0.282,0.591,Woldringh et al. 1980,Digitized from Fig. 1
-0.084,0.600,Woldringh et al. 1980,Digitized from Fig. 1
-0.673,0.600,Woldringh et al. 1980,Digitized from Fig. 1
0.424,0.644,Woldringh et al. 1980,Digitized from Fig. 1
0.668,0.644,Woldringh et al. 1980,Digitized from Fig. 1
0.942,0.663,Woldringh et al. 1980,Digitized from Fig. 1
0.840,0.702,Woldringh et al. 1980,Digitized from Fig. 1
1.043,0.712,Woldringh et al. 1980,Digitized from Fig. 1
1.206,0.693,Woldringh et al. 1980,Digitized from Fig. 1
1.317,0.839,Woldringh et al. 1980,Digitized from Fig. 1
1.723,0.870,Woldringh et al. 1980,Digitized from Fig. 1
1.997,0.905,Woldringh et al. 1980,Digitized from Fig. 1
2.282,0.932,Woldringh et al. 1980,Digitized from Fig. 1
2.404,0.932,Woldringh et al. 1980,Digitized from Fig. 1
2.739,0.953,Woldringh et al. 1980,Digitized from Fig. 1
3.195,0.974,Woldringh et al. 1980,Digitized from Fig. 1
3.825,0.933,Woldringh et al. 1980,Digitized from Fig. 1
