lower,upper,quantity,interval,growth_rate_hr
98.1230375,135.4026,M_prot_pred,95%,0.0
105.97762499999999,126.746625,M_prot_pred,75%,0.0
113.477625,118.975375,M_prot_pred,25%,0.0
116.312,116.312,M_prot_pred,median,0.0
99.252825,136.54737500000002,M_prot_pred,95%,0.01256281407035176
107.148125,127.956375,M_prot_pred,75%,0.01256281407035176
114.674,120.141125,M_prot_pred,25%,0.01256281407035176
117.46449999999999,117.46449999999999,M_prot_pred,median,0.01256281407035176
100.350925,137.707375,M_prot_pred,95%,0.02512562814070352
108.33462499999999,129.15087499999998,M_prot_pred,75%,0.02512562814070352
115.855125,121.3115,M_prot_pred,25%,0.02512562814070352
118.6525,118.6525,M_prot_pred,median,0.02512562814070352
101.5025,138.979725,M_prot_pred,95%,0.03768844221105528
109.53425,130.387125,M_prot_pred,75%,0.03768844221105528
117.0505,122.5275,M_prot_pred,25%,0.03768844221105528
119.8605,119.8605,M_prot_pred,median,0.03768844221105528
102.705425,140.22915,M_prot_pred,95%,0.05025125628140704
110.76537499999999,131.66525,M_prot_pred,75%,0.05025125628140704
118.283375,123.76525000000001,M_prot_pred,25%,0.05025125628140704
121.0685,121.0685,M_prot_pred,median,0.05025125628140704
103.95062499999999,141.41745,M_prot_pred,95%,0.0628140703517588
111.995875,132.917375,M_prot_pred,75%,0.0628140703517588
119.519,124.99475,M_prot_pred,25%,0.0628140703517588
122.291,122.291,M_prot_pred,median,0.0628140703517588
105.252125,142.555575,M_prot_pred,95%,0.07537688442211056
113.251125,134.17425,M_prot_pred,75%,0.07537688442211056
120.7505,126.235,M_prot_pred,25%,0.07537688442211056
123.53399999999999,123.53399999999999,M_prot_pred,median,0.07537688442211056
106.51535000000001,143.76265,M_prot_pred,95%,0.08793969849246232
114.52075,135.459875,M_prot_pred,75%,0.08793969849246232
122.02425,127.472375,M_prot_pred,25%,0.08793969849246232
124.8125,124.8125,M_prot_pred,median,0.08793969849246232
107.82925,145.00605,M_prot_pred,95%,0.10050251256281408
115.783625,136.710125,M_prot_pred,75%,0.10050251256281408
123.32625,128.728375,M_prot_pred,25%,0.10050251256281408
126.072,126.072,M_prot_pred,median,0.10050251256281408
109.19607500000001,146.25947499999998,M_prot_pred,95%,0.11306532663316583
117.105875,137.96725,M_prot_pred,75%,0.11306532663316583
124.612625,130.025,M_prot_pred,25%,0.11306532663316583
127.35849999999999,127.35849999999999,M_prot_pred,median,0.11306532663316583
110.4597,147.572575,M_prot_pred,95%,0.1256281407035176
118.415875,139.21687500000002,M_prot_pred,75%,0.1256281407035176
125.916875,131.324375,M_prot_pred,25%,0.1256281407035176
128.6615,128.6615,M_prot_pred,median,0.1256281407035176
111.74579999999999,148.9463,M_prot_pred,95%,0.13819095477386936
119.71875,140.520625,M_prot_pred,75%,0.13819095477386936
127.24025,132.63375,M_prot_pred,25%,0.13819095477386936
129.976,129.976,M_prot_pred,median,0.13819095477386936
113.122725,150.226875,M_prot_pred,95%,0.15075376884422112
121.052875,141.79775,M_prot_pred,75%,0.15075376884422112
128.5805,133.967875,M_prot_pred,25%,0.15075376884422112
131.291,131.291,M_prot_pred,median,0.15075376884422112
114.523825,151.508925,M_prot_pred,95%,0.16331658291457288
122.365625,143.106875,M_prot_pred,75%,0.16331658291457288
129.930875,135.30237499999998,M_prot_pred,25%,0.16331658291457288
132.615,132.615,M_prot_pred,median,0.16331658291457288
115.858475,152.792375,M_prot_pred,95%,0.17587939698492464
123.746875,144.426625,M_prot_pred,75%,0.17587939698492464
131.29137500000002,136.68875,M_prot_pred,25%,0.17587939698492464
133.973,133.973,M_prot_pred,median,0.17587939698492464
117.2326,154.13490000000002,M_prot_pred,95%,0.1884422110552764
125.11575,145.761875,M_prot_pred,75%,0.1884422110552764
132.63725,138.0875,M_prot_pred,25%,0.1884422110552764
135.339,135.339,M_prot_pred,median,0.1884422110552764
118.560575,155.5071,M_prot_pred,95%,0.20100502512562815
126.493375,147.104125,M_prot_pred,75%,0.20100502512562815
134.030875,139.485375,M_prot_pred,25%,0.20100502512562815
136.727,136.727,M_prot_pred,median,0.20100502512562815
119.9779,156.951025,M_prot_pred,95%,0.2135678391959799
127.932875,148.48262499999998,M_prot_pred,75%,0.2135678391959799
135.423125,140.85425,M_prot_pred,25%,0.2135678391959799
138.089,138.089,M_prot_pred,median,0.2135678391959799
121.37655,158.3992,M_prot_pred,95%,0.22613065326633167
129.321875,149.896125,M_prot_pred,75%,0.22613065326633167
136.82262500000002,142.2625,M_prot_pred,25%,0.22613065326633167
139.502,139.502,M_prot_pred,median,0.22613065326633167
122.740825,159.876825,M_prot_pred,95%,0.23869346733668342
130.74699999999999,151.30525,M_prot_pred,75%,0.23869346733668342
138.242,143.68375,M_prot_pred,25%,0.23869346733668342
140.91750000000002,140.91750000000002,M_prot_pred,median,0.23869346733668342
124.2046,161.35987500000002,M_prot_pred,95%,0.2512562814070352
132.228625,152.719875,M_prot_pred,75%,0.2512562814070352
139.678625,145.13225,M_prot_pred,25%,0.2512562814070352
142.368,142.368,M_prot_pred,median,0.2512562814070352
125.70975,162.854575,M_prot_pred,95%,0.26381909547738697
133.67249999999999,154.120625,M_prot_pred,75%,0.26381909547738697
141.129,146.57987500000002,M_prot_pred,25%,0.26381909547738697
143.8055,143.8055,M_prot_pred,median,0.26381909547738697
127.230975,164.31005,M_prot_pred,95%,0.2763819095477387
135.152,155.537,M_prot_pred,75%,0.2763819095477387
142.58462500000002,148.092875,M_prot_pred,25%,0.2763819095477387
145.28050000000002,145.28050000000002,M_prot_pred,median,0.2763819095477387
128.712325,165.7336,M_prot_pred,95%,0.2889447236180905
136.667875,157.02687500000002,M_prot_pred,75%,0.2889447236180905
144.09325,149.52425,M_prot_pred,25%,0.2889447236180905
146.78199999999998,146.78199999999998,M_prot_pred,median,0.2889447236180905
130.2115,167.179475,M_prot_pred,95%,0.30150753768844224
138.195,158.52325,M_prot_pred,75%,0.30150753768844224
145.59375,151.034,M_prot_pred,25%,0.30150753768844224
148.279,148.279,M_prot_pred,median,0.30150753768844224
131.7189,168.64702499999999,M_prot_pred,95%,0.314070351758794
139.6895,160.02525,M_prot_pred,75%,0.314070351758794
147.099,152.546,M_prot_pred,25%,0.314070351758794
149.7815,149.7815,M_prot_pred,median,0.314070351758794
133.256,170.21465,M_prot_pred,95%,0.32663316582914576
141.22275000000002,161.52025,M_prot_pred,75%,0.32663316582914576
148.639,154.04787499999998,M_prot_pred,25%,0.32663316582914576
151.31900000000002,151.31900000000002,M_prot_pred,median,0.32663316582914576
134.806475,171.756025,M_prot_pred,95%,0.3391959798994975
142.772375,163.036125,M_prot_pred,75%,0.3391959798994975
150.16525,155.592625,M_prot_pred,25%,0.3391959798994975
152.84550000000002,152.84550000000002,M_prot_pred,median,0.3391959798994975
136.436775,173.27505,M_prot_pred,95%,0.35175879396984927
144.39325,164.582,M_prot_pred,75%,0.35175879396984927
151.707375,157.144875,M_prot_pred,25%,0.35175879396984927
154.42649999999998,154.42649999999998,M_prot_pred,median,0.35175879396984927
137.960475,174.7664,M_prot_pred,95%,0.36432160804020103
145.98024999999998,166.210375,M_prot_pred,75%,0.36432160804020103
153.264875,158.71800000000002,M_prot_pred,25%,0.36432160804020103
155.9955,155.9955,M_prot_pred,median,0.36432160804020103
139.462875,176.26827500000002,M_prot_pred,95%,0.3768844221105528
147.58475,167.801625,M_prot_pred,75%,0.3768844221105528
154.85925,160.33175,M_prot_pred,25%,0.3768844221105528
157.58350000000002,157.58350000000002,M_prot_pred,median,0.3768844221105528
140.956975,177.86705,M_prot_pred,95%,0.38944723618090454
149.2055,169.429,M_prot_pred,75%,0.38944723618090454
156.491,161.936875,M_prot_pred,25%,0.38944723618090454
159.172,159.172,M_prot_pred,median,0.38944723618090454
142.63197499999998,179.382325,M_prot_pred,95%,0.4020100502512563
150.82512499999999,171.038375,M_prot_pred,75%,0.4020100502512563
158.11512499999998,163.566375,M_prot_pred,25%,0.4020100502512563
160.765,160.765,M_prot_pred,median,0.4020100502512563
144.294875,180.94895,M_prot_pred,95%,0.41457286432160806
152.504625,172.689,M_prot_pred,75%,0.41457286432160806
159.731,165.20925,M_prot_pred,25%,0.41457286432160806
162.3895,162.3895,M_prot_pred,median,0.41457286432160806
146.036925,182.589575,M_prot_pred,95%,0.4271356783919598
154.105875,174.31900000000002,M_prot_pred,75%,0.4271356783919598
161.35225,166.88487500000002,M_prot_pred,25%,0.4271356783919598
164.0735,164.0735,M_prot_pred,median,0.4271356783919598
147.739625,184.257325,M_prot_pred,95%,0.4396984924623116
155.758625,176.038125,M_prot_pred,75%,0.4396984924623116
162.999625,168.576875,M_prot_pred,25%,0.4396984924623116
165.7225,165.7225,M_prot_pred,median,0.4396984924623116
149.50982499999998,185.91862500000002,M_prot_pred,95%,0.45226130653266333
