dataset_name,growth_rate_hr,phi_M,value,quantity
Caglar et al. 2017,0.6630116912775283,0.02877455571655745,0.6921649999999999,width
Caglar et al. 2017,0.7747553284413429,0.026023711866876395,0.7166539999999999,width
Li et al. 2014,0.738700370046123,0.0283364855654049,0.708781,width
Mori et al. 2021,0.33,0.03936956426865001,0.6195685,width
Mori et al. 2021,0.34,0.0392432423405,0.62178,width
Mori et al. 2021,0.35,0.04011772019200001,0.623956,width
Mori et al. 2021,0.48,0.03626076542055,0.6523155,width
Mori et al. 2021,0.4892803627481966,0.0387774780657,0.654343,width
Mori et al. 2021,0.49,0.035770896333150004,0.654497,width
Mori et al. 2021,0.5,0.03561444182725,0.6566935,width
Mori et al. 2021,0.5010702510071894,0.02594478348352,0.6569245,width
Mori et al. 2021,0.55,0.0365858097165,0.667601,width
Mori et al. 2021,0.56,0.0650821791422,0.669729,width
Mori et al. 2021,0.6817841120261757,0.02538859017915,0.696267,width
Mori et al. 2021,0.69,0.13545394770325,0.6980805,width
Mori et al. 2021,0.71,0.029526866413550002,0.702504,width
Mori et al. 2021,0.72,0.028164713806900003,0.7046939999999999,width
Mori et al. 2021,0.7701635339554948,0.02170716832669,0.715649,width
Peebo et al. 2015,0.21,0.043479772439836605,0.5933835000000001,width
Peebo et al. 2015,0.22,0.03912741054291366,0.5955165,width
Peebo et al. 2015,0.25,0.04121303227441336,0.601986,width
Peebo et al. 2015,0.26,0.037517915606905296,0.6041775,width
Peebo et al. 2015,0.31,0.03951359183659189,0.6151225,width
Peebo et al. 2015,0.35,0.04139291579438344,0.623956,width
Peebo et al. 2015,0.36,0.03202192219321773,0.626189,width
Peebo et al. 2015,0.41,0.028009909937290235,0.6371195000000001,width
Peebo et al. 2015,0.42,0.042861841127342426,0.6393145,width
Peebo et al. 2015,0.45,0.03709219465096198,0.6457634999999999,width
Peebo et al. 2015,0.46,0.02368538280754122,0.6479005,width
Peebo et al. 2015,0.51,0.020813748884863353,0.6588565,width
Peebo et al. 2015,0.53,0.03206992338275532,0.663246,width
Peebo et al. 2015,0.55,0.03000545045678314,0.667601,width
Peebo et al. 2015,0.63,0.034020286449758304,0.685005,width
Peebo et al. 2015,0.65,0.0294035473540814,0.6893765000000001,width
Peebo et al. 2015,0.73,0.04341971823855215,0.7068749999999999,width
Peebo et al. 2015,0.74,0.027373133371870986,0.7090525000000001,width
Peebo et al. 2015,0.78,0.02243013345713464,0.717789,width
Schmidt et al. 2016,0.12,0.04234515996638932,0.573726,width
Schmidt et al. 2016,0.2,0.04416329772024715,0.591206,width
