lower,upper,quantity,interval,strain,carbon_source,overexpression,inducer,inducer_conc,temperature
0.24548465,0.40725680000000003,growth_mu,95%,wildtype,acetate,none,none,0.0,37.0
0.263799375,0.3758685,growth_mu,75%,wildtype,acetate,none,none,0.0,37.0
0.3000005,0.330609875,growth_mu,25%,wildtype,acetate,none,none,0.0,37.0
0.313554,0.313554,growth_mu,median,wildtype,acetate,none,none,0.0,37.0
0.33988965,0.6405217499999999,growth_mu,95%,wildtype,sorbitol,none,none,0.0,37.0
0.379653625,0.546778875,growth_mu,75%,wildtype,sorbitol,none,none,0.0,37.0
0.428022875,0.459629375,growth_mu,25%,wildtype,sorbitol,none,none,0.0,37.0
0.443017,0.443017,growth_mu,median,wildtype,sorbitol,none,none,0.0,37.0
0.5919966,0.66133775,growth_mu,95%,wildtype,glycerol,none,none,0.0,37.0
0.60350975,0.648746375,growth_mu,75%,wildtype,glycerol,none,none,0.0,37.0
0.619128,0.631861875,growth_mu,25%,wildtype,glycerol,none,none,0.0,37.0
0.6252655,0.6252655,growth_mu,median,wildtype,glycerol,none,none,0.0,37.0
0.84722825,0.8957416500000001,growth_mu,95%,wildtype,glucose,none,none,0.0,37.0
0.8543596250000001,0.8880132500000001,growth_mu,75%,wildtype,glucose,none,none,0.0,37.0
0.8667480000000001,0.875556875,growth_mu,25%,wildtype,glucose,none,none,0.0,37.0
0.871361,0.871361,growth_mu,median,wildtype,glucose,none,none,0.0,37.0
1.1595085,1.2331409999999998,growth_mu,95%,wildtype,glucoseCAA,none,none,0.0,37.0
1.1713175,1.21974875,growth_mu,75%,wildtype,glucoseCAA,none,none,0.0,37.0
1.18814,1.2013975000000001,growth_mu,25%,wildtype,glucoseCAA,none,none,0.0,37.0
1.1948400000000001,1.1948400000000001,growth_mu,median,wildtype,glucoseCAA,none,none,0.0,37.0
0.4666474,0.510973,growth_mu,95%,malE-rbsB-fliC-KO,acetate,none,none,0.0,37.0
0.474261125,0.5037603749999999,growth_mu,75%,malE-rbsB-fliC-KO,acetate,none,none,0.0,37.0
0.484717,0.49227424999999997,growth_mu,25%,malE-rbsB-fliC-KO,acetate,none,none,0.0,37.0
0.4883765,0.4883765,growth_mu,median,malE-rbsB-fliC-KO,acetate,none,none,0.0,37.0
0.26905895,0.39677385,growth_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,ctc,100.0,37.0
0.286993625,0.36853712499999997,growth_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,ctc,100.0,37.0
0.3138695,0.33490949999999997,growth_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,ctc,100.0,37.0
0.324241,0.324241,growth_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,ctc,100.0,37.0
0.3383624,0.49792725,growth_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,ctc,50.0,37.0
0.36255400000000004,0.4580085,growth_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,ctc,50.0,37.0
0.392658375,0.41679325,growth_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,ctc,50.0,37.0
0.40441649999999996,0.40441649999999996,growth_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,ctc,50.0,37.0
0.33787439999999996,0.59991105,growth_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,ctc,10.0,37.0
0.37406925,0.5186735,growth_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,ctc,10.0,37.0
0.416668125,0.449803,growth_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,ctc,10.0,37.0
0.43282,0.43282,growth_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,ctc,10.0,37.0
0.32409344999999995,0.64662025,growth_mu,95%,malE-rbsB-fliC-KO,acetate,malE,ctc,50.0,37.0
0.36562287499999996,0.5532738749999999,growth_mu,75%,malE-rbsB-fliC-KO,acetate,malE,ctc,50.0,37.0
0.42057662500000004,0.46659712499999995,growth_mu,25%,malE-rbsB-fliC-KO,acetate,malE,ctc,50.0,37.0
0.442037,0.442037,growth_mu,median,malE-rbsB-fliC-KO,acetate,malE,ctc,50.0,37.0
0.3386125,0.5785866999999998,growth_mu,95%,malE-rbsB-fliC-KO,acetate,malE,ctc,10.0,37.0
