lower,upper,quantity,interval,idx
0.47841285,0.517098075,w_min,95%,1
0.48646575,0.509289875,w_min,75%,1
0.49101825,0.5044547500000001,w_min,50%,1
0.494592,0.500788875,w_min,25%,1
0.49650364999999996,0.498998,w_min,10%,1
0.4977975,0.4977975,w_min,median,1
0.240121825,0.27585405,w_slope,95%,1
0.24744812500000002,0.26817825,w_slope,75%,1
0.25160275,0.2638035,w_slope,50%,1
0.2548655,0.260773875,w_slope,25%,1
0.2568534,0.25903345,w_slope,10%,1
0.257906,0.257906,w_slope,median,1
3.78511425,4.02732025,alpha,95%,1
3.8363525000000003,3.97807,alpha,75%,1
3.8660525,3.9489375,alpha,50%,1
3.88616875,3.92617,alpha,25%,1
3.898652,3.9136145,alpha,10%,1
3.906635,3.906635,alpha,median,1
259.22375,309.0402,rho_prot_min,95%,1
270.605125,298.69225,rho_prot_min,75%,1
276.5095,292.67724999999996,rho_prot_min,50%,1
280.961375,288.5405,rho_prot_min,25%,1
283.219,286.18850000000003,rho_prot_min,10%,1
284.7665,284.7665,rho_prot_min,median,1
-76.4670075,-33.69813,rho_prot_slope,95%,1
-67.58555,-43.3516375,rho_prot_slope,75%,1
-62.5203,-48.116675,rho_prot_slope,50%,1
-58.869749999999996,-52.1218375,rho_prot_slope,25%,1
-56.869445,-54.08863,rho_prot_slope,10%,1
-55.575199999999995,-55.575199999999995,rho_prot_slope,median,1
9.634038,10.599507500000001,m_peri_mu,95%,1
9.83609,10.3879625,m_peri_mu,75%,1
9.9645625,10.278525,m_peri_mu,50%,1
10.047062500000001,10.1958375,m_peri_mu,25%,1
10.0917,10.14899,m_peri_mu,10%,1
10.1214,10.1214,m_peri_mu,median,1
0.06828867000000001,0.08355517,w_sigma,95%,1
0.07104392500000001,0.080029275,w_sigma,75%,1
0.072824275,0.07802245000000001,w_sigma,50%,1
0.0741693125,0.07660875,w_sigma,25%,1
0.07484412,0.075787615,w_sigma,10%,1
0.07530625,0.07530625,w_sigma,median,1
0.4529168,0.5790891750000001,ell_sigma,95%,1
0.4761645,0.54827525,ell_sigma,75%,1
0.4897295,0.531297,ell_sigma,50%,1
0.499975875,0.5195805,ell_sigma,25%,1
0.5059273,0.5135167,ell_sigma,10%,1
0.5097875000000001,0.5097875000000001,ell_sigma,median,1
0.270576725,0.35507567500000004,vol_sigma,95%,1
0.2848205,0.335502625,vol_sigma,75%,1
0.2942725,0.3235175,vol_sigma,50%,1
0.301732625,0.314944,vol_sigma,25%,1
0.30585575,0.3108248,vol_sigma,10%,1
0.308346,0.308346,vol_sigma,median,1
0.0084252345,0.012080229999999999,phi_peri_sigma,95%,1
0.0089862075,0.011112325,phi_peri_sigma,75%,1
0.0093692725,0.010594425,phi_peri_sigma,50%,1
0.00968087,0.010240375,phi_peri_sigma,25%,1
0.0098460705,0.010062980000000001,phi_peri_sigma,10%,1
0.009956924999999998,0.009956924999999998,phi_peri_sigma,median,1
2.37129825,2.6440449999999998,rho_mem_mu,95%,1
2.4301025,2.58650375,rho_mem_mu,75%,1
2.4608775,2.553715,rho_mem_mu,50%,1
2.48482,2.52772125,rho_mem_mu,25%,1
2.497074,2.5149269999999997,rho_mem_mu,10%,1
2.506275,2.506275,rho_mem_mu,median,1
