lower,upper,quantity,interval,idx
0.47554582500000003,0.527912275,w_min,95%,1
0.486326875,0.517104,w_min,75%,1
0.49270175,0.51078275,w_min,50%,1
0.49746325,0.506026125,w_min,25%,1
0.5001077500000001,0.503517,w_min,10%,1
0.5018395,0.5018395,w_min,median,1
0.22841887500000002,0.27326504999999995,w_slope,95%,1
0.237846875,0.26372625,w_slope,75%,1
0.243046,0.25827825,w_slope,50%,1
0.247017,0.254145375,w_slope,25%,1
0.2491811,0.251991,w_slope,10%,1
0.25058400000000003,0.25058400000000003,w_slope,median,1
3.7589095,4.112921249999999,alpha,95%,1
3.8294837499999996,4.0385475,alpha,75%,1
3.8720975,3.9950525,alpha,50%,1
3.90447,3.96316,alpha,25%,1
3.92285,3.945489,alpha,10%,1
3.934075,3.934075,alpha,median,1
221.981825,293.5098499999999,rho_prot,95%,1
235.251,276.544125,rho_prot,75%,1
243.13175,267.48325,rho_prot,50%,1
249.227,260.90274999999997,rho_prot,25%,1
252.69255,257.2318,rho_prot,10%,1
254.96949999999998,254.96949999999998,rho_prot,median,1
8.54793575,11.3238025,m_peri,95%,1
9.071853749999999,10.6785,m_peri,75%,1
9.391025,10.331975,m_peri,50%,1
9.63487875,10.0758375,m_peri,25%,1
9.767372,9.940386,m_peri,10%,1
9.853335,9.853335,m_peri,median,1
0.08439234500000001,0.11526784999999992,w_sigma,95%,1
0.0895763625,0.107558375,w_sigma,75%,1
0.0927692,0.10337925,w_sigma,50%,1
0.09538988749999999,0.100412875,w_sigma,25%,1
0.096894555,0.098859235,w_sigma,10%,1
0.0978806,0.0978806,w_sigma,median,1
0.45510887499999997,0.5821270999999999,ell_sigma,95%,1
0.4782785,0.552735625,ell_sigma,75%,1
0.49246100000000004,0.53565125,ell_sigma,50%,1
0.50357725,0.5239755,ell_sigma,25%,1
0.50978055,0.517613,ell_sigma,10%,1
0.5137315,0.5137315,ell_sigma,median,1
0.2701538,0.35686802500000003,vol_sigma,95%,1
0.28516775,0.335986125,vol_sigma,75%,1
0.2947485,0.324522,vol_sigma,50%,1
0.30216725,0.31643275,vol_sigma,25%,1
0.30618675,0.31190490000000004,vol_sigma,10%,1
0.30881400000000003,0.30881400000000003,vol_sigma,median,1
0.00974978275,0.015014007499999999,phi_peri_sigma,95%,1
0.010573275,0.013657325000000001,phi_peri_sigma,75%,1
0.011102875,0.012887,phi_peri_sigma,50%,1
0.0115388625,0.0123786125,phi_peri_sigma,25%,1
0.011781255000000001,0.012113735,phi_peri_sigma,10%,1
0.01195005,0.01195005,phi_peri_sigma,median,1
0.01302228,0.019941734999999995,phi_mem_sigma,95%,1
0.0140682125,0.01806715,phi_mem_sigma,75%,1
0.01476055,0.017078925000000002,phi_mem_sigma,50%,1
0.0153301,0.0164102375,phi_mem_sigma,25%,1
0.015641855,0.016069025,phi_mem_sigma,10%,1
0.015852650000000003,0.015852650000000003,phi_mem_sigma,median,1
