lower,upper,quantity,interval,growth_rate_hr
20.552052500000002,325.7817750000001,prot_per_cell_rep,95%,0.0
42.425675,213.06,prot_per_cell_rep,75%,0.0
61.578625,158.541,prot_per_cell_rep,50%,0.0
80.6568125,126.36987500000001,prot_per_cell_rep,25%,0.0
92.80274,110.21565000000001,prot_per_cell_rep,10%,0.0
100.98849999999999,100.98849999999999,prot_per_cell_rep,median,0.0
21.635887500000003,345.9609250000001,prot_per_cell_rep,95%,0.003103103103103103
45.7852125,216.985875,prot_per_cell_rep,75%,0.003103103103103103
63.730500000000006,157.9765,prot_per_cell_rep,50%,0.003103103103103103
81.1093875,125.905625,prot_per_cell_rep,25%,0.003103103103103103
93.507075,110.49895000000002,prot_per_cell_rep,10%,0.003103103103103103
101.695,101.695,prot_per_cell_rep,median,0.003103103103103103
18.921965,350.8079000000001,prot_per_cell_rep,95%,0.006206206206206206
43.7146375,209.13162499999999,prot_per_cell_rep,75%,0.006206206206206206
62.227475,155.21949999999998,prot_per_cell_rep,50%,0.006206206206206206
80.6570125,124.27325,prot_per_cell_rep,25%,0.006206206206206206
92.35287,109.92940000000002,prot_per_cell_rep,10%,0.006206206206206206
100.9435,100.9435,prot_per_cell_rep,median,0.006206206206206206
22.3228175,346.8948250000001,prot_per_cell_rep,95%,0.009309309309309309
44.045137499999996,215.613,prot_per_cell_rep,75%,0.009309309309309309
63.851825000000005,161.80399999999997,prot_per_cell_rep,50%,0.009309309309309309
82.1541,127.117,prot_per_cell_rep,25%,0.009309309309309309
93.351755,110.89320000000002,prot_per_cell_rep,10%,0.009309309309309309
101.5475,101.5475,prot_per_cell_rep,median,0.009309309309309309
21.125242500000002,342.4140750000001,prot_per_cell_rep,95%,0.012412412412412413
43.835350000000005,215.25,prot_per_cell_rep,75%,0.012412412412412413
63.53805,160.31025,prot_per_cell_rep,50%,0.012412412412412413
82.6737125,126.58987499999999,prot_per_cell_rep,25%,0.012412412412412413
94.03125999999999,111.7198,prot_per_cell_rep,10%,0.012412412412412413
102.5245,102.5245,prot_per_cell_rep,median,0.012412412412412413
21.15072,357.79045000000013,prot_per_cell_rep,95%,0.015515515515515516
