lower,upper,quantity,interval,source,growth_rate_hr
8.828769,10.4779525,ms_m_peri,95%,Caglar et al. 2017,0.6630116912775283
9.173893750000001,10.11445,ms_m_peri,75%,Caglar et al. 2017,0.6630116912775283
9.77284375,9.51198125,ms_m_peri,25%,Caglar et al. 2017,0.6630116912775283
9.64465,9.64465,ms_m_peri,median,Caglar et al. 2017,0.6630116912775283
8.309187750000001,9.7947675,ms_m_peri,95%,Caglar et al. 2017,0.7747553284413429
8.6109475,9.472156250000001,ms_m_peri,75%,Caglar et al. 2017,0.7747553284413429
9.1594975,8.92790875,ms_m_peri,25%,Caglar et al. 2017,0.7747553284413429
9.04165,9.04165,ms_m_peri,median,Caglar et al. 2017,0.7747553284413429
9.621444,11.368525,ms_m_peri,95%,Li et al. 2014,0.738700370046123
9.97879125,10.985299999999999,ms_m_peri,75%,Li et al. 2014,0.738700370046123
10.6220625,10.3489625,ms_m_peri,25%,Li et al. 2014,0.738700370046123
10.4863,10.4863,ms_m_peri,median,Li et al. 2014,0.738700370046123
13.3315775,16.5494725,ms_m_peri,95%,Li et al. 2014,1.5693898427772346
13.9618,15.792887499999999,ms_m_peri,75%,Li et al. 2014,1.5693898427772346
15.1274875,14.61875,ms_m_peri,25%,Li et al. 2014,1.5693898427772346
14.873850000000001,14.873850000000001,ms_m_peri,median,Li et al. 2014,1.5693898427772346
7.934246249999999,10.457645,ms_m_peri,95%,Li et al. 2014,1.934364224818452
8.41047375,9.85294125,ms_m_peri,75%,Li et al. 2014,1.934364224818452
9.311736250000001,8.923285,ms_m_peri,25%,Li et al. 2014,1.934364224818452
9.13279,9.13279,ms_m_peri,median,Li et al. 2014,1.934364224818452
9.46630025,11.6527425,ms_m_peri,95%,Mori et al. 2021,0.33
9.90411375,11.1787,ms_m_peri,75%,Mori et al. 2021,0.33
10.712937499999999,10.3572875,ms_m_peri,25%,Mori et al. 2021,0.33
10.5268,10.5268,ms_m_peri,median,Mori et al. 2021,0.33
9.4662475,11.641385,ms_m_peri,95%,Mori et al. 2021,0.34
9.906108750000001,11.17325,ms_m_peri,75%,Mori et al. 2021,0.34
10.708725000000001,10.3560375,ms_m_peri,25%,Mori et al. 2021,0.34
10.5254,10.5254,ms_m_peri,median,Mori et al. 2021,0.34
9.721936249999999,11.941980000000001,ms_m_peri,95%,Mori et al. 2021,0.35
10.168012500000001,11.4627,ms_m_peri,75%,Mori et al. 2021,0.35
10.988575,10.6298,ms_m_peri,25%,Mori et al. 2021,0.35
10.80465,10.80465,ms_m_peri,median,Mori et al. 2021,0.35
9.818679,11.8757375,ms_m_peri,95%,Mori et al. 2021,0.48
10.230662500000001,11.4206,ms_m_peri,75%,Mori et al. 2021,0.48
10.9833,10.6529375,ms_m_peri,25%,Mori et al. 2021,0.48
10.82095,10.82095,ms_m_peri,median,Mori et al. 2021,0.48
10.5081775,12.692960000000001,ms_m_peri,95%,Mori et al. 2021,0.4892803627481966
10.9470375,12.2119875,ms_m_peri,75%,Mori et al. 2021,0.4892803627481966
11.7447625,11.396587499999999,ms_m_peri,25%,Mori et al. 2021,0.4892803627481966
11.574300000000001,11.574300000000001,ms_m_peri,median,Mori et al. 2021,0.4892803627481966
9.784051750000001,11.816260000000002,ms_m_peri,95%,Mori et al. 2021,0.49
10.192,11.3689,ms_m_peri,75%,Mori et al. 2021,0.49
10.934975000000001,10.6100125,ms_m_peri,25%,Mori et al. 2021,0.49
10.7756,10.7756,ms_m_peri,median,Mori et al. 2021,0.49
9.772777999999999,11.788635000000001,ms_m_peri,95%,Mori et al. 2021,0.5
10.1764,11.3460125,ms_m_peri,75%,Mori et al. 2021,0.5
10.9159,10.593175,ms_m_peri,25%,Mori et al. 2021,0.5
10.75475,10.75475,ms_m_peri,median,Mori et al. 2021,0.5
7.2450315,8.73906275,ms_m_peri,95%,Mori et al. 2021,0.5010702510071894
7.54421,8.411013749999999,ms_m_peri,75%,Mori et al. 2021,0.5010702510071894
8.09217875,7.85224,ms_m_peri,25%,Mori et al. 2021,0.5010702510071894
7.9722349999999995,7.9722349999999995,ms_m_peri,median,Mori et al. 2021,0.5010702510071894
10.5004225,12.577865000000001,ms_m_peri,95%,Mori et al. 2021,0.55
10.922537499999999,12.1338375,ms_m_peri,75%,Mori et al. 2021,0.55
11.6885125,11.3539625,ms_m_peri,25%,Mori et al. 2021,0.55
11.52135,11.52135,ms_m_peri,median,Mori et al. 2021,0.55
7.987554,9.474650500000001,ms_m_peri,95%,Mori et al. 2021,0.6817841120261757
8.29577375,9.14537375,ms_m_peri,75%,Mori et al. 2021,0.6817841120261757
8.837315,8.60354625,ms_m_peri,25%,Mori et al. 2021,0.6817841120261757
8.722705,8.722705,ms_m_peri,median,Mori et al. 2021,0.6817841120261757
9.579815,11.3439725,ms_m_peri,95%,Mori et al. 2021,0.71
9.943785,10.95875,ms_m_peri,75%,Mori et al. 2021,0.71
10.5920375,10.3133625,ms_m_peri,25%,Mori et al. 2021,0.71
10.45245,10.45245,ms_m_peri,median,Mori et al. 2021,0.71
9.15191425,10.83151,ms_m_peri,95%,Mori et al. 2021,0.72
9.495207500000001,10.462925,ms_m_peri,75%,Mori et al. 2021,0.72
10.112449999999999,9.8489,ms_m_peri,25%,Mori et al. 2021,0.72
9.980035,9.980035,ms_m_peri,median,Mori et al. 2021,0.72
7.3138872500000005,8.622846000000001,ms_m_peri,95%,Mori et al. 2021,0.7701635339554948
7.5794925,8.33707875,ms_m_peri,75%,Mori et al. 2021,0.7701635339554948
8.062223750000001,7.85773875,ms_m_peri,25%,Mori et al. 2021,0.7701635339554948
7.958589999999999,7.958589999999999,ms_m_peri,median,Mori et al. 2021,0.7701635339554948
7.819253,9.212751249999998,ms_m_peri,95%,Mori et al. 2021,0.81
8.107217499999999,8.91256875,ms_m_peri,75%,Mori et al. 2021,0.81
8.62106375,8.4018525,ms_m_peri,25%,Mori et al. 2021,0.81
8.50715,8.50715,ms_m_peri,median,Mori et al. 2021,0.81
7.369286,8.677652250000001,ms_m_peri,95%,Mori et al. 2021,0.8317766166719343
7.64080875,8.393600000000001,ms_m_peri,75%,Mori et al. 2021,0.8317766166719343
8.12105375,7.9124225,ms_m_peri,25%,Mori et al. 2021,0.8317766166719343
8.012425,8.012425,ms_m_peri,median,Mori et al. 2021,0.8317766166719343
7.074033,8.325338250000001,ms_m_peri,95%,Mori et al. 2021,0.8487516496652392
7.3330062499999995,8.05266125,ms_m_peri,75%,Mori et al. 2021,0.8487516496652392
7.793265,7.59513,ms_m_peri,25%,Mori et al. 2021,0.8487516496652392
7.689435,7.689435,ms_m_peri,median,Mori et al. 2021,0.8487516496652392
7.6451325,8.99271925,ms_m_peri,95%,Mori et al. 2021,0.9041050181216675
7.92805375,8.707139999999999,ms_m_peri,75%,Mori et al. 2021,0.9041050181216675
8.423282500000001,8.2110125,ms_m_peri,25%,Mori et al. 2021,0.9041050181216675
8.313690000000001,8.313690000000001,ms_m_peri,median,Mori et al. 2021,0.9041050181216675
7.579505,8.98036,ms_m_peri,95%,Mori et al. 2021,1.1240224549620734
7.8805,8.6605775,ms_m_peri,75%,Mori et al. 2021,1.1240224549620734
8.38176375,8.16541125,ms_m_peri,25%,Mori et al. 2021,1.1240224549620734
8.277135,8.277135,ms_m_peri,median,Mori et al. 2021,1.1240224549620734
9.336444,11.6934,ms_m_peri,95%,Peebo et al. 2015,0.21
9.80995,11.1811375,ms_m_peri,75%,Peebo et al. 2015,0.21
10.6705375,10.2907,ms_m_peri,25%,Peebo et al. 2015,0.21
10.47265,10.47265,ms_m_peri,median,Peebo et al. 2015,0.21
8.475905,10.6042225,ms_m_peri,95%,Peebo et al. 2015,0.22
8.90435875,10.144,ms_m_peri,75%,Peebo et al. 2015,0.22
9.683304999999999,9.34147875,ms_m_peri,25%,Peebo et al. 2015,0.22
9.505030000000001,9.505030000000001,ms_m_peri,median,Peebo et al. 2015,0.22
9.17569725,11.421710000000001,ms_m_peri,95%,Peebo et al. 2015,0.25
9.62267125,10.93905,ms_m_peri,75%,Peebo et al. 2015,0.25
10.452075,10.09,ms_m_peri,25%,Peebo et al. 2015,0.25
10.2631,10.2631,ms_m_peri,median,Peebo et al. 2015,0.25
8.35281825,10.381815,ms_m_peri,95%,Peebo et al. 2015,0.26
8.753805,9.9453625,ms_m_peri,75%,Peebo et al. 2015,0.26
9.503525,9.1778075,ms_m_peri,25%,Peebo et al. 2015,0.26
9.335535,9.335535,ms_m_peri,median,Peebo et al. 2015,0.26
9.168089,11.31771,ms_m_peri,95%,Peebo et al. 2015,0.31
9.59439375,10.851424999999999,ms_m_peri,75%,Peebo et al. 2015,0.31
10.391975,10.0427625,ms_m_peri,25%,Peebo et al. 2015,0.31
10.21075,10.21075,ms_m_peri,median,Peebo et al. 2015,0.31
10.091735,12.3962825,ms_m_peri,95%,Peebo et al. 2015,0.35
10.5548,11.8988,ms_m_peri,75%,Peebo et al. 2015,0.35
11.406575,11.0341,ms_m_peri,25%,Peebo et al. 2015,0.35
11.21565,11.21565,ms_m_peri,median,Peebo et al. 2015,0.35
7.68798475,9.4355135,ms_m_peri,95%,Peebo et al. 2015,0.36
8.044912499999999,9.059531250000001,ms_m_peri,75%,Peebo et al. 2015,0.36
8.68774375,8.40454125,ms_m_peri,25%,Peebo et al. 2015,0.36
8.542445,8.542445,ms_m_peri,median,Peebo et al. 2015,0.36
7.0122445,8.55120275,ms_m_peri,95%,Peebo et al. 2015,0.41
7.32698,8.21949375,ms_m_peri,75%,Peebo et al. 2015,0.41
7.889911250000001,7.6428625,ms_m_peri,25%,Peebo et al. 2015,0.41
7.767415,7.767415,ms_m_peri,median,Peebo et al. 2015,0.41
11.116385000000001,13.546225000000002,ms_m_peri,95%,Peebo et al. 2015,0.42
11.6176625,13.020975,ms_m_peri,75%,Peebo et al. 2015,0.42
12.5001125,12.1131,ms_m_peri,25%,Peebo et al. 2015,0.42
12.3079,12.3079,ms_m_peri,median,Peebo et al. 2015,0.42
9.76360975,11.850805,ms_m_peri,95%,Peebo et al. 2015,0.45
10.194325,11.3981625,ms_m_peri,75%,Peebo et al. 2015,0.45
10.9477875,10.618325,ms_m_peri,25%,Peebo et al. 2015,0.45
10.78655,10.78655,ms_m_peri,median,Peebo et al. 2015,0.45
6.121786,7.419185250000001,ms_m_peri,95%,Peebo et al. 2015,0.46
6.3869912499999995,7.136835,ms_m_peri,75%,Peebo et al. 2015,0.46
