quantity,source,growth_rate_hr,median_value,97.5%,2.5%
ms_kappa,Caglar et al. 2017,0.6630116912775283,167.225,147.943975,189.09117500000002
ms_kappa,Caglar et al. 2017,0.7747553284413429,134.7035,119.760375,151.2636
ms_kappa,Li et al. 2014,0.738700370046123,81.92435,72.7235425,91.99772
ms_kappa,Li et al. 2014,1.5693898427772346,91.97085000000001,80.60436,104.750175
ms_kappa,Li et al. 2014,1.934364224818452,66.76050000000001,57.3947475,77.5275675
ms_kappa,Mori et al. 2021,0.33,73.77844999999999,62.90088,86.70566500000001
ms_kappa,Mori et al. 2021,0.34,76.19885,65.0754025,89.33328250000001
ms_kappa,Mori et al. 2021,0.35,75.03344999999999,64.15946749999999,87.76783
ms_kappa,Mori et al. 2021,0.48,83.30675,72.63272,95.728805
ms_kappa,Mori et al. 2021,0.4892803627481966,81.99495,71.5781425,94.114485
ms_kappa,Mori et al. 2021,0.49,82.80995,72.29738499999999,95.040475
ms_kappa,Mori et al. 2021,0.5,85.41749999999999,74.64479250000001,97.9084525
ms_kappa,Mori et al. 2021,0.5010702510071894,94.9781,83.01740749999999,108.86565
ms_kappa,Mori et al. 2021,0.55,82.27025,72.217935,94.0417475
ms_kappa,Mori et al. 2021,0.6817841120261757,89.2217,78.9959625,100.60855000000001
ms_kappa,Mori et al. 2021,0.71,90.30275,80.03603000000001,101.596075
ms_kappa,Mori et al. 2021,0.72,90.76975,80.5525425,102.05302499999999
ms_kappa,Mori et al. 2021,0.7701635339554948,86.1773,76.590065,96.8288075
ms_kappa,Mori et al. 2021,0.81,95.13585,84.6281675,106.7533
ms_kappa,Mori et al. 2021,0.8317766166719343,87.60985,77.9240225,98.155395
ms_kappa,Mori et al. 2021,0.8487516496652392,91.91735,81.74894,102.93865000000001
ms_kappa,Mori et al. 2021,0.9041050181216675,86.5795,76.9526225,96.868985
ms_kappa,Mori et al. 2021,1.1240224549620734,88.64670000000001,78.7271525,99.60029000000002
ms_kappa,Peebo et al. 2015,0.21,100.74199999999999,83.0195925,121.67720000000001
ms_kappa,Peebo et al. 2015,0.22,102.95150000000001,85.1500425,123.972025
ms_kappa,Peebo et al. 2015,0.25,111.523,93.2070825,133.5464
ms_kappa,Peebo et al. 2015,0.26,103.82849999999999,86.9867725,123.9616
ms_kappa,Peebo et al. 2015,0.31,103.98750000000001,88.31318999999999,122.6037
ms_kappa,Peebo et al. 2015,0.35,117.1165,100.1438,136.99295
ms_kappa,Peebo et al. 2015,0.36,105.5545,90.5142,123.22534999999999
ms_kappa,Peebo et al. 2015,0.41,103.57499999999999,89.439515,120.088275
ms_kappa,Peebo et al. 2015,0.42,120.96000000000001,104.59255,140.07817500000002
ms_kappa,Peebo et al. 2015,0.45,120.848,105.05220000000001,139.48627499999998
ms_kappa,Peebo et al. 2015,0.46,105.435,91.68654,121.464625
ms_kappa,Peebo et al. 2015,0.51,104.4745,91.303275,119.69605
ms_kappa,Peebo et al. 2015,0.53,118.7535,104.04197500000001,135.87655
ms_kappa,Peebo et al. 2015,0.55,125.382,110.06145,143.321975
ms_kappa,Peebo et al. 2015,0.63,121.518,107.359475,137.791025
ms_kappa,Peebo et al. 2015,0.65,122.0575,107.871325,138.06245
ms_kappa,Peebo et al. 2015,0.73,121.303,107.64235000000001,136.24237499999998
ms_kappa,Peebo et al. 2015,0.74,114.2245,101.412475,128.259525
ms_kappa,Peebo et al. 2015,0.78,118.2955,105.19125,132.84225
ms_kappa,Peebo et al. 2015,0.82,108.8735,96.854445,122.07147499999999
ms_kappa,Schmidt et al. 2016,0.12,106.4005,84.572135,131.90245000000002
ms_kappa,Schmidt et al. 2016,0.2,111.365,91.5096175,134.667875
ms_kappa,Schmidt et al. 2016,0.26,132.18200000000002,110.74145,157.81375
ms_kappa,Schmidt et al. 2016,0.3,138.9685,117.5659,164.16942500000005
ms_kappa,Schmidt et al. 2016,0.35,114.8575,98.21219500000001,134.35087500000003
ms_kappa,Schmidt et al. 2016,0.4,137.2825,118.42075000000001,159.51505
ms_kappa,Schmidt et al. 2016,0.42,134.743,116.5105,156.0392
ms_kappa,Schmidt et al. 2016,0.44,140.5965,122.02445,162.418825
ms_kappa,Schmidt et al. 2016,0.46,121.332,105.510925,139.77872499999998
ms_kappa,Schmidt et al. 2016,0.47,139.31,117.4457,165.24505
ms_kappa,Schmidt et al. 2016,0.5,121.2555,105.963,138.9868
ms_kappa,Schmidt et al. 2016,0.55,122.0495,101.287875,146.792075
ms_kappa,Schmidt et al. 2016,0.58,136.9605,120.5689,156.10165
ms_kappa,Schmidt et al. 2016,0.63,117.58349999999999,103.883475,133.329025
ms_kappa,Schmidt et al. 2016,0.65,147.74200000000002,130.571175,167.11575000000002
ms_kappa,Schmidt et al. 2016,0.66,144.1815,127.531525,163.098025
ms_kappa,Schmidt et al. 2016,1.27,126.25800000000001,111.92342500000001,142.16895
ms_kappa,Schmidt et al. 2016,1.9,114.18799999999999,98.39526000000001,132.37867500000002
ms_kappa,Soufi et al. 2015,0.6931471805599453,123.175,109.09515,138.71435000000002
ms_m_peri,Caglar et al. 2017,0.6630116912775283,9.71968,8.895138750000001,10.5577275
ms_m_peri,Caglar et al. 2017,0.7747553284413429,9.08447,8.33633525,9.834329750000002
ms_m_peri,Li et al. 2014,0.738700370046123,10.54065,9.678411500000001,11.434905
ms_m_peri,Li et al. 2014,1.5693898427772346,14.52275,13.0425975,16.11297
ms_m_peri,Li et al. 2014,1.934364224818452,8.804145,7.67566625,10.080775000000001
ms_m_peri,Mori et al. 2021,0.33,10.7355,9.6708205,11.904435000000001
ms_m_peri,Mori et al. 2021,0.34,10.731950000000001,9.671572,11.88748
ms_m_peri,Mori et al. 2021,0.35,11.0105,9.927752499999999,12.185387500000001
ms_m_peri,Mori et al. 2021,0.48,10.969899999999999,9.967822250000001,12.024345
ms_m_peri,Mori et al. 2021,0.4892803627481966,11.731349999999999,10.6606925,12.854302500000001
ms_m_peri,Mori et al. 2021,0.49,10.92125,9.9251295,11.9667075
ms_m_peri,Mori et al. 2021,0.5,10.897649999999999,9.911186,11.934315000000002
ms_m_peri,Mori et al. 2021,0.5010702510071894,8.07838,7.34750425,8.8461105
ms_m_peri,Mori et al. 2021,0.55,11.6608,10.624575,12.727955
ms_m_peri,Mori et al. 2021,0.6817841120261757,8.78668,8.04525675,9.541589
ms_m_peri,Mori et al. 2021,0.71,10.51825,9.644954,11.419997500000001
ms_m_peri,Mori et al. 2021,0.72,10.04035,9.21102875,10.8945
ms_m_peri,Mori et al. 2021,0.7701635339554948,7.9973849999999995,7.339374,8.658182
ms_m_peri,Mori et al. 2021,0.81,8.536470000000001,7.83617875,9.234352
ms_m_peri,Mori et al. 2021,0.8317766166719343,8.03421,7.37962925,8.69305775
ms_m_peri,Mori et al. 2021,0.8487516496652392,7.703945,7.0755490000000005,8.3383275
ms_m_peri,Mori et al. 2021,0.9041050181216675,8.314055,7.63608075,8.993511
ms_m_peri,Mori et al. 2021,1.1240224549620734,8.21132,7.51093375,8.885725
ms_m_peri,Peebo et al. 2015,0.21,10.72915,9.57338625,11.98691
ms_m_peri,Peebo et al. 2015,0.22,9.7345,8.69163975,10.86751
ms_m_peri,Peebo et al. 2015,0.25,10.4976,9.3891915,11.69716
ms_m_peri,Peebo et al. 2015,0.26,9.54537,8.5411465,10.627930000000001
ms_m_peri,Peebo et al. 2015,0.31,10.41945,9.3696825,11.5727725
ms_m_peri,Peebo et al. 2015,0.35,11.4293,10.3054,12.64899
ms_m_peri,Peebo et al. 2015,0.36,8.701965,7.85332775,9.6235035
ms_m_peri,Peebo et al. 2015,0.41,7.89436,7.1468185,8.6954865
ms_m_peri,Peebo et al. 2015,0.42,12.5049,11.3301625,13.76586
ms_m_peri,Peebo et al. 2015,0.45,10.94555,9.93550025,12.020954999999999
ms_m_peri,Peebo et al. 2015,0.46,6.8545750000000005,6.22313075,7.5229764999999995
ms_m_peri,Peebo et al. 2015,0.51,6.19865,5.639984,6.784282999999999
ms_m_peri,Peebo et al. 2015,0.53,10.10125,9.197331499999999,11.043614999999999
ms_m_peri,Peebo et al. 2015,0.55,9.525705,8.67917825,10.397445
ms_m_peri,Peebo et al. 2015,0.63,11.560749999999999,10.561847499999999,12.565217500000001
ms_m_peri,Peebo et al. 2015,0.65,10.00155,9.14778225,10.8636375
ms_m_peri,Peebo et al. 2015,0.73,16.0701,14.743385,17.434845
ms_m_peri,Peebo et al. 2015,0.74,9.991145,9.1738775,10.837819999999999
ms_m_peri,Peebo et al. 2015,0.78,8.307649999999999,7.62485125,8.993431
ms_m_peri,Peebo et al. 2015,0.82,3.44143,3.1597795,3.723235
ms_m_peri,Schmidt et al. 2016,0.12,9.64335,8.538283250000001,10.862735
ms_m_peri,Schmidt et al. 2016,0.2,10.63725,9.485128999999999,11.894115
ms_m_peri,Schmidt et al. 2016,0.26,13.02145,11.651557500000001,14.4982425
ms_m_peri,Schmidt et al. 2016,0.3,8.27121,7.43143625,9.191838749999999
ms_m_peri,Schmidt et al. 2016,0.35,11.4496,10.3237,12.67149
ms_m_peri,Schmidt et al. 2016,0.4,10.03755,9.081351,11.069802500000002
ms_m_peri,Schmidt et al. 2016,0.42,11.2456,10.1891675,12.3796525
ms_m_peri,Schmidt et al. 2016,0.44,10.72435,9.725411,11.78544
ms_m_peri,Schmidt et al. 2016,0.46,10.14185,9.20759625,11.1308375
ms_m_peri,Schmidt et al. 2016,0.47,10.763549999999999,9.207263500000002,12.567234999999998
ms_m_peri,Schmidt et al. 2016,0.5,9.819894999999999,8.9309575,10.754005
ms_m_peri,Schmidt et al. 2016,0.55,8.62464,6.9242082499999995,10.791625
ms_m_peri,Schmidt et al. 2016,0.58,8.337415,7.6026757499999995,9.084221000000001
ms_m_peri,Schmidt et al. 2016,0.63,11.584150000000001,10.583247499999999,12.5906175
ms_m_peri,Schmidt et al. 2016,0.65,9.14313,8.36266275,9.931254
ms_m_peri,Schmidt et al. 2016,0.66,7.84872,7.1824509999999995,8.526034
ms_m_peri,Schmidt et al. 2016,1.27,14.432,13.1412175,15.7188
ms_m_peri,Schmidt et al. 2016,1.9,15.547799999999999,13.593964999999999,17.7537525
ms_m_peri,Soufi et al. 2015,0.6931471805599453,12.65915,11.5952675,13.7480075
ms_rho_mem,Caglar et al. 2017,0.6630116912775283,1.71469,1.52160875,1.9335317500000002
ms_rho_mem,Caglar et al. 2017,0.7747553284413429,2.1314,1.8996887500000001,2.393675
ms_rho_mem,Li et al. 2014,0.738700370046123,3.5050350000000003,3.11925875,3.9404735000000004
ms_rho_mem,Li et al. 2014,1.5693898427772346,3.12068,2.75001425,3.5571757500000003
ms_rho_mem,Li et al. 2014,1.934364224818452,4.298225,3.70563175,5.01342425
ms_rho_mem,Mori et al. 2021,0.33,3.891505,3.31492575,4.560123000000001
ms_rho_mem,Mori et al. 2021,0.34,3.7668350000000004,3.215218,4.4075565
ms_rho_mem,Mori et al. 2021,0.35,3.82769,3.273569,4.4687215
ms_rho_mem,Mori et al. 2021,0.48,3.4461250000000003,3.0050167500000002,3.9401475
ms_rho_mem,Mori et al. 2021,0.4892803627481966,3.5011,3.05445375,4.0007675
ms_rho_mem,Mori et al. 2021,0.49,3.466485,3.02444825,3.961256
ms_rho_mem,Mori et al. 2021,0.5,3.360145,2.9355634999999998,3.83388375
ms_rho_mem,Mori et al. 2021,0.5010702510071894,3.02165,2.6407042499999998,3.447386
ms_rho_mem,Mori et al. 2021,0.55,3.48793,3.0624115,3.9599345
ms_rho_mem,Mori et al. 2021,0.6817841120261757,3.2152700000000003,2.85398425,3.62222175
ms_rho_mem,Mori et al. 2021,0.71,3.18051,2.82432875,3.57962275
ms_rho_mem,Mori et al. 2021,0.72,3.16242,2.81109425,3.55894475
ms_rho_mem,Mori et al. 2021,0.7701635339554948,3.33154,2.97036175,3.7416560000000003
ms_rho_mem,Mori et al. 2021,0.81,3.017605,2.6940832500000003,3.3845257500000003
ms_rho_mem,Mori et al. 2021,0.8317766166719343,3.2765649999999997,2.927722,3.67020175
ms_rho_mem,Mori et al. 2021,0.8487516496652392,3.12223,2.7923120000000003,3.4985705
ms_rho_mem,Mori et al. 2021,0.9041050181216675,3.3189599999999997,2.97400025,3.7171815
ms_rho_mem,Mori et al. 2021,1.1240224549620734,3.2365399999999998,2.8926205,3.6363965000000005
ms_rho_mem,Peebo et al. 2015,0.21,2.84721,2.3618555,3.45507425
ms_rho_mem,Peebo et al. 2015,0.22,2.78622,2.31780625,3.36959625
ms_rho_mem,Peebo et al. 2015,0.25,2.570815,2.15474025,3.07959025
ms_rho_mem,Peebo et al. 2015,0.26,2.761715,2.32027325,3.2984795
ms_rho_mem,Peebo et al. 2015,0.31,2.76076,2.34358225,3.2473125
ms_rho_mem,Peebo et al. 2015,0.35,2.45229,2.0972865,2.8629872499999998
ms_rho_mem,Peebo et al. 2015,0.36,2.7204550000000003,2.3318525,3.1686822500000003
ms_rho_mem,Peebo et al. 2015,0.41,2.7705349999999997,2.3920665,3.2015005
ms_rho_mem,Peebo et al. 2015,0.42,2.372705,2.0510915,2.73525125
ms_rho_mem,Peebo et al. 2015,0.45,2.374855,2.0619165,2.7239545
ms_rho_mem,Peebo et al. 2015,0.46,2.7218,2.36801125,3.12035625
ms_rho_mem,Peebo et al. 2015,0.51,2.7476599999999998,2.40284525,3.13277075
ms_rho_mem,Peebo et al. 2015,0.53,2.4163449999999997,2.117399,2.75062325
ms_rho_mem,Peebo et al. 2015,0.55,2.288635,2.0094245,2.5983457500000005
ms_rho_mem,Peebo et al. 2015,0.63,2.3594350000000004,2.0887242500000003,2.665433
ms_rho_mem,Peebo et al. 2015,0.65,2.3498900000000003,2.08333575,2.6518957500000004
ms_rho_mem,Peebo et al. 2015,0.73,2.36708,2.105278,2.6621989999999998
ms_rho_mem,Peebo et al. 2015,0.74,2.51376,2.2373462500000003,2.8259615
ms_rho_mem,Peebo et al. 2015,0.78,2.427075,2.1633080000000002,2.72664125
ms_rho_mem,Peebo et al. 2015,0.82,2.636495,2.354376,2.9556385
ms_rho_mem,Schmidt et al. 2016,0.12,2.697215,2.1801860000000004,3.3905355
ms_rho_mem,Schmidt et al. 2016,0.2,2.5775,2.132007,3.1382715
ms_rho_mem,Schmidt et al. 2016,0.26,2.169315,1.8225609999999999,2.5909375000000003
ms_rho_mem,Schmidt et al. 2016,0.3,2.064925,1.74961825,2.4358875
ms_rho_mem,Schmidt et al. 2016,0.35,2.50053,2.1385365,2.9192975000000003
ms_rho_mem,Schmidt et al. 2016,0.4,2.0892549999999996,1.8021262500000002,2.4176795
ms_rho_mem,Schmidt et al. 2016,0.42,2.13,1.8412825000000002,2.45546
ms_rho_mem,Schmidt et al. 2016,0.44,2.04123,1.7696230000000002,2.34651225
ms_rho_mem,Schmidt et al. 2016,0.46,2.365185,2.0577425,2.71152
ms_rho_mem,Schmidt et al. 2016,0.47,2.06264,1.7378432499999998,2.4395897499999997
ms_rho_mem,Schmidt et al. 2016,0.5,2.367025,2.06793525,2.7007497500000004
ms_rho_mem,Schmidt et al. 2016,0.55,2.35306,1.9536550000000001,2.8263062499999996
ms_rho_mem,Schmidt et al. 2016,0.58,2.09491,1.84801925,2.3746262500000004
ms_rho_mem,Schmidt et al. 2016,0.63,2.43839,2.1586135,2.7546327500000003
ms_rho_mem,Schmidt et al. 2016,0.65,1.941365,1.7211500000000002,2.1908615
ms_rho_mem,Schmidt et al. 2016,0.66,1.9885549999999999,1.7644745,2.2431235000000003
ms_rho_mem,Schmidt et al. 2016,1.27,2.27372,2.0275554999999996,2.56299075
ms_rho_mem,Schmidt et al. 2016,1.9,2.512445,2.17328825,2.924853
ms_rho_mem,Soufi et al. 2015,0.6931471805599453,2.33013,2.067894,2.62379675
ms_rho_peri,Caglar et al. 2017,0.6630116912775283,84.11420000000001,74.64283999999999,94.84983000000001
ms_rho_peri,Caglar et al. 2017,0.7747553284413429,72.3143,64.452955,81.212965
ms_rho_peri,Li et al. 2014,0.738700370046123,86.18465,76.6987725,96.8914175
ms_rho_peri,Li et al. 2014,1.5693898427772346,73.7847,65.02076749999999,84.1052725
ms_rho_peri,Li et al. 2014,1.934364224818452,38.25535000000001,32.981049999999996,44.620835
ms_rho_peri,Mori et al. 2021,0.33,125.9675,107.30352500000001,147.610025
ms_rho_peri,Mori et al. 2021,0.34,124.533,106.2966,145.71555
ms_rho_peri,Mori et al. 2021,0.35,126.4365,108.132325,147.61137499999998
ms_rho_peri,Mori et al. 2021,0.48,110.909,96.71258999999999,126.80815000000001
ms_rho_peri,Mori et al. 2021,0.4892803627481966,117.5935,102.591775,134.3756
ms_rho_peri,Mori et al. 2021,0.49,109.40100000000001,95.450445,125.016175
ms_rho_peri,Mori et al. 2021,0.5,108.19550000000001,94.52429000000001,123.45042500000001
ms_rho_peri,Mori et al. 2021,0.5010702510071894,80.1233,70.02207999999999,91.41232500000001
ms_rho_peri,Mori et al. 2021,0.55,110.76,97.247725,125.74872500000001
ms_rho_peri,Mori et al. 2021,0.6817841120261757,74.95824999999999,66.53556250000001,84.4457
ms_rho_peri,Mori et al. 2021,0.71,87.88925,78.04649,98.91807750000001
ms_rho_peri,Mori et al. 2021,0.72,83.23135,73.9848475,93.6675525
ms_rho_peri,Mori et al. 2021,0.7701635339554948,63.86225,56.938750000000006,71.723765
ms_rho_peri,Mori et al. 2021,0.81,66.26975,59.1649325,74.3278425
ms_rho_peri,Mori et al. 2021,0.8317766166719343,61.430800000000005,54.8904525,68.81103250000001
ms_rho_peri,Mori et al. 2021,0.8487516496652392,58.2163,52.0646525,65.23333000000001
ms_rho_peri,Mori et al. 2021,0.9041050181216675,60.57984999999999,54.2833125,67.84832999999999
ms_rho_peri,Mori et al. 2021,1.1240224549620734,52.24655,46.694717499999996,58.70131500000001
ms_rho_peri,Peebo et al. 2015,0.21,144.1265,119.55775000000001,174.89622500000002
ms_rho_peri,Peebo et al. 2015,0.22,129.2045,107.48245,156.257225
ms_rho_peri,Peebo et al. 2015,0.25,134.529,112.756425,161.15302499999999
ms_rho_peri,Peebo et al. 2015,0.26,120.9205,101.59237499999999,144.422425
ms_rho_peri,Peebo et al. 2015,0.31,124.951,106.0693,146.9721
ms_rho_peri,Peebo et al. 2015,0.35,131.24599999999998,112.246275,153.2264
ms_rho_peri,Peebo et al. 2015,0.36,98.88775,84.76208,115.18010000000001
