lower,upper,quantity,interval,strain,carbon_source,overexpression,inducer_conc
0.63100805,0.8311785499999998,width_mu,95%,malE-rbsB-fliC-KO,acetate,malE,10.0
0.6809385,0.791056375,width_mu,75%,malE-rbsB-fliC-KO,acetate,malE,10.0
0.7255422499999999,0.75097775,width_mu,25%,malE-rbsB-fliC-KO,acetate,malE,10.0
0.7385805,0.7385805,width_mu,median,malE-rbsB-fliC-KO,acetate,malE,10.0
0.6914074,0.76137725,width_mu,95%,malE-rbsB-fliC-KO,acetate,malE,50.0
0.7057990000000001,0.748987125,width_mu,75%,malE-rbsB-fliC-KO,acetate,malE,50.0
0.7220061249999999,0.73316175,width_mu,25%,malE-rbsB-fliC-KO,acetate,malE,50.0
0.7274925,0.7274925,width_mu,median,malE-rbsB-fliC-KO,acetate,malE,50.0
0.6198236,0.7941440000000001,width_mu,95%,malE-rbsB-fliC-KO,acetate,malE,100.0
0.660380625,0.7595,width_mu,75%,malE-rbsB-fliC-KO,acetate,malE,100.0
0.699303875,0.721855125,width_mu,25%,malE-rbsB-fliC-KO,acetate,malE,100.0
0.710892,0.710892,width_mu,median,malE-rbsB-fliC-KO,acetate,malE,100.0
0.6896833,0.8194406999999999,width_mu,95%,malE-rbsB-fliC-KO,acetate,none,0.0
0.71875,0.792201625,width_mu,75%,malE-rbsB-fliC-KO,acetate,none,0.0
0.747756625,0.765416,width_mu,25%,malE-rbsB-fliC-KO,acetate,none,0.0
0.7566575,0.7566575,width_mu,median,malE-rbsB-fliC-KO,acetate,none,0.0
0.62410075,0.86254975,width_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,10.0
0.685126125,0.817299625,width_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,10.0
0.738522,0.769648,width_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,10.0
0.7538985,0.7538985,width_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,10.0
0.6740199499999999,0.8150861999999999,width_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,50.0
0.7028703749999999,0.789017375,width_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,50.0
0.7377775000000001,0.758463375,width_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,50.0
0.748136,0.748136,width_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,50.0
0.6731654499999999,0.7865484999999999,width_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,100.0
