lower,upper,quantity,interval,strain,carbon_source,overexpression,inducer_conc,inducer,temperature
1.0071985,1.1599724999999999,width_mu,95%,lpp14,glucose,none,0.0,none,37.0
1.0331949999999999,1.1288187500000002,width_mu,75%,lpp14,glucose,none,0.0,none,37.0
1.0669,1.0914074999999999,width_mu,25%,lpp14,glucose,none,0.0,none,37.0
1.079215,1.079215,width_mu,median,lpp14,glucose,none,0.0,none,37.0
0.6158263,1.166611,width_mu,95%,wildtype,glucose,lacZ,5.0,ctc,37.0
0.71542775,1.018385,width_mu,75%,wildtype,glucose,lacZ,5.0,ctc,37.0
0.825919125,0.890108625,width_mu,25%,wildtype,glucose,lacZ,5.0,ctc,37.0
0.8547495,0.8547495,width_mu,median,wildtype,glucose,lacZ,5.0,ctc,37.0
0.7996403,0.8831591,width_mu,95%,wildtype,glucose,lacZ,20.0,ctc,37.0
0.8211722499999999,0.86506,width_mu,75%,wildtype,glucose,lacZ,20.0,ctc,37.0
0.838590875,0.849424625,width_mu,25%,wildtype,glucose,lacZ,20.0,ctc,37.0
0.8442864999999999,0.8442864999999999,width_mu,median,wildtype,glucose,lacZ,20.0,ctc,37.0
0.77272915,0.92580205,width_mu,95%,wildtype,glucose,lacZ,10.0,ctc,37.0
0.801866875,0.8899288750000001,width_mu,75%,wildtype,glucose,lacZ,10.0,ctc,37.0
0.8339198750000001,0.85442475,width_mu,25%,wildtype,glucose,lacZ,10.0,ctc,37.0
0.8443445,0.8443445,width_mu,median,wildtype,glucose,lacZ,10.0,ctc,37.0
0.8037911,0.8625423499999999,width_mu,95%,lpp14,acetate,none,0.0,none,37.0
0.817442,0.8492338749999999,width_mu,75%,lpp14,acetate,none,0.0,none,37.0
0.82987975,0.836951,width_mu,25%,lpp14,acetate,none,0.0,none,37.0
0.833657,0.833657,width_mu,median,lpp14,acetate,none,0.0,none,37.0
0.74169965,1.097297,width_mu,95%,lpp14,glycerol,none,0.0,none,37.0
0.79853125,1.0165024999999999,width_mu,75%,lpp14,glycerol,none,0.0,none,37.0
0.87470325,0.9294965,width_mu,25%,lpp14,glycerol,none,0.0,none,37.0
0.9027689999999999,0.9027689999999999,width_mu,median,lpp14,glycerol,none,0.0,none,37.0
0.7006309500000001,0.7786106,width_mu,95%,lpp14,sorbitol,none,0.0,none,37.0
0.714268125,0.764271375,width_mu,75%,lpp14,sorbitol,none,0.0,none,37.0
0.73246475,0.745095625,width_mu,25%,lpp14,sorbitol,none,0.0,none,37.0
0.7385245,0.7385245,width_mu,median,lpp14,sorbitol,none,0.0,none,37.0
0.6564578999999999,0.8417168499999996,width_mu,95%,malE-rbsB-fliC-KO,acetate,malE,10.0,ctc,37.0
0.6926498750000001,0.795536125,width_mu,75%,malE-rbsB-fliC-KO,acetate,malE,10.0,ctc,37.0
0.727142125,0.7517739999999999,width_mu,25%,malE-rbsB-fliC-KO,acetate,malE,10.0,ctc,37.0
0.738876,0.738876,width_mu,median,malE-rbsB-fliC-KO,acetate,malE,10.0,ctc,37.0
0.61780705,0.7979981499999999,width_mu,95%,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.658570375,0.75999275,width_mu,75%,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.697995375,0.720727125,width_mu,25%,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.709332,0.709332,width_mu,median,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.685952,0.82622375,width_mu,95%,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.7174885000000001,0.795432,width_mu,75%,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.74707025,0.7648165,width_mu,25%,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.7563495,0.7563495,width_mu,median,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.65491955,0.8746082999999999,width_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
0.69362275,0.822638375,width_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
0.740059625,0.76991825,width_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
0.7548375,0.7548375,width_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
0.67892675,0.81925695,width_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.7051052499999999,0.79018825,width_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.736395,0.757407,width_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.7465865,0.7465865,width_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.6759908,0.7885601,width_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
0.69569325,0.7655037499999999,width_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
0.7208975,0.737680375,width_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
0.729008,0.729008,width_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
0.6896585,0.9123178999999998,width_mu,95%,malE-rbsB-fliC-KO,glucose,none,0.0,none,37.0
0.727163875,0.856918,width_mu,75%,malE-rbsB-fliC-KO,glucose,none,0.0,none,37.0
0.7711877500000001,0.80333375,width_mu,25%,malE-rbsB-fliC-KO,glucose,none,0.0,none,37.0
0.7864095,0.7864095,width_mu,median,malE-rbsB-fliC-KO,glucose,none,0.0,none,37.0
0.6895916,0.7588254999999999,width_mu,95%,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.701915,0.74570875,width_mu,75%,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.7185167499999999,0.72933925,width_mu,25%,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.723589,0.723589,width_mu,median,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.7846454,0.856905,width_mu,95%,wildtype,glucoseCAA,none,0.0,none,37.0
0.800384875,0.84234975,width_mu,75%,wildtype,glucoseCAA,none,0.0,none,37.0
0.8161145,0.825823375,width_mu,25%,wildtype,glucoseCAA,none,0.0,none,37.0
0.8210835,0.8210835,width_mu,median,wildtype,glucoseCAA,none,0.0,none,37.0
0.6269710500000001,0.80511805,width_mu,95%,wildtype,glycerol,none,0.0,none,37.0
0.66223425,0.7675004999999999,width_mu,75%,wildtype,glycerol,none,0.0,none,37.0
0.6973978750000001,0.7258307500000001,width_mu,25%,wildtype,glycerol,none,0.0,none,37.0
0.7122554999999999,0.7122554999999999,width_mu,median,wildtype,glycerol,none,0.0,none,37.0
0.6123136499999999,0.7029183,width_mu,95%,wildtype,sorbitol,none,0.0,none,37.0
0.629039625,0.687349,width_mu,75%,wildtype,sorbitol,none,0.0,none,37.0
0.6494313749999999,0.665481,width_mu,25%,wildtype,sorbitol,none,0.0,none,37.0
0.6573905,0.6573905,width_mu,median,wildtype,sorbitol,none,0.0,none,37.0
0.9574538499999999,1.000445,width_mu,95%,wildtype,LB,none,0.0,none,37.0
0.9642483749999999,0.992856875,width_mu,75%,wildtype,LB,none,0.0,none,37.0
0.974309875,0.98219325,width_mu,25%,wildtype,LB,none,0.0,none,37.0
0.978221,0.978221,width_mu,median,wildtype,LB,none,0.0,none,37.0
0.6798278,0.7212531,width_mu,95%,wildtype,acetate,none,0.0,none,37.0
0.68688625,0.714226,width_mu,75%,wildtype,acetate,none,0.0,none,37.0
0.69690675,0.7040925,width_mu,25%,wildtype,acetate,none,0.0,none,37.0
0.700515,0.700515,width_mu,median,wildtype,acetate,none,0.0,none,37.0
0.7504623500000001,0.78645005,width_mu,95%,wildtype,glucose,none,0.0,none,37.0
0.7559159999999999,0.780463,width_mu,75%,wildtype,glucose,none,0.0,none,37.0
0.764824375,0.77157375,width_mu,25%,wildtype,glucose,none,0.0,none,37.0
0.7683070000000001,0.7683070000000001,width_mu,median,wildtype,glucose,none,0.0,none,37.0
2.4131280000000004,2.6462405,length_mu,95%,lpp14,glucose,none,0.0,none,37.0
2.45240875,2.60219875,length_mu,75%,lpp14,glucose,none,0.0,none,37.0
2.5099925,2.54925625,length_mu,25%,lpp14,glucose,none,0.0,none,37.0
2.528945,2.528945,length_mu,median,lpp14,glucose,none,0.0,none,37.0
2.323625,3.3662215,length_mu,95%,wildtype,glucose,lacZ,5.0,ctc,37.0
2.6554124999999997,3.2183325,length_mu,75%,wildtype,glucose,lacZ,5.0,ctc,37.0
2.92934625,3.04637625,length_mu,25%,wildtype,glucose,lacZ,5.0,ctc,37.0
