strain,carbon_source,overexpression,inducer_conc,quantity,median_value,mean_value,2.5%,97.5%,unit
wildtype,glucose,relA,0,width,0.6162965,0.6153668172500001,0.5582337249999999,0.6644449500000001,µm
wildtype,glucose,relA,1,width,0.6063725,0.60139070825,0.506710825,0.66882905,µm
wildtype,glucose,relA,2,width,0.5828975000000001,0.5827847557499999,0.474355725,0.6928196,µm
wildtype,glucose,meshI,0,width,0.6154550000000001,0.6143772397499999,0.47629119999999997,0.7422670750000001,µm
wildtype,glucose,meshI,100,width,0.7259125,0.7240775455,0.618586575,0.818287725,µm
wildtype,glucose,relA,0,length,2.6066000000000003,2.6112265525000002,2.447167,2.7908495,µm
wildtype,glucose,relA,1,length,2.41363,2.4108393925000002,2.0684572500000002,2.7407247500000005,µm
wildtype,glucose,relA,2,length,2.11583,2.120335875,1.7929665,2.4873725,µm
wildtype,glucose,meshI,0,length,2.294165,2.278585663,1.62248125,2.88800875,µm
wildtype,glucose,meshI,100,length,2.54543,2.5385765899999995,1.891427,3.0958455,µm
wildtype,glucose,relA,0,volume,0.718185,0.71909231875,0.6550204000000001,0.789742725,fL
wildtype,glucose,relA,1,volume,0.6453690000000001,0.6452210545,0.5476923,0.745983775,fL
wildtype,glucose,relA,2,volume,0.5282439999999999,0.5259622325000001,0.36954115,0.6681875500000001,fL
wildtype,glucose,meshI,0,volume,0.6539665,0.6535090925,0.46266487500000003,0.8406421000000002,fL
wildtype,glucose,meshI,100,volume,0.9584655,0.9580349137499999,0.876729525,1.0335437500000002,fL
wildtype,glucose,relA,0,surface_area,5.03656,5.0354386325,4.9076105,5.16457575,µm^2
wildtype,glucose,relA,1,surface_area,4.5996950000000005,4.5990020199999995,4.39262675,4.8060322499999995,µm^2
wildtype,glucose,relA,2,surface_area,3.8914549999999997,3.8904874074999998,3.60696275,4.1857965,µm^2
wildtype,glucose,meshI,0,surface_area,4.5034,4.5010428075,4.094912,4.89362875,µm^2
wildtype,glucose,meshI,100,surface_area,5.803315,5.8027916525,5.670208499999999,5.93363225,µm^2
wildtype,glucose,relA,0,surface_to_volume,7.10535,7.1035767,6.9387855,7.25786425,µm^-1
wildtype,glucose,relA,1,surface_to_volume,7.2958549999999995,7.29430668,7.0688265,7.51551875,µm^-1
wildtype,glucose,relA,2,surface_to_volume,7.77436,7.7737530425,7.4003865,8.14769575,µm^-1
wildtype,glucose,meshI,0,surface_to_volume,7.3850999999999996,7.38789906,6.93188725,7.837823,µm^-1
wildtype,glucose,meshI,100,surface_to_volume,6.2165,6.218931839999999,5.994318,6.452114750000001,µm^-1
wildtype,glucose,relA,0,aspect_ratio,4.24721,4.2434917225,4.07095875,4.397183500000001,none
wildtype,glucose,relA,1,aspect_ratio,4.0068649999999995,4.004707585,3.8318985,4.1640595,none
wildtype,glucose,relA,2,aspect_ratio,3.6565000000000003,3.652148415,3.371559,3.9056785,none
wildtype,glucose,meshI,0,aspect_ratio,3.774235,3.7724333,3.55699575,3.97589025,none
wildtype,glucose,meshI,100,aspect_ratio,3.54364,3.53820879,3.23049875,3.8261789999999998,none
wildtype,glucose,relA,0,growth_rate,0.854938,0.8536362590000001,0.74622125,0.958878275,hr^-1
wildtype,glucose,relA,1,growth_rate,0.8054645,0.8054092995,0.738715475,0.87386305,hr^-1
wildtype,glucose,relA,2,growth_rate,0.718233,0.7176830292500002,0.6201873250000001,0.8112861250000001,hr^-1
wildtype,glucose,meshI,0,growth_rate,0.933287,0.933415666,0.8570858250000001,1.01637225,hr^-1
wildtype,glucose,meshI,100,growth_rate,0.8305800000000001,0.829474238,0.6631378,0.9933549,hr^-1
wildtype,glucose,relA,0,phiRb,0.1197185,0.119588714425,0.101249025,0.13702330000000001,none
wildtype,glucose,relA,1,phiRb,0.1162495,0.11630457244999999,0.104557875,0.12853605,none
wildtype,glucose,relA,2,phiRb,0.1062275,0.10624862957499999,0.09121419,0.1216235,none
wildtype,glucose,meshI,0,phiRb,0.11626,0.116270909575,0.111066925,0.121611675,none
wildtype,glucose,meshI,100,phiRb,0.130556,0.13072843575,0.11753965000000001,0.14412550000000002,none
