quantity,growth_rate_hr,mean,median,sig2_lower,sig2_upper,sig1_lower,sig1_upper
prot_per_cell_ppc,0.0,158.60458295,154.55599999999998,95.28052000000001,243.42395,123.32144,194.33192
prot_per_cell_ppc,0.10344827586206896,170.355355925,166.583,103.13137499999999,262.23082500000004,132.65468,207.04528
prot_per_cell_ppc,0.20689655172413793,178.26279725,174.5685,108.19745,265.59805000000006,140.18096,216.98
prot_per_cell_ppc,0.3103448275862069,188.511044175,183.889,114.87082500000001,289.13015,146.705,230.81456
prot_per_cell_ppc,0.41379310344827586,200.166080325,196.099,122.660725,301.750975,157.87224,242.90324
prot_per_cell_ppc,0.5172413793103449,211.409517925,206.918,132.063025,316.969125,166.50268,256.94179999999994
prot_per_cell_ppc,0.6206896551724138,222.99106210000002,217.6015,137.34245,333.96475000000004,175.34816,270.42875999999995
prot_per_cell_ppc,0.7241379310344828,237.16299095,231.188,147.361175,363.650775,187.16764,284.89295999999996
prot_per_cell_ppc,0.8275862068965517,249.19766715,243.648,154.22637500000002,378.07292500000005,197.13592,300.85972
prot_per_cell_ppc,0.9310344827586207,265.06541495,259.021,165.895975,393.975675,210.08303999999998,319.29864
prot_per_cell_ppc,1.0344827586206897,278.78558250000003,272.47850000000005,172.362975,425.3088,219.45976,336.78724
prot_per_cell_ppc,1.1379310344827587,295.96705224999994,289.9775,186.80575,448.20657500000004,234.6712,354.87712
prot_per_cell_ppc,1.2413793103448276,314.44616625000003,307.1365,197.35932499999998,475.79757500000005,247.32816,379.72516
prot_per_cell_ppc,1.3448275862068966,331.52331925,321.95950000000005,213.06255,501.1919500000001,261.5584,400.45896
prot_per_cell_ppc,1.4482758620689655,351.87203525,343.289,221.256325,533.087775,275.57912,425.60092
prot_per_cell_ppc,1.5517241379310345,370.3789385,361.5145,230.6873,561.2366750000001,290.23656,448.63536
prot_per_cell_ppc,1.6551724137931034,393.55779175,381.7065,247.4171,610.3435000000001,305.90612,477.36492
prot_per_cell_ppc,1.7586206896551724,418.102088,406.461,258.6218,650.2715250000002,327.11976,507.8926
prot_per_cell_ppc,1.8620689655172413,438.76059900000007,426.172,270.30039999999997,672.70015,341.95652,536.93756
prot_per_cell_ppc,1.9655172413793103,466.93172625,451.387,285.11800000000005,734.2145750000001,361.12924,569.57932
prot_per_cell_ppc,2.0689655172413794,494.79465675,480.3315,298.4493,778.6966500000002,384.33392,600.65272
prot_per_cell_ppc,2.1724137931034484,521.23611725,503.35699999999997,310.945,829.976175,399.32404,641.51928
prot_per_cell_ppc,2.2758620689655173,551.9349825,533.7235000000001,331.331925,889.1275250000002,424.82668,672.5271999999999
prot_per_cell_ppc,2.3793103448275863,585.4810054999999,565.597,348.5962,938.120925,441.5802,723.37224
prot_per_cell_ppc,2.4827586206896552,626.89074325,602.394,364.8035,1045.89675,470.40384,776.62948
prot_per_cell_ppc,2.586206896551724,661.9789935,633.5155,381.297575,1117.7022500000003,493.40764,822.7550399999999
prot_per_cell_ppc,2.689655172413793,697.01146375,671.473,399.211375,1149.97775,518.73516,872.5501599999999
prot_per_cell_ppc,2.793103448275862,743.20242325,706.7415000000001,425.2228,1264.94075,550.07424,928.31164
prot_per_cell_ppc,2.896551724137931,787.7652927500001,752.1625,438.42205000000007,1375.3820000000007,578.1929200000001,985.3341199999999
prot_per_cell_ppc,3.0,835.2629625000001,795.824,468.9074,1437.9897500000009,610.85276,1051.2616
rna_per_cell_ppc,0.0,26.541497975,25.885199999999998,16.7658825,39.9249425,20.975172,31.929428
rna_per_cell_ppc,0.10344827586206896,30.03841775,29.206899999999997,19.3008775,45.32461,23.958332000000002,35.936699999999995
rna_per_cell_ppc,0.20689655172413793,33.830183299999995,33.0675,22.301624999999998,50.118035,27.132448,40.31202
rna_per_cell_ppc,0.3103448275862069,37.99148775,37.0286,24.7560175,56.8851625,30.47154,45.322336
rna_per_cell_ppc,0.41379310344827586,43.03484017500001,42.10325,28.123185,63.387167500000004,34.539823999999996,51.381448
rna_per_cell_ppc,0.5172413793103449,48.68654925,47.74895,31.509382499999997,71.533905,38.945575999999996,58.130068
rna_per_cell_ppc,0.6206896551724138,54.6628741,53.39215,36.4162375,80.04033500000001,44.219836,64.915684
rna_per_cell_ppc,0.7241379310344828,61.738004575,60.35345,40.854940000000006,91.420765,49.622852,73.41422
rna_per_cell_ppc,0.8275862068965517,69.75210999999999,68.3611,46.136575,101.052925,56.540088000000004,83.14645999999999
rna_per_cell_ppc,0.9310344827586207,78.47485320000001,77.0107,52.9200725,114.48630000000001,63.905008,92.904332
rna_per_cell_ppc,1.0344827586206897,88.300011375,86.6994,58.97925,128.80890000000002,71.4753,104.74459999999999
rna_per_cell_ppc,1.1379310344827587,99.6874244,97.70485,65.2723325,145.79980000000003,80.83090800000001,118.36931999999999
rna_per_cell_ppc,1.2413793103448276,112.87270282499999,111.045,73.732545,165.063175,90.997044,134.18528
rna_per_cell_ppc,1.3448275862068966,127.287546525,124.76150000000001,83.64444750000001,185.03085000000002,102.6404,151.90555999999998
rna_per_cell_ppc,1.4482758620689655,143.67798202499998,139.7705,92.98567249999999,214.07712500000002,114.95164,172.37028
rna_per_cell_ppc,1.5517241379310345,162.580296275,158.766,106.846225,239.79162500000007,131.05704,193.55176
rna_per_cell_ppc,1.6551724137931034,183.203563725,178.76049999999998,118.12965,272.673825,146.47876000000002,218.65528
rna_per_cell_ppc,1.7586206896551724,207.02216497499998,202.665,132.20442500000001,308.99262500000003,165.23216000000002,247.43692
rna_per_cell_ppc,1.8620689655172413,234.07921387500002,228.6525,150.205975,350.957575,187.21336,278.88792
rna_per_cell_ppc,1.9655172413793103,262.45909425,257.71500000000003,166.782625,391.8373250000001,209.68004000000002,315.5852
rna_per_cell_ppc,2.0689655172413794,297.89270880000004,289.8745,187.823875,448.30667500000004,236.947,359.27863999999994
rna_per_cell_ppc,2.1724137931034484,334.90334574999997,327.577,210.26755,504.0212750000001,264.0072,404.95432
