value,kde,parameter
0.0065718999999999994,0.0030915713017776285,k
0.013143799999999999,0.0032440280816817624,k
0.0197157,0.0033951805456655937,k
0.026287599999999998,0.00354439843439707,k
0.0328595,0.003691074894067855,k
0.0394314,0.00383463360255561,k
0.0460033,0.003974535239359036,k
0.052575199999999996,0.004110283178348605,k
0.059147099999999994,0.004241428305390173,k
0.065719,0.004367572888231089,k
0.0722909,0.0044883734527408755,k
0.0788628,0.004603542646712702,k
0.0854347,0.004712850098997061,k
0.0920066,0.004816122306869432,k
0.0985785,0.004913241607417762,k
0.10515039999999999,0.005004144308702652,k
0.1117223,0.005088818072954654,k
0.1182942,0.005167298656761691,k
0.1248661,0.005239666121866265,k
0.131438,0.005306040634799669,k
0.1380099,0.005366577974263204,k
0.14458179999999998,0.005421464862187478,k
0.15115369999999997,0.005470914228159902,k
0.15772559999999997,0.005515160507892338,k
0.16429749999999999,0.005554455065166627,k
0.17086939999999998,0.005589061813841356,k
0.17744129999999997,0.005619253102640372,k
0.1840132,0.005645305911161672,k
0.19058509999999998,0.005667498391402297,k
0.19715699999999997,0.005686106775586418,k
0.20372889999999996,0.00570140265863075,k
0.21030079999999998,0.005713650652523159,k
0.21687269999999997,0.005723106400476736,k
0.22344459999999997,0.005730014931109649,k
0.23001649999999998,0.005734609327160674,k
0.23658839999999998,0.0057371096793727835,k
0.24316029999999997,0.005737722294073779,k
0.24973219999999996,0.00573663912251422,k
0.2563041,0.005734037380986481,k
0.262876,0.005730079332919591,k
0.2694479,0.005724912207259779,k
0.2760198,0.005718668231244578,k
0.2825917,0.005711464759884321,k
0.2891636,0.005703404488825642,k
0.2957355,0.005694575741541362,k
0.3023074,0.00568505282575829,k
0.30887929999999997,0.005674896457513996,k
0.3154512,0.005664154254075148,k
0.3220231,0.005652861299048508,k
0.32859499999999997,0.005641040784294022,k
0.3351669,0.0056287047336831385,k
0.3417388,0.005615854813340487,k
0.3483107,0.005602483231805266,k
0.3548826,0.005588573731633749,k
0.3614545,0.005574102671437964,k
0.3680264,0.005559040194351605,k
0.3745983,0.005543351475581475,k
0.3811702,0.005526998038202852,k
0.3877421,0.00550993912285827,k
0.394314,0.005492133093688731,k
0.40088589999999996,0.005473538859824152,k
0.4074578,0.005454117289235282,k
0.4140297,0.005433832589827191,k
0.42060159999999996,0.005412653631448316,k
0.4271735,0.0053905551820677055,k
0.4337454,0.005367519031795851,k
0.44031729999999997,0.005343534979701822,k
0.4468892,0.0053186016605004625,k
0.4534611,0.005292727191103179,k
0.46003299999999997,0.005265929620666342,k
0.4666049,0.005238237172037814,k
0.47317679999999995,0.005209688267261607,k
0.4797487,0.005180331334918464,k
0.4863206,0.005150224402395731,k
0.49289249999999996,0.005119434481527314,k
0.4994644,0.0050880367612604815,k
0.5060363,0.005056113625919726,k
0.5126082,0.00502375352209427,k
0.5191800999999999,0.0049910497010304,k
0.5257519999999999,0.004958098866530354,k
0.5323239,0.004924999760646528,k
0.5388957999999999,0.004891851720825263,k
0.5454676999999999,0.004858753242551388,k
0.5520396,0.004825800580945396,k
0.5586114999999999,0.004793086423185239,k
0.5651833999999999,0.004760698661100097,k
0.5717553,0.004728719289892921,k
0.5783271999999999,0.004697223454796002,k
0.5848990999999999,0.004666278662680001,k
0.591471,0.0046359441703848585,k
0.5980428999999999,0.004606270555991822,k
0.6046147999999999,0.004577299473608453,k
0.6111866999999999,0.0045490635866854414,k
0.6177585999999999,0.0045215866696314555,k
0.6243304999999999,0.004494883862726237,k
0.6309023999999999,0.004468962061234827,k
0.6374742999999999,0.0044438204163448096,k
0.6440461999999999,0.004419450923212282,k
0.6506180999999999,0.004395839070091497,k
0.6571899999999999,0.004372964522286497,k
0.6637618999999999,0.0043508018154976465,k
0.6703337999999999,0.004329321034996667,k
0.6769056999999999,0.004308488459856772,k
0.6834775999999999,0.0042882671550600665,k
0.6900494999999999,0.004268617498524824,k
0.6966214,0.004249497634747686,k
0.7031932999999999,0.004230863851611326,k
0.7097651999999999,0.004212670881739009,k
0.7163371,0.0041948721343515235,k
0.7229089999999999,0.004177419867674684,k
0.7294808999999999,0.0041602653153661115,k
0.7360528,0.004143358783007916,k
0.7426246999999999,0.004126649732326383,k
0.7491965999999999,0.004110086871372792,k
0.7557685,0.004093618268412198,k
0.7623403999999999,0.0040771915057380495,k
0.7689122999999999,0.004060753887155907,k
0.7754841999999998,0.004044252709573857,k
0.7820560999999999,0.0040276356051825585,k
0.7886279999999999,0.00401085095630164,k
0.7951998999999998,0.003993848380339158,k
0.8017717999999999,0.003976579277694637,k
0.8083436999999999,0.003958997431067304,k
0.8149155999999999,0.00394105964073213,k
0.8214874999999999,0.003922726377114535,k
0.8280593999999999,0.003903962429592414,k
0.8346312999999999,0.003884737529001549,k
0.8412031999999999,0.0038650269208912163,k
0.8477750999999999,0.0038448118671905495,k
0.8543469999999999,0.0038240800555765604,k
0.8609188999999999,0.0038028258984003135,k
0.8674907999999999,0.003781050706410404,k
0.8740626999999999,0.0037587627265519906,k
0.8806345999999999,0.003735977037630901,k
0.8872064999999999,0.0037127153024116544,k
0.8937783999999999,0.003689005379555279,k
0.9003502999999999,0.0036648808034897983,k
0.9069221999999999,0.003640380144651329,k
0.9134940999999999,0.0036155462663635244,k
0.9200659999999999,0.0035904254977983047,k
0.9266378999999999,0.0035650667448749052,k
0.9332097999999999,0.003539520562539,k
0.9397816999999998,0.0035138382125932412,k
0.9463535999999999,0.003488070731134424,k
0.9529254999999999,0.0034622680287386557,k
0.9594973999999998,0.003436478044901942,k
0.9660692999999999,0.003410745975992626,k
0.9726411999999999,0.0033851135932248767,k
0.9792130999999998,0.0033596186640512927,k
0.9857849999999999,0.003334294487032737,k
0.9923568999999999,0.003309169546807004,k
0.9989287999999998,0.0032842672923662614,k
1.0055007,0.003259606038577082,k
1.0120726,0.0032351989878235707,k
1.0186445,0.0032110543658971265,k
1.0252164,0.0031871756638437334,k
1.0317882999999999,0.0031635619754418753,k
1.0383601999999998,0.0031402084183340265,k
1.0449320999999998,0.0031171066255671087,k
1.0515039999999998,0.0030942452933980873,k
1.0580759,0.0030716107706660178,k
1.0646478,0.0030491876747912898,k
1.0712196999999999,0.0030269595195079875,k
1.0777915999999998,0.0030049093397351927,k
1.0843634999999998,0.0029830202995240695,k
1.0909353999999998,0.00296127626975407,k
1.0975073,0.0029396623631823284,k
1.1040792,0.0029181654155563596,k
1.1106511,0.0028967744027781875,k
1.1172229999999999,0.002875480785544031,k
1.1237948999999998,0.0028542787744753498,k
1.1303667999999998,0.0028331655104874807,k
1.1369387,0.0028121411570012148,k
1.1435106,0.0027912089025651033,k
1.1500825,0.0027703748744966994,k
1.1566543999999999,0.0027496479662312188,k
1.1632262999999998,0.00272903958314512,k
1.1697981999999998,0.0027085633136486246,k
1.1763701,0.0026882345342628708,k
1.182942,0.0026680699591552807,k
1.1895139,0.002648087146145481,k
1.1960857999999999,0.0026283039724575045,k
1.2026576999999998,0.002608738094433636,k
