lower,upper,quantity,interval,source,width,surface_to_volume,growth_rate_hr
0.108791925,0.112382025,size_phiRb,95%,Grossman et al. 1982,0.76,5.87,0.693147180559945
0.109565,0.11163024999999999,size_phiRb,75%,Grossman et al. 1982,0.76,5.87,0.693147180559945
0.110869,0.110309,size_phiRb,25%,Grossman et al. 1982,0.76,5.87,0.693147180559945
0.1106005,0.1106005,size_phiRb,median,Grossman et al. 1982,0.76,5.87,0.693147180559945
0.108791925,0.112382025,size_phiRb,95%,Grossman et al. 1982,0.77,5.857,0.693147180559945
0.109565,0.11163024999999999,size_phiRb,75%,Grossman et al. 1982,0.77,5.857,0.693147180559945
0.110869,0.110309,size_phiRb,25%,Grossman et al. 1982,0.77,5.857,0.693147180559945
0.1106005,0.1106005,size_phiRb,median,Grossman et al. 1982,0.77,5.857,0.693147180559945
0.122132975,0.126057,size_phiRb,95%,Grossman et al. 1982,0.98,4.639,0.831776616671934
0.123028625,0.125244,size_phiRb,75%,Grossman et al. 1982,0.98,4.639,0.831776616671934
0.12442537499999999,0.12382562500000001,size_phiRb,25%,Grossman et al. 1982,0.98,4.639,0.831776616671934
0.124122,0.124122,size_phiRb,median,Grossman et al. 1982,0.98,4.639,0.831776616671934
0.1067579,0.110346025,size_phiRb,95%,Pierucci 1978,0.63,7.074,0.672352765143147
0.107537,0.109603,size_phiRb,75%,Pierucci 1978,0.63,7.074,0.672352765143147
0.10884137499999999,0.108279,size_phiRb,25%,Pierucci 1978,0.63,7.074,0.672352765143147
0.108562,0.108562,size_phiRb,median,Pierucci 1978,0.63,7.074,0.672352765143147
0.1454596,0.150591075,size_phiRb,95%,Pierucci 1978,0.67,6.597,1.07715071859015
0.146615875,0.149561,size_phiRb,75%,Pierucci 1978,0.67,6.597,1.07715071859015
0.148480375,0.147648625,size_phiRb,25%,Pierucci 1978,0.67,6.597,1.07715071859015
0.14806249999999999,0.14806249999999999,size_phiRb,median,Pierucci 1978,0.67,6.597,1.07715071859015
0.109468875,0.11306905,size_phiRb,95%,Pierucci 1978,0.68,6.661,0.700078652365545
0.11024175,0.112312125,size_phiRb,75%,Pierucci 1978,0.68,6.661,0.700078652365545
0.111542,0.110985,size_phiRb,25%,Pierucci 1978,0.68,6.661,0.700078652365545
0.1112755,0.1112755,size_phiRb,median,Pierucci 1978,0.68,6.661,0.700078652365545
0.0800369525,0.08426576749999999,size_phiRb,95%,Pierucci 1978,0.69,6.723,0.402025364724768
0.08091567499999999,0.0833911875,size_phiRb,75%,Pierucci 1978,0.69,6.723,0.402025364724768
0.08252495,0.081830025,size_phiRb,25%,Pierucci 1978,0.69,6.723,0.402025364724768
0.082152,0.082152,size_phiRb,median,Pierucci 1978,0.69,6.723,0.402025364724768
0.09722927999999999,0.10088712500000001,size_phiRb,95%,Pierucci 1978,0.7,6.636,0.575312159864755
0.0980289,0.100145125,size_phiRb,75%,Pierucci 1978,0.7,6.636,0.575312159864755
0.0993875125,0.09878957499999999,size_phiRb,25%,Pierucci 1978,0.7,6.636,0.575312159864755
0.0990837,0.0990837,size_phiRb,median,Pierucci 1978,0.7,6.636,0.575312159864755
0.162893575,0.169223025,size_phiRb,95%,Pierucci 1978,0.73,6.115,1.2615278686191
0.16425387500000002,0.16793975,size_phiRb,75%,Pierucci 1978,0.73,6.115,1.2615278686191
0.166581375,0.16556062500000002,size_phiRb,25%,Pierucci 1978,0.73,6.115,1.2615278686191
0.166053,0.166053,size_phiRb,median,Pierucci 1978,0.73,6.115,1.2615278686191
0.12742657500000001,0.13154207499999998,size_phiRb,95%,Pierucci 1978,0.75,5.993,0.88722839111673
0.128368,0.130708,size_phiRb,75%,Pierucci 1978,0.75,5.993,0.88722839111673
0.129854,0.129214625,size_phiRb,25%,Pierucci 1978,0.75,5.993,0.88722839111673
0.12953350000000002,0.12953350000000002,size_phiRb,median,Pierucci 1978,0.75,5.993,0.88722839111673
0.14717059999999998,0.152405025,size_phiRb,95%,Pierucci 1978,0.77,5.779,1.09517254528471
0.148338625,0.15135125000000002,size_phiRb,75%,Pierucci 1978,0.77,5.779,1.09517254528471
0.150245375,0.149397,size_phiRb,25%,Pierucci 1978,0.77,5.779,1.09517254528471
0.149825,0.149825,size_phiRb,median,Pierucci 1978,0.77,5.779,1.09517254528471
0.174585925,0.18188102499999997,size_phiRb,95%,Pierucci 1978,0.8,5.543,1.38629436111989
0.17616237499999998,0.18039012499999998,size_phiRb,75%,Pierucci 1978,0.8,5.543,1.38629436111989
0.178843375,0.177674,size_phiRb,25%,Pierucci 1978,0.8,5.543,1.38629436111989
0.1782285,0.1782285,size_phiRb,median,Pierucci 1978,0.8,5.543,1.38629436111989
0.158968975,0.16497520000000002,size_phiRb,95%,Pierucci 1978,0.82,5.441,1.2199390377855
0.160271875,0.16378612499999998,size_phiRb,75%,Pierucci 1978,0.82,5.441,1.2199390377855
0.162499,0.161515,size_phiRb,25%,Pierucci 1978,0.82,5.441,1.2199390377855
0.161994,0.161994,size_phiRb,median,Pierucci 1978,0.82,5.441,1.2199390377855
0.200560775,0.21008012499999998,size_phiRb,95%,Pierucci 1978,0.84,5.238,1.66355323334387
0.20253575,0.208115375,size_phiRb,75%,Pierucci 1978,0.84,5.238,1.66355323334387
0.206066,0.20454725,size_phiRb,25%,Pierucci 1978,0.84,5.238,1.66355323334387
0.2052965,0.2052965,size_phiRb,median,Pierucci 1978,0.84,5.238,1.66355323334387
0.200560775,0.21008012499999998,size_phiRb,95%,Pierucci 1978,0.87,5.101,1.66355323334387
0.20253575,0.208115375,size_phiRb,75%,Pierucci 1978,0.87,5.101,1.66355323334387
0.206066,0.20454725,size_phiRb,25%,Pierucci 1978,0.87,5.101,1.66355323334387
0.2052965,0.2052965,size_phiRb,median,Pierucci 1978,0.87,5.101,1.66355323334387
0.061168965,0.0664542075,size_phiRb,95%,Trueba & Woldringh 1980,0.53,8.434,0.214375416668024
0.062283575,0.065355525,size_phiRb,75%,Trueba & Woldringh 1980,0.53,8.434,0.214375416668024
0.0642958,0.0634193875,size_phiRb,25%,Trueba & Woldringh 1980,0.53,8.434,0.214375416668024
0.063866,0.063866,size_phiRb,median,Trueba & Woldringh 1980,0.53,8.434,0.214375416668024
0.07798595000000001,0.08231437750000001,size_phiRb,95%,Trueba & Woldringh 1980,0.57,8.028,0.381548906730245
0.078895775,0.081427425,size_phiRb,75%,Trueba & Woldringh 1980,0.57,8.028,0.381548906730245
0.08053924999999999,0.0798282875,size_phiRb,25%,Trueba & Woldringh 1980,0.57,8.028,0.381548906730245
0.08016265,0.08016265,size_phiRb,median,Trueba & Woldringh 1980,0.57,8.028,0.381548906730245
0.0730978675,0.07765938,size_phiRb,95%,Trueba & Woldringh 1980,0.61,7.473,0.332710646668774
0.07406328749999999,0.0767266125,size_phiRb,75%,Trueba & Woldringh 1980,0.61,7.473,0.332710646668774
0.0757977,0.0750428625,size_phiRb,25%,Trueba & Woldringh 1980,0.61,7.473,0.332710646668774
0.07539805,0.07539805,size_phiRb,median,Trueba & Woldringh 1980,0.61,7.473,0.332710646668774
0.108791925,0.112382025,size_phiRb,95%,Trueba & Woldringh 1980,0.73,6.238,0.693147180559945
0.109565,0.11163024999999999,size_phiRb,75%,Trueba & Woldringh 1980,0.73,6.238,0.693147180559945
0.110869,0.110309,size_phiRb,25%,Trueba & Woldringh 1980,0.73,6.238,0.693147180559945
0.1106005,0.1106005,size_phiRb,median,Trueba & Woldringh 1980,0.73,6.238,0.693147180559945
0.21792685,0.22888905,size_phiRb,95%,Trueba & Woldringh 1980,0.96,4.741,1.84839248149319
0.220135625,0.22659412499999998,size_phiRb,75%,Trueba & Woldringh 1980,0.96,4.741,1.84839248149319
0.22422975,0.222467,size_phiRb,25%,Trueba & Woldringh 1980,0.96,4.741,1.84839248149319
0.22336850000000003,0.22336850000000003,size_phiRb,median,Trueba & Woldringh 1980,0.96,4.741,1.84839248149319
0.112305775,0.115965,size_phiRb,95%,Zaritsky & Woldringh 1978,0.68,6.439,0.729628611115732
0.113121875,0.115205,size_phiRb,75%,Zaritsky & Woldringh 1978,0.68,6.439,0.729628611115732
0.114427,0.113863875,size_phiRb,25%,Zaritsky & Woldringh 1978,0.68,6.439,0.729628611115732
0.114154,0.114154,size_phiRb,median,Zaritsky & Woldringh 1978,0.68,6.439,0.729628611115732
0.120570975,0.12443115,size_phiRb,95%,Zaritsky & Woldringh 1978,0.97,4.689,0.815467271246994
0.12144,0.12363025,size_phiRb,75%,Zaritsky & Woldringh 1978,0.97,4.689,0.815467271246994
0.122829,0.122232625,size_phiRb,25%,Zaritsky & Woldringh 1978,0.97,4.689,0.815467271246994
0.1225295,0.1225295,size_phiRb,median,Zaritsky & Woldringh 1978,0.97,4.689,0.815467271246994
0.1703748,0.177346175,size_phiRb,95%,Zaritsky & Woldringh 1978,0.98,4.623,1.34157518818054
0.17187887500000001,0.17591637499999999,size_phiRb,75%,Zaritsky & Woldringh 1978,0.98,4.623,1.34157518818054
0.174454375,0.173332625,size_phiRb,25%,Zaritsky & Woldringh 1978,0.98,4.623,1.34157518818054
0.17386449999999998,0.17386449999999998,size_phiRb,median,Zaritsky & Woldringh 1978,0.98,4.623,1.34157518818054
0.138626975,0.143350075,size_phiRb,95%,Zaritsky et al. 1993,0.711363636363636,6.234,1.00506341181192
0.139704875,0.142384,size_phiRb,75%,Zaritsky et al. 1993,0.711363636363636,6.234,1.00506341181192
0.141406375,0.140653,size_phiRb,25%,Zaritsky et al. 1993,0.711363636363636,6.234,1.00506341181192
0.14102550000000003,0.14102550000000003,size_phiRb,median,Zaritsky et al. 1993,0.711363636363636,6.234,1.00506341181192
