quantity,source,growth_rate_hr,width,surface_to_volume,median_value,97.5%,2.5%
size_phiRb,Grossman et al. 1982,0.693147180559945,0.76,5.87,0.110636,0.10886795,0.112298
size_phiRb,Grossman et al. 1982,0.693147180559945,0.77,5.857,0.110636,0.10886795,0.112298
size_phiRb,Grossman et al. 1982,0.831776616671934,0.98,4.639,0.124165,0.12229179999999999,0.12596102499999998
size_phiRb,Pierucci 1978,0.402025364724768,0.69,6.723,0.0821969,0.08010745500000001,0.08424483249999999
size_phiRb,Pierucci 1978,0.575312159864755,0.7,6.636,0.09912905,0.09731805249999999,0.10084905
size_phiRb,Pierucci 1978,0.672352765143147,0.63,7.074,0.10860449999999999,0.106847975,0.110255475
size_phiRb,Pierucci 1978,0.700078652365545,0.68,6.661,0.111314,0.10954882499999999,0.112966175
size_phiRb,Pierucci 1978,0.88722839111673,0.75,5.993,0.129565,0.12760395,0.131469025
size_phiRb,Pierucci 1978,1.07715071859015,0.67,6.597,0.14810849999999998,0.145701775,0.15048235000000001
size_phiRb,Pierucci 1978,1.09517254528471,0.77,5.779,0.14986549999999998,0.14740992500000002,0.15230512499999999
size_phiRb,Pierucci 1978,1.2199390377855,0.82,5.441,0.1620565,0.1591949,0.1648962
size_phiRb,Pierucci 1978,1.2615278686191,0.73,6.115,0.166116,0.16314197500000002,0.1691081
size_phiRb,Pierucci 1978,1.38629436111989,0.8,5.543,0.1782895,0.174867825,0.18172905
size_phiRb,Pierucci 1978,1.66355323334387,0.84,5.238,0.205353,0.2007859,0.2098983
size_phiRb,Pierucci 1978,1.66355323334387,0.87,5.101,0.205353,0.2007859,0.2098983
size_phiRb,Rueba & Woldringh 1980,0.214375416668024,0.53,8.434,0.0638537,0.061293095000000006,0.066520835
size_phiRb,Rueba & Woldringh 1980,0.332710646668774,0.61,7.473,0.07541755,0.07315920249999999,0.0776656175
size_phiRb,Rueba & Woldringh 1980,0.381548906730245,0.57,8.028,0.08019960000000001,0.078063355,0.0823001075
size_phiRb,Rueba & Woldringh 1980,0.693147180559945,0.73,6.238,0.110636,0.10886795,0.112298
size_phiRb,Rueba & Woldringh 1980,1.84839248149319,0.96,4.741,0.22340949999999998,0.218112375,0.228667375
size_phiRb,Zaritsky & Woldringh 1978,0.729628611115732,0.68,6.439,0.11419,0.112419875,0.115879
size_phiRb,Zaritsky & Woldringh 1978,0.815467271246994,0.97,4.689,0.122572,0.12072284999999999,0.124354025
size_phiRb,Zaritsky & Woldringh 1978,1.34157518818054,0.98,4.623,0.1739195,0.170674975,0.17719802499999998
size_phiRb,Zaritsky et al. 1993,1.00506341181192,0.711363636363636,6.234,0.14107150000000002,0.13882797500000002,0.143200225
