upper,lower,quantity,interval
2.9884965,2.28615975,rho_mem_mu,95%
2.8367225,2.412965,rho_mem_mu,75%
2.555235,2.67246875,rho_mem_mu,25%
2.6135099999999998,2.6135099999999998,rho_mem_mu,median
0.1310021,0.1182348,phi_mem_mu,95%
0.128313125,0.1209055,phi_mem_mu,75%
0.123522625,0.125623125,phi_mem_mu,25%
0.124562,0.124562,phi_mem_mu,median
10.983410000000001,8.93008825,m_peri,95%
10.5285625,9.33675,m_peri,75%
9.75690875,10.0880375,m_peri,25%
9.92069,9.92069,m_peri,median
292.24415000000005,281.89575,drymass_mu,95%
290.08637500000003,284.07262499999996,drymass_mu,75%
286.21425,287.948375,drymass_mu,25%
287.1005,287.1005,drymass_mu,median
3.99586625,3.20400125,alpha_mu,95%
3.8270825,3.3633112499999998,alpha_mu,75%
3.5295549999999998,3.66090625,alpha_mu,25%
3.59348,3.59348,alpha_mu,median
126.024,95.9047625,kappa,95%
119.143,101.115625,kappa,75%
107.356625,112.447375,kappa,25%
109.906,109.906,kappa,median
