quantity,growth_rate_hr,mean,median,sig2_lower,sig2_upper,sig1_lower,sig1_upper
volume_ppc,0.0,0.46601698124999996,0.446397,0.285765075,0.7570657250000001,0.35838056,0.5690464399999999
volume_ppc,0.05102040816326531,0.48231748475,0.4624295,0.29209065,0.7723640250000001,0.3735664,0.58713848
volume_ppc,0.10204081632653061,0.5038350165000001,0.4832945,0.312826775,0.8114935000000003,0.39161488,0.6140808
volume_ppc,0.15306122448979592,0.51901503425,0.497167,0.3187678,0.822899,0.40270808,0.6327636799999999
volume_ppc,0.20408163265306123,0.53501731975,0.5124299999999999,0.328096475,0.8572154500000001,0.41602472,0.6540044
volume_ppc,0.25510204081632654,0.5573652945,0.534895,0.34650067500000004,0.8944279500000001,0.43299624,0.67673188
volume_ppc,0.30612244897959184,0.5779114777500001,0.5568585,0.3576992,0.9131474250000001,0.45731188,0.69746312
volume_ppc,0.35714285714285715,0.60106244975,0.5797479999999999,0.367819,0.9688527000000001,0.46913247999999996,0.7268260799999999
volume_ppc,0.40816326530612246,0.6200873484999999,0.5985045,0.38551312499999996,0.9780781500000001,0.48807752,0.7450648
volume_ppc,0.45918367346938777,0.645534999,0.6238105,0.39591017500000003,1.0260137500000004,0.5061314800000001,0.77677288
volume_ppc,0.5102040816326531,0.66779816525,0.6423585,0.40778915,1.0782477500000003,0.52412972,0.8072235600000001
volume_ppc,0.5612244897959184,0.6925004497499999,0.67111,0.435021375,1.0727617500000002,0.54513008,0.83606908
volume_ppc,0.6122448979591837,0.71880242325,0.6990355,0.44870972499999995,1.1075907500000002,0.5661851999999999,0.860019
volume_ppc,0.6632653061224489,0.743693484,0.724216,0.458373975,1.1571265000000002,0.5860795599999999,0.89621656
volume_ppc,0.7142857142857143,0.7745306915000001,0.7517615,0.475085325,1.1991422500000002,0.6100757600000001,0.93808148
volume_ppc,0.7653061224489797,0.8025501422499999,0.7814085,0.489920975,1.2655527500000001,0.6296122,0.96113848
volume_ppc,0.8163265306122449,0.82600943375,0.8047854999999999,0.512475825,1.256221,0.65394948,0.99902792
volume_ppc,0.8673469387755102,0.8598879367500001,0.833322,0.52952805,1.3278725,0.68003788,1.0358771999999998
