condition,dataset_name,density,envelope_vol,growth_rate_hr,tot_mass
MOPS minimal,Li et al. 2014,84.58019404655467,0.16532774858906718,0.738700370046123,13.983453056943308
MOPS complete without methionine,Li et al. 2014,66.54475818137377,0.321370853037652,1.5693898427772346,21.385545701932358
MOPS complete,Li et al. 2014,32.366195372886374,0.45802262943153416,1.934364224818452,14.824449909384171
glucose_minimal,Peebo et al. 2015,110.24238156547425,0.11986659160483337,0.21,13.214378528652913
glucose_minimal,Peebo et al. 2015,99.57399351836321,0.12051960423441477,0.22,12.000618290873316
rich,Peebo et al. 2015,106.0336867702905,0.12251713235736006,0.25,12.99094323637454
glucose_minimal,Peebo et al. 2015,96.87402804506608,0.12319607525972942,0.26,11.9345000497531
glucose_minimal,Peebo et al. 2015,103.83513107345537,0.1266928109189175,0.31,13.155164627830295
rich,Peebo et al. 2015,110.26144501872342,0.12961787263827151,0.35,14.29185393734867
glucose_minimal,Peebo et al. 2015,85.58377686030528,0.13036762635091814,0.36,11.157353843424632
glucose_minimal,Peebo et al. 2015,76.08769211846135,0.13423209083925647,0.41,10.213410000194681
rich,Peebo et al. 2015,116.8020139419239,0.13502881492848895,0.42,15.771637523838828
rich,Peebo et al. 2015,102.02861004785086,0.13746848905043085,0.45,14.025718863193665
glucose_minimal,Peebo et al. 2015,65.35059385276955,0.13829856646617178,0.46,9.037893447551046
glucose_minimal,Peebo et al. 2015,58.28933944687875,0.14258026294775228,0.51,8.310909345386762
rich,Peebo et al. 2015,90.33177583797011,0.14435633350258903,0.53,13.039963958747128
rich,Peebo et al. 2015,84.995928695409,0.14617003305878462,0.55,12.423857707270034
rich,Peebo et al. 2015,98.46172854523022,0.1538209461722213,0.63,15.145476246579722
rich,Peebo et al. 2015,85.53391437282399,0.15583789577498341,0.65,13.329425233258501
rich,Peebo et al. 2015,129.41144040587255,0.1643558847815223,0.73,21.269531788758428
rich,Peebo et al. 2015,81.72249005585505,0.16547371809791667,0.74,13.522924281762357
rich,Peebo et al. 2015,67.39934693766148,0.17006974820548693,0.78,11.462589962902344
rich,Peebo et al. 2015,29.80819403562027,0.1748731814141835,0.82,5.212653723220207
chemostat_u0.12,Schmidt et al. 2016,103.73992884334075,0.11426306287351795,0.12,11.853642011920922
chemostat_u0.2,Schmidt et al. 2016,111.5599696379141,0.11921986161218867,0.2,13.300164141692088
galactose,Schmidt et al. 2016,132.83756124375046,0.12319607525972942,0.26,16.365066192304
acetate,Schmidt et al. 2016,83.16985091863573,0.1259795742582538,0.3,10.477702409852167
chemostat_u0.35,Schmidt et al. 2016,112.49732132293076,0.12961787263827151,0.35,14.581663467382345
pyruvate,Schmidt et al. 2016,94.72457384567599,0.1334434444847411,0.4,12.640373411316224
fumarate,Schmidt et al. 2016,106.30258269635922,0.13502881492848895,0.42,14.353911765327082
succinate,Schmidt et al. 2016,101.61584505135873,0.13664690910859156,0.44,13.88549114272574
glucosamine,Schmidt et al. 2016,95.18906568485642,0.13829856646617178,0.46,13.164511327469906
glycerol,Schmidt et al. 2016,92.87900702869952,0.1391372498177602,0.47,12.922929603777671
mannose,Schmidt et al. 2016,107.45372107762441,0.1391372498177602,0.47,14.950815233425352
chemostat_u0.5,Schmidt et al. 2016,91.59758361328056,0.14170604195925185,0.5,12.979931026869615
osmotic_stress_glucose,Schmidt et al. 2016,90.04942362322072,0.14617003305878462,0.55,13.162527227930672
xylose,Schmidt et al. 2016,67.82620991267345,0.14617003305878462,0.55,9.914159345187542
glucose,Schmidt et al. 2016,74.25934508374307,0.14896326887408362,0.58,11.061914788122978
pH6,Schmidt et al. 2016,100.7094045058554,0.1538209461722213,0.63,15.491215889531645
fructose,Schmidt et al. 2016,78.38946953168782,0.15583789577498341,0.65,12.216049982735406
42C,Schmidt et al. 2016,67.36977068158895,0.15686274917381848,0.66,10.567807440323756
glycerol_pAA,Schmidt et al. 2016,84.50082536438873,0.24706594553106198,1.27,20.877276316807848
lb_miller,Schmidt et al. 2016,54.14090166144622,0.44233721932642167,1.9,23.948535892749366
glucose_minimal,Valgepea et al. 2013,139.98785991419976,0.11366949214159228,0.11,15.91234894243545
glucose_minimal,Valgepea et al. 2013,120.96602113146791,0.11986659160483337,0.21,14.499784653027309
glucose_minimal,Valgepea et al. 2013,115.68498255180474,0.1266928109189175,0.31,14.656455620594066
glucose_minimal,Valgepea et al. 2013,107.33487779042787,0.1334434444847411,0.4,14.323135805703432
glucose_minimal,Valgepea et al. 2013,100.22855572284952,0.14084087544072454,0.49,14.116277532165569
