strain,carbon_source,date,m_peri_per_biomass
WT,glucose,2020-09-23,11.502749230577196
WT,acetate,2020-09-23,23.253450767252627
WT,acetate,2020-09-29,19.524270298640165
WT,glucose,2020-09-29,9.496113461987099
WT,acetate,2020-09-18,18.790234314347643
WT,glycerol,2020-09-18,12.04852647771985
WT,glucose,2020-09-18,7.62739476523171
WT,glucoseCAA,2020-09-18,7.792372537798872
WT,acetate,2020-10-06,42.7817732222913
WT,glycerol,2020-10-06,26.21764040821813
WT,glucose,2020-10-06,18.23883367726102
WT,glucoseCAA,2020-10-06,16.889568985500798
WT,acetate,2020-11-20,21.806995805664865
WT,glycerol,2020-11-20,13.934918112924404
WT,glucose,2020-11-20,11.50570215666235
WT,glucoseCAA,2020-11-20,10.581925095231629
WT,acetate,2020-11-20,46.12633785233879
WT,glucose,2020-11-20,24.551317786820217
WT,sorbitol,2020-12-01,15.54744881169502
WT,glucose,2020-12-01,11.646718902138131
WT,glucose,2021-01-21,9.418770983484606
WT,glucose,2020-01-22,8.962727150662108
WT,glucose,2021-01-23,11.593509409270068
WT,glucoseCAA,2021-01-24,6.880825717676317
WT,acetate,2021-08-10,17.425555831193492
WT,glucose,2021-08-10,6.6954818722581475
WT,glucoseCAA,2022-03-03,11.502749230577196
WT,sorbitol,2022-03-04,13.906535948105104
WT,glucoseCAA,2022-03-04,4.800047791903281
WT,sorbitol,2022-03-05,12.499288657688657
WT,glucoseCAA,2022-03-05,5.730202810174609
WT,sorbitol,2022-03-06,14.957520310915159
WT,glucoseCAA,2022-03-06,5.684572801775034
WT,sorbitol,2022-03-07,15.751560317072423
WT,glucose,2022-03-07,13.93471504780804
WT,sorbitol,2022-03-08,16.533120804187416
WT,glucose,2022-03-08,10.386432897182777
WT,glucose,2022-03-11,7.693924653834511
WT,glucoseCAA,2022-03-11,7.9158389817554164
WT,glycerol,2022-03-11,11.503245623574603
WT,sorbitol,2022-03-11,14.686730392241614
WT,glucose,2021-07-16,8.5572136974021
WT,glucose,2021-07-17,10.98311358210732
WT,glucose,2021-07-18,10.443025145215401
WT,glucose,2021-07-19,9.529621864195349
WT,acetate,2021-07-19,15.980648276153778
WT,glucose,2021-07-29,5.57803955174833
WT,acetate,2021-07-29,16.73294664960623
WT,sorbitol,2021-07-29,15.389760911679268
