strain,carbon_source,overexpression,temperature,inducer,inducer_conc,n_size,n_growth,n_brad,accepted
lpp14,RDM,none,37,none,0,1,1,0,FALSE
lpp14,glucoseCAA,none,37,none,0,3,0,3,FALSE
lpp14,glucose,none,37,none,0,6,2,5,TRUE
malE-rbsB-fliC-KO,acetate,lamB,37,ctc,100,0,1,0,FALSE
malE-rbsB-fliC-KO,acetate,malE,37,ctc,20,0,1,0,FALSE
malE-rbsB-fliC-KO,glucose,rbsB,37,ctc,10,0,1,0,FALSE
malE-rbsB-fliC-KO,sorbitol,none,37,none,0,0,1,1,FALSE
malE-rbsB-fliC-KO,sorbitol,rbsB,37,ctc,30,1,0,0,FALSE
malE-rbsB-fliC-KO,sorbitol,rbsB,37,ctc,30,1,0,0,FALSE
malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,3,0,1,0,FALSE
malE-rbsB-fliC-KO,acetate,lacZ,37,none,0,1,0,0,FALSE
malE-rbsB-fliC-KO,acetate,lacZ,37,ctc,30,1,0,0,FALSE
malE-rbsB-fliC-KO,acetate,malE,37,none,0,1,1,0,FALSE
malE-rbsB-fliC-KO,acetate,malE,37,ctc,30,1,1,6,FALSE
malE-rbsB-fliC-KO,acetate,none,37,ctc,50,1,1,0,FALSE
malE-rbsB-fliC-KO,acetate,none,37,ctc,100,1,0,0,FALSE
malE-rbsB-fliC-KO,RDM,none,37,none,0,1,1,0,FALSE
malE-rbsB-fliC-KO,glucose,lacZ,37,none,0,1,0,0,FALSE
malE-rbsB-fliC-KO,glucose,lacZ,37,ctc,10,1,0,0,FALSE
malE-rbsB-fliC-KO,glucose,lacZ,37,ctc,50,1,0,0,FALSE
malE-rbsB-fliC-KO,sorbitol,malE,37,none,0,1,0,0,FALSE
malE-rbsB-fliC-KO,sorbitol,malE,37,ctc,50,1,1,1,FALSE
malE-rbsB-fliC-KO,acetate,lacZ,37,ctc,50,2,0,0,FALSE
malE-rbsB-fliC-KO,acetate,rbsB,37,none,0,2,2,2,FALSE
malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,30,2,2,4,FALSE
malE-rbsB-fliC-KO,glucose,malE,37,ctc,50,2,1,2,FALSE
malE-rbsB-fliC-KO,glucose,rbsB,37,ctc,50,2,1,1,FALSE
malE-rbsB-KO,acetate,none,37,none,0,1,0,3,FALSE
wildtype,acetate,lamB,37,ctc,100,0,1,0,FALSE
wildtype,acetate,none,37,ctc,50,0,1,0,FALSE
wildtype,glucose,lacZ,37,ctc,1,0,1,0,FALSE
wildtype,glucose,lacZ,37,ctc,3,0,1,0,FALSE
wildtype,glucose,lacZ,37,ctc,5,0,2,3,FALSE
wildtype,glucose,lacZ,37,ctc,6,0,1,0,FALSE
wildtype,glucose,lacZ,37,ctc,20,0,2,4,FALSE
wildtype,glucose,lamB,37,none,0,0,2,0,FALSE
wildtype,glucose,lamB,37,ctc,1,0,1,0,FALSE
wildtype,glucose,lamB,37,ctc,3,0,2,0,FALSE
wildtype,glucose,lamB,37,ctc,5,0,1,0,FALSE
wildtype,glucose,lamB,37,ctc,6,0,1,0,FALSE
wildtype,glucose,lamB,37,ctc,20,0,1,0,FALSE
wildtype,glucose,lamB,37,ctc,30,0,1,0,FALSE
wildtype,glucose,lamB,37,ctc,50,0,1,0,FALSE
wildtype,glucose,rbsB,37,none,0,0,1,0,FALSE
wildtype,glucose,rbsB,37,ctc,1,0,1,0,FALSE
wildtype,glucose,rbsB,37,ctc,3,0,1,0,FALSE
wildtype,glucose,rbsB,37,ctc,6,0,1,0,FALSE
wildtype,glucose,rbsB,37,ctc,30,0,1,0,FALSE
wildtype,glucose,rbsB,37,ctc,50,0,1,0,FALSE
wildtype,glucose,rbsB,37,ctc,100,0,1,0,FALSE
wildtype,glucoseCAA,rbsB,37,ctc,30,0,0,1,FALSE
wildtype,glucoseCAA,rbsB,37,ctc,100,0,0,1,FALSE
wildtype,acetate,lacZ,37,ctc,50,1,0,1,FALSE
wildtype,RDM,none,37,none,0,1,0,0,FALSE
wildtype,glucose,lacZ,37,none,0,1,2,0,FALSE
wildtype,glucose,lacZ,37,ctc,50,1,0,0,FALSE
wildtype,glucose,lacZ,37,ctc,100,1,0,1,FALSE
wildtype,acetate,lacZ,37,none,0,2,0,0,FALSE
wildtype,glucose,none,37,ctc,2,2,0,0,FALSE
wildtype,glucose,none,37,ctc,4,2,0,0,FALSE
wildtype,glucose,none,37,ctc,6,2,0,0,FALSE
wildtype,glucose,lacZ,37,ctc,10,4,2,4,TRUE
lpp14,LB,none,37,none,0,4,3,0,FALSE
lpp14,acetate,none,37,none,0,4,3,4,TRUE
lpp14,glycerol,none,37,none,0,5,4,5,TRUE
lpp14,sorbitol,none,37,none,0,6,5,5,TRUE
malE-rbsB-fliC-KO,acetate,malE,37,ctc,10,4,5,7,TRUE
malE-rbsB-fliC-KO,acetate,malE,37,ctc,100,4,4,3,TRUE
malE-rbsB-fliC-KO,acetate,none,37,none,0,4,7,12,TRUE
malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,10,4,4,5,TRUE
malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,50,5,5,4,TRUE
malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,100,5,8,6,TRUE
malE-rbsB-fliC-KO,glucose,none,37,none,0,5,3,15,TRUE
malE-rbsB-fliC-KO,acetate,malE,37,ctc,50,6,4,7,TRUE
wildtype,glucoseCAA,none,37,none,0,4,9,9,TRUE
wildtype,glycerol,none,37,none,0,5,8,4,TRUE
wildtype,sorbitol,none,37,none,0,7,3,8,TRUE
wildtype,LB,none,37,none,0,10,5,0,TRUE
wildtype,acetate,none,37,none,0,13,19,9,TRUE
wildtype,glucose,none,37,none,0,17,22,19,TRUE
