carbon_source,width,length
glucose,0.93925256,3.0752215
glucose,0.8471232,4.1041837
glucose,0.86822164,2.7668638
glucose,0.89263266,2.5859158
glucose,0.82047075,2.7766745
glucose,0.86460257,4.806952
glucose,0.80499053,2.2084415
glucose,0.84081346,2.4740067
glucose,0.8332292,2.8298259
glucose,0.7430379,2.6126444
glucose,0.85741377,2.144287
glucose,0.9801645,2.6990428
glucose,0.90120643,2.3885348
glucose,0.8335354,2.4521484
glucose,0.75023556,2.2482326
glucose,0.8781838,2.0736487
glucose,0.87343615,2.31488
glucose,0.75328416,3.5966785
glucose,0.8116646,2.6033802
glucose,0.84600055,3.6388955
glucose,0.8275177,2.1996799
glucose,0.77046275,2.0397618
glucose,0.66141176,2.0943322
glucose,0.76033646,2.5071564
glucose,0.76291186,3.0715182
glucose,0.8075972,2.138627
glucose,0.7985424,3.7468774
glucose,0.8173712,2.3156996
glucose,0.83509684,2.3317194
glucose,0.7927145,2.8050609
glucose,0.832085,2.724193
glucose,0.76364326,2.0664532
glucose,0.91494894,3.815993
glucose,0.80361974,1.9337298
glucose,0.79688317,3.0542936
glucose,0.8380615,2.9264417
glucose,0.80793214,2.6498437
glucose,0.8102847,4.5536857
glucose,0.82356876,3.8788075
glucose,0.87659806,2.441718
glucose,0.82767516,4.144115
glucose,0.8484654,3.439895
glucose,0.7722636,2.278591
glucose,0.7986409,2.5925074
glucose,0.6603009,2.027228
glucose,0.80694944,4.0529118
glucose,0.83293533,2.408339
glucose,0.65786755,2.222847
glucose,0.6259671,3.0910184
glucose,0.80910814,2.2085845
glucose,0.85486984,2.8759484
glucose,0.7494237,2.721908
glucose,0.81342417,4.3808856
glucose,0.80566496,2.1853437
glucose,0.78692156,2.794113
glucose,0.73871136,3.0334258
glucose,0.89423025,2.5514271
glucose,0.8309608,2.1370375
glucose,0.71930414,3.9486992
glucose,0.76792884,2.5053418
glucose,0.7841074,2.3155477
glucose,0.75852454,2.656294
glucose,0.86827385,2.1043751
glucose,0.75971216,3.573915
glucose,0.7694029,3.9002376
glucose,0.75959057,2.7075088
glucose,0.8866599,3.1211696
glucose,0.747243,2.740036
glucose,0.77829957,2.914483
glucose,0.80593306,4.2872314
glucose,0.83555436,2.3266985
glucose,0.94472975,3.0898247
glucose,0.72121793,2.449217
glucose,0.8163635,2.2906287
glucose,0.8782841,3.049655
glucose,0.7528695,2.7623827
glucose,0.8381181,4.7439713
glucose,0.8652845,2.460617
glucose,0.86733776,3.5598278
glucose,0.7501209,2.9035606
glucose,0.84059954,2.212815
glucose,0.8197277,3.1914675
glucose,0.7005386,3.3373997
glucose,0.7229022,2.0299172
glucose,0.7314995,1.9960229
glucose,0.8896726,2.541476
glucose,0.84271884,3.042977
glucose,0.767526,2.541191
glucose,0.82229954,2.3801653
glucose,0.86409,4.2772603
glucose,0.8340126,2.7689505
glucose,0.8571503,4.3197145
glucose,0.85001934,2.694251
glucose,0.86774015,3.3022542
glucose,0.89776146,5.019363
glucose,0.8435787,2.3234541
