carbon_source,growth_rate_hr,SAV_inv_um
TSB,2.0023,3.8367
MOPS glucose synthetic rich,1.9522,4.5053
MOPS glucose + 12 a. a.,0.75155,6.6116
MOPS glucose,1.0344,6.5062
MOPS sorbitol,0.56926,7.6849
MOPS glycerol,0.75501,8.0194
TSB,1.8144,4.1275
MOPS glucose synthetic rich,1.8154,4.3435
MOPS glucose + 12 a. a.,1.4587,5.1136
MOPS glucose + 6 a. a.,1.2686,6.1268
MOPS glucose,0.88083,6.2834
MOPS sorbitol,0.65611,7.3194
MOPS glycerol,0.59741,7.6268
TSB,2.1133,4.0343
MOPS glucose synthetic rich,1.8779,4.3024
MOPS glucose + casamino acids,1.4313,4.9142
MOPS glucose + 6 a. a.,1.2541,5.9867
MOPS glucose,1.0632,6.492
MOPS sorbitol,0.75406,7.4987
MOPS glycerol,0.78904,8.3719
MOPS glucose synthetic rich,1.8088,4.6552
MOPS glucose + 12 a. a.,1.5663,5.6461
MOPS glucose + 6 a. a.,1.1517,5.924
MOPS glucose,1.1026,6.5538
MOPS sorbitol,0.62786,7.7449
MOPS glucose synthetic rich,1.7854,4.8179
MOPS glucose + casamino acids,1.0818,5.704
MOPS glucose + 6 a. a.,0.83287,5.699
M9 glucose + 3 a. a.,0.73618,6.2734
MOPS glucose,0.69244,6.1439
MOPS glycerol,0.31271,6.9623
MOPS glucose synthetic rich,1.7662,4.5367
MOPS glucose + casamino acids,1.0637,5.1815
MOPS glucose + 12 a. a.,0.80028,5.7353
MOPS glucose + 6 a. a.,0.82842,5.2837
M9 glucose + 3 a. a.,0.70978,5.6867
MOPS glucose,0.66856,5.5309
MOPS glycerol,0.4499,6.6417
MOPS glucose synthetic rich,1.6541,4.4533
MOPS glycerol synthetic rich,1.4993,5.1715
MOPS glucose + 12 a. a. + 0.2mM uracil,0.72045,6.3967
MOPS glucose + 6 a. a. + 0.2mM uracil,1.0654,5.8106
M9 glucose + 3 a. a. + 0.2mM uracil,0.82866,5.9816
MOPS glucose + 0.2mM uracil,0.75346,6.0967
MOPS glycerol + 0.2mM uracil,0.41312,7.1159
MOPS glucose synthetic rich,1.7479,4.5221
MOPS glycerol synthetic rich,1.4982,5.0772
MOPS mannose synthetic rich,1.3375,4.9407
MOPS glucose + 6 a. a. + 0.2mM uracil,1.0379,5.8831
M9 glucose + 3 a. a. + 0.2mM uracil,0.79254,6.0577
MOPS glucose + 0.2mM uracil,0.75655,6.0329
MOPS glycerol + 0.2mM uracil,0.34007,7.0194
