date,carbon_source,run_no,cells_per_biomass
2022-11-17,LB,1,339196.00938967144
2022-11-17,glucose,1,863888888.888889
2022-11-17,glucoseCAA,1,738796735.1237493
2022-11-17,glycerol,1,1174852777.7777777
2022-11-17,sorbitol,1,1081188544.7394297
2022-12-02,LB,1,463997040.07285976
2022-12-02,glucose,1,958383709.9811674
2022-12-02,glucoseCAA,1,831990090.5118603
2022-12-02,glycerol,1,2280643631.4363146
2022-12-02,sorbitol,1,1544556750.74184
2022-12-15,LB,1,681412226.7759563
2022-12-15,glucoseCAA,1,823941647.597254
2022-12-15,glycerol,1,1420959967.3202615
2022-12-15,sorbitol,1,1687237431.1294765
2023-01-17,LB,1,613688701.1265738
2023-01-17,LB,2,575954578.3568585
2023-01-17,acetate,1,1476352969.3486588
2023-01-17,acetate,2,1594416264.0901768
2023-01-17,glucose,1,885943606.9235064
2023-01-17,glucoseCAA,1,844595490.7161804
2023-01-17,glycerol,1,1817698412.6984127
2023-01-17,sorbitol,1,1307262891.344383
2023-01-19,acetate,1,1508638076.241135
2023-01-19,acetate,2,1092821969.6969697
2023-01-19,glycerol,1,1023434882.7470686
2023-01-19,sorbitol,1,1060180441.712204
