strain,carbon_source,overexpression,inducer,inducer_conc,temperature,run_idx,growth_rate_hr,od_init
lpp14,LB,none,none,0.0,37.0,167,1.707,0.054639402444906600
lpp14,LB,none,none,0.0,37.0,181,2.071,0.03304120037588690
lpp14,LB,none,none,0.0,37.0,187,2.242,0.016523031878074100
lpp14,acetate,none,none,0.0,37.0,137,0.398,0.0851790301875295
lpp14,acetate,none,none,0.0,37.0,178,0.401,0.12530556558374100
lpp14,acetate,none,none,0.0,37.0,212,0.401,0.07870882461879050
lpp14,ezMOPS,none,none,0.0,37.0,188,2.456,0.07236735348502550
lpp14,glucose,none,none,0.0,37.0,141,0.717,0.014479810197759700
lpp14,glucose,none,none,0.0,37.0,168,0.805,0.3902374027719920
lpp14,glucose,none,none,0.0,37.0,176,0.716,0.15977319510324600
lpp14,glucoseCAA,none,none,0.0,37.0,169,1.152,0.3495879862726100
lpp14,glucoseCAA,none,none,0.0,37.0,180,0.781,0.24832919843664500
lpp14,glycerol,none,none,0.0,37.0,136,0.647,0.02593919846881790
lpp14,glycerol,none,none,0.0,37.0,139,0.654,0.027736667630180500
lpp14,glycerol,none,none,0.0,37.0,170,0.668,0.28880602788595600
lpp14,glycerol,none,none,0.0,37.0,177,0.677,0.12233403303253900
lpp14,sorbitol,none,none,0.0,37.0,138,0.3,0.08603509367298160
lpp14,sorbitol,none,none,0.0,37.0,140,0.313,0.08892161745938630
lpp14,sorbitol,none,none,0.0,37.0,171,0.404,0.223800555719435
lpp14,sorbitol,none,none,0.0,37.0,179,0.287,0.2508249483728110
lpp14,sorbitol,none,none,0.0,37.0,191,0.469,0.13186191531957100
wildtype,LB,none,none,0.0,37.0,117,1.685,0.08999510491179490
wildtype,LB,none,none,0.0,37.0,122,1.795,0.03421811831166600
wildtype,LB,none,none,0.0,37.0,127,1.802,0.0798983561710816
wildtype,LB,none,none,0.0,37.0,130,1.846,0.12087479755976900
wildtype,LB,none,none,0.0,37.0,131,1.74,0.13278818689504900
wildtype,LB,none,none,0.0,37.0,147,2.326,0.04545647519361240
wildtype,LB,none,none,0.0,37.0,224,1.531,0.026489681478159200
wildtype,acetate,none,none,0.0,37.0,15,0.347,0.03590064561302090
wildtype,acetate,none,none,0.0,37.0,98,0.322,0.047311589138320800
wildtype,acetate,none,none,0.0,37.0,99,0.352,0.05181891717272580
wildtype,acetate,none,none,0.0,37.0,100,0.347,0.03590064561302090
wildtype,acetate,none,none,0.0,37.0,101,0.364,0.06815300690155150
wildtype,acetate,none,none,0.0,37.0,102,0.334,0.07638262730215810
wildtype,acetate,none,none,0.0,37.0,103,0.332,0.06495893356879510
wildtype,acetate,none,none,0.0,37.0,109,0.362,0.16025323438745300
wildtype,acetate,none,none,0.0,37.0,110,0.307,0.05607865612932760
wildtype,acetate,none,none,0.0,37.0,112,0.363,0.08901058355247840
wildtype,acetate,none,none,0.0,37.0,115,0.319,0.07815978672100420
wildtype,acetate,none,none,0.0,37.0,121,0.346,0.06489400710386930
wildtype,acetate,none,none,0.0,37.0,126,0.438,0.12087479755976900
wildtype,acetate,none,none,0.0,37.0,129,0.425,0.10915351424846400
wildtype,acetate,none,none,0.0,37.0,148,0.343,0.036589279182308000
wildtype,acetate,none,none,0.0,37.0,149,0.361,0.05960594270893940
wildtype,acetate,none,none,0.0,37.0,150,0.355,0.0572115201300396
wildtype,acetate,none,none,0.0,37.0,156,0.347,0.05192265871403210
wildtype,acetate,none,none,0.0,37.0,158,0.332,0.027296412382153700
wildtype,acetate,none,none,0.0,37.0,229,0.465,0.05377212869752810
wildtype,acetate,none,none,0.0,37.0,250,0.465,0.0657431365792699
wildtype,acetate,none,none,0.0,37.0,251,0.476,0.06234947668967340
wildtype,acetate,none,none,0.0,37.0,252,0.477,0.0474537370209488
wildtype,glucose,meshI,IPTG,100.0,37.0,242,0.613,0.2515785530597570
wildtype,glucose,meshI,IPTG,100.0,37.0,268,0.93,0.07360811508635080
wildtype,glucose,meshI,IPTG,100.0,37.0,269,0.794,0.11544050384088700
wildtype,glucose,meshI,IPTG,100.0,37.0,270,1.004,0.09026549560978430
wildtype,glucose,meshI,none,0.0,37.0,241,0.896,0.22650234067646900
wildtype,glucose,meshI,none,0.0,37.0,265,0.907,0.08282709804976590
wildtype,glucose,meshI,none,0.0,37.0,266,0.928,0.08500884237169960
wildtype,glucose,meshI,none,0.0,37.0,267,1.008,0.0451845529250228
wildtype,glucose,none,cm,1.0,37.0,193,0.829,0.07847305198072070
wildtype,glucose,none,cm,1.0,37.0,208,0.795,0.23433583505176300
wildtype,glucose,none,cm,2.0,37.0,194,0.59,0.07517023030565450
wildtype,glucose,none,cm,2.0,37.0,209,0.394,0.19301256279376200
wildtype,glucose,none,none,0.0,25.0,197,0.433,0.05265468818588920
wildtype,glucose,none,none,0.0,25.0,201,0.359,0.06129849424774400
wildtype,glucose,none,none,0.0,25.0,204,0.371,0.2116121840667450
wildtype,glucose,none,none,0.0,30.0,198,0.659,0.06380013325482200
wildtype,glucose,none,none,0.0,30.0,202,0.562,0.08102479986481270
wildtype,glucose,none,none,0.0,37.0,94,0.799,0.040558901637872000
wildtype,glucose,none,none,0.0,37.0,104,0.94,0.08560599185312800
wildtype,glucose,none,none,0.0,37.0,105,0.905,0.062287158377333100
wildtype,glucose,none,none,0.0,37.0,106,0.901,0.06093180445171430
