date,strain,overexpression,inducer_conc_ng_mL,carbon_source,od_600nm,od_595nm,dilution_factor,culture_volume_mL,extraction_volume_mL,temperature_C,prot_ug_per_biomass,tot_prot_ug_per_biomass,mass_frac
2022-04-15,lpp14,none,0,acetate,0.35724,0.947,2,1,0.4,37,17.624692410828143,385.5808229839822,0.04570946312742402
2022-04-01,lpp14,none,0,acetate,0.34632,0.925,2,1,0.4,37,17.036455521246175,385.5808229839822,0.04418387664978324
2022-06-24,lpp14,none,0,acetate,0.32136,0.897,2,1,0.4,37,16.790628540953765,385.5808229839822,0.043546326840148065
2022-07-20,lpp14,none,0,acetate,0.25116,0.81,2,1,0.4,37,15.245760469797265,385.5808229839822,0.03953972698074407
2022-04-14,lpp14,none,0,glucose,0.4797,0.828,2,1,0.4,37,8.658062001264714,357.5304472620303,0.024216292815250253
2022-04-15,lpp14,none,0,glucose,0.28392,0.717,2,1,0.4,37,7.587929570994844,357.5304472620303,0.0212231703036853
2022-04-01,lpp14,none,0,glucose,0.2301,0.68,2,1,0.4,37,6.467025225526215,357.5304472620303,0.018088040543262043
2022-06-24,lpp14,none,0,glucose,0.40092,0.778,2,1,0.4,37,8.113497987337473,357.5304472620303,0.022693166552585034
2022-07-20,lpp14,none,0,glucose,0.32292,0.749,2,1,0.4,37,8.456046544988848,357.5304472620303,0.02365126273788789
2022-04-14,lpp14,none,0,glucoseCAA,0.546,0.9,2,1,0.4,37,9.98143024112876,,
2022-06-24,lpp14,none,0,glucoseCAA,0.4095,0.805,2,1,0.4,37,9.13085305665921,,
2022-07-20,lpp14,none,0,glucoseCAA,0.3549,0.772,2,1,0.4,37,8.861128671773844,,
2022-04-14,lpp14,none,0,glycerol,0.42276,0.862,2,1,0.4,37,11.272472035373637,361.55585669232767,0.031177677879426928
2022-04-15,lpp14,none,0,glycerol,0.32916,0.759,2,1,0.4,37,8.842837210148462,361.55585669232767,0.024457734666633903
2022-04-01,lpp14,none,0,glycerol,0.35646,0.807,2,1,0.4,37,10.590530987653258,361.55585669232767,0.02929154870990088
2022-06-24,lpp14,none,0,glycerol,0.30576,0.771,2,1,0.4,37,10.226342199875951,361.55585669232767,0.02828426648493828
2022-07-20,lpp14,none,0,glycerol,0.3276,0.788,2,1,0.4,37,10.479076187020782,361.55585669232767,0.028983284306021175
2022-04-14,lpp14,none,0,sorbitol,0.29406,0.833,2,1,0.4,37,14.430093228929533,389.7653391528958,0.03702251529161485
2022-04-15,lpp14,none,0,sorbitol,0.24414,0.855,2,1,0.4,37,19.00341220457643,389.7653391528958,0.048756034197083485
