strain,overexpression,replicate,inducer_conc,carbon_source,ug_prot_per_biomass
wildtype,none,1,0,glycerol,267.1396151572363
wildtype,none,2,0,glycerol,287.92431534877403
wildtype,none,3,0,glycerol,271.30031269226487
wildtype,none,1,0,glucose,293.68575624082234
wildtype,none,2,0,glucose,298.82311640830034
wildtype,none,3,0,glucose,251.9294875809898
wildtype,none,1,0,glucoseCAA,265.4267371928566
wildtype,none,2,0,glucoseCAA,322.6007631293975
wildtype,none,3,0,glucoseCAA,341.30147408939104
wildtype,none,1,0,sorbitol,317.16063811721455
wildtype,none,2,0,sorbitol,275.5551559830981
wildtype,none,3,0,sorbitol,301.80116034966665
wildtype,none,1,0,acetate,294.1385092052223
wildtype,none,2,0,acetate,289.58145219397846
wildtype,none,3,0,acetate,309.69085300950206
wildtype,none,1,0,LB,271.0693308160269
wildtype,none,2,0,LB,252.69884300721313
wildtype,none,3,0,LB,239.78722329151609
wildtype,relA,3,0,glucose,350.4213793992721
wildtype,relA,2,0,glucose,316.4876535770267
wildtype,relA,1,0,glucose,3679.343102879918
wildtype,meshI,1,0,glucose,312.61499690280897
wildtype,meshI,2,0,glucose,302.398968529546
wildtype,meshI,3,0,glucose,318.00387550408294
wildtype,meshI,1,100,glucose,461.5490434428207
wildtype,meshI,2,100,glucose,289.186747400434
wildtype,meshI,3,100,glucose,258.9461160616111
