Protein,Entry,Gene names  (primary ),UniqID,Intensity,Relative_concentration_ECOR2_Glu,Relative_concentration_ECOR51_Glu,Relative_concentration_NCM_Glu,Relative_concentration_ECOR63_Glu,Relative_concentration_AC_Glu,Relative_concentration_ECOR2_Ace,Relative_concentration_ECOR51_Ace,Relative_concentration_NCM_Ace,Relative_concentration_ECOR63_Ace,Relative_concentration_AC_Ace,Relative_concentration_ECOR2_Glu_log2,Relative_concentration_ECOR51_Glu_log2,Relative_concentration_NCM_Glu_log2,Relative_concentration_ECOR63_Glu_log2,Relative_concentration_AC_Glu_log2,Relative_concentration_ECOR2_Ace_log2,Relative_concentration_ECOR51_Ace_log2,Relative_concentration_NCM_Ace_log2,Relative_concentration_ECOR63_Ace_log2,Relative_concentration_AC_Ace_log2,Intensity_1,Intensity_2,Intensity_3,Intensity_4,Intensity_5,Intensity_6,Intensity_7,Intensity_8,Intensity_9,Intensity_10,massfraction_1,massfraction_2,massfraction_3,massfraction_4,massfraction_5,massfraction_6,massfraction_7,massfraction_8,massfraction_9,massfraction_10
EFTU1_ECOLI,P0CE47,tufA,300,85010305311,1.010574032,1.038903112,1.121853574,0.989019188,1.067730533,0.853269586,0.941404582,0.954330474,1.154005683,0.856006725,0.015175014,0.055061115,0.165884385,-0.015929584,0.094547594,-0.228926469,-0.087113221,-0.067439153,0.206650329,-0.224305963,85909207013,88317470771,95369114817,84076823147,90768098578,72536708059,80029090898,81127924936,98102375443,72769393074,0.015773715,0.014574295,0.017091017,0.015013776,0.015956336,0.012878796,0.013234783,0.014476485,0.016836374,0.012498672
METE_ECOLI,P25665,metE,269,52329250033,1.611537599,0.472349153,1.988132787,1.003804639,1.286476945,0.898931373,0.514428593,0.944758829,1.300645301,0.581971318,0.688437848,-1.082074425,0.991414118,0.005478519,0.363425603,-0.153717115,-0.958957261,-0.081981999,0.379227579,-0.780980042,84330553939,24717676913,1.04037E+11,52528343959,67320373715,47040404572,26919662483,49438520983,68061793180,30454122617,0.015483859,0.004078952,0.018644381,0.009380097,0.011834406,0.008351961,0.00445183,0.008821821,0.011680796,0.005230717
CH60_ECOLI,P0A6F5,groEL,398,60537042828,0.89474168,0.975333489,0.874526576,0.941939069,0.837662773,1.127965364,1.10767102,1.045987657,0.968987336,1.11325199,-0.160456872,-0.036032501,-0.193425868,-0.086294356,-0.255558536,0.173722768,0.147529462,0.064865827,-0.045450283,0.15478019,54165015376,59043805183,52941252773,57022205744,50709627147,68283687540,67055127979,63320999579,58659627889,67392983367,0.009945191,0.009743507,0.009487556,0.010182576,0.008914364,0.012123678,0.011089219,0.011299013,0.010067192,0.011575235
RS1_ECOLI,P0AG67,rpsA,255,40929666637,1.321262058,0.744796983,1.029438922,1.102240147,1.214375241,1.031645367,0.734707064,0.969109484,0.959995888,0.985437606,0.401916638,-0.425080866,0.041858235,0.140438581,0.280214283,0.044947123,-0.44475895,-0.045268433,-0.058899868,-0.021163566,54078815567,30484292227,42134591883,45114321790,49703973801,42224900974,30071315189,39665328132,39292311672,40333632707,0.009929364,0.005030568,0.007550904,0.00805616,0.008737578,0.007496975,0.004973033,0.00707789,0.006743364,0.006927595
EFG_ECOLI,P0A6M8,fusA,295,46170594902,1.157286028,0.779653467,1.147175919,1.012535705,1.11300979,0.998065192,0.748106001,1.060277826,1.06921737,0.987365196,0.210745477,-0.359095064,0.198086645,0.017972782,0.154466283,-0.002794042,-0.418685392,0.084442345,0.09655518,-0.018344302,53432584395,35997064381,52965794621,46749375848,51388324133,46081263654,34540499093,48953657979,49366402042,45587238506,0.00981071,0.005940295,0.009491954,0.008348135,0.009033673,0.008181667,0.005712123,0.008735302,0.008472284,0.00782994
G3P1_ECOLI,P0A9B2,gapA,212,50245879108,0.972346493,1.057712879,0.947569266,0.822732112,1.028172053,1.15903929,1.044296994,1.014885568,0.843617154,1.175329607,-0.040457589,0.080948055,-0.077696689,-0.28150534,0.040081703,0.212929472,0.062532067,0.021317068,-0.245339664,0.2330654,48856404347,53145713470,47611450790,41338898260,51661408663,58236948035,52471620493,50993817565,42388285544,59055469355,0.008970482,0.008770194,0.008532407,0.007381974,0.00908168,0.010339892,0.008677476,0.009099348,0.007274697,0.010143206
OMPA_ECOLI,P0A910,ompA,142,38000239530,1.207112142,1.13758124,0.961453043,0.795721727,1.210427655,0.860879083,1.375236747,0.566452436,0.759932048,1.45874749,0.27155971,0.185969578,-0.056711696,-0.329664103,0.275516855,-0.21611748,0.45968,-0.819973274,-0.396057675,0.544730174,45870550520,43228359600,36535445936,30237616215,45996540836,32713611373,52259325793,21525328260,28877599838,55432754053,0.008422252,0.007133616,0.006547486,0.005399595,0.008085839,0.005808258,0.008642368,0.003840984,0.004955987,0.009520979
OMPC_ECOLI,P06996,ompC,154,28427789367,1.582537827,0.448628055,0.683597423,0.471296352,2.043822819,1.44496963,0.752033066,0.479661779,0.466058513,2.337722227,0.662239984,-1.156408254,-0.548781137,-1.08529358,1.031270133,0.531039171,-0.411131998,-1.059910609,-1.101416999,1.225103516,44988051998,12753503843,19433163552,13397913427,58101364607,41077292276,21378637592,13635724023,13249013250,66456275062,0.008260217,0.002104604,0.0034826,0.002392494,0.010213774,0.007293218,0.003535485,0.002433162,0.002273802,0.011414348
IDH_ECOLI,P08200,icd,315,66658603557,0.611979017,0.930944198,1.056314473,1.0865595,0.593530136,0.965990803,0.932767283,1.456111334,1.233881947,0.698047744,-0.708445908,-0.103233402,0.0790394,0.119767179,-0.752606811,-0.049918641,-0.100410908,0.542120668,0.303204369,-0.51860238,40793666648,62055440199,70412447679,72428538982,39563890061,64391597989,62176964530,97062348129,82248847515,46530887829,0.00749009,0.010240492,0.012618554,0.012933717,0.006955029,0.011432642,0.010282494,0.017319827,0.014115584,0.007992018
RL2_ECOLI,P60422,rplB,121,21109846750,1.888633109,0.378927229,1.515378344,1.292928388,1.069026026,0.930877358,0.456254377,0.963505814,1.051623687,0.753818149,0.917342467,-1.40000728,0.599678035,0.37064237,0.096296977,-0.103336989,-1.132089694,-0.053634723,0.072618543,-0.407711566,39868755499,7999095742,31989404601,27293520120,22566975591,19650678363,9631459986,20339460071,22199614871,15912985593,0.007320267,0.001320024,0.005732794,0.004873862,0.003967101,0.003488952,0.001592799,0.003629378,0.003809908,0.002733171
DNAK_ECOLI,P0A6Y8,dnaK,327,41582146550,0.933592466,0.858456813,1.047492873,0.82058769,0.888313782,1.118849584,1.093001517,1.093759078,0.863385993,1.379567192,-0.099135176,-0.220182538,0.066940428,-0.285270583,-0.17085872,0.162016097,0.128295403,0.129294991,-0.211922408,0.464215725,38820778745,35696476988,43557002162,34121797571,36937993880,46524167381,45449349263,45480850274,35901442873,57365365140,0.007127849,0.005890692,0.007805813,0.006093202,0.006493416,0.008260304,0.007516171,0.008115613,0.006161422,0.009852919
RPOB_ECOLI,P0A8V2,rpoB,523,41923934570,0.888157757,0.938576918,1.002868257,1.034243533,1.116452264,0.946316489,0.945513286,0.941169594,1.057332251,1.059359351,-0.17111214,-0.091453114,0.004132097,0.048575936,0.158921567,-0.079605331,-0.080830364,-0.087473383,0.080428793,0.083192057,37235067685,39348837296,42044183177,43359558202,46806071658,39673310571,39639637137,39457532461,44327528105,44412512136,0.006836698,0.00649341,0.007534702,0.007742808,0.008228149,0.007043943,0.006555391,0.007040811,0.00760751,0.007628172
RS4_ECOLI,P0A7V8,rpsD,118,30091262850,1.234640901,0.780053868,1.340075739,1.04123353,1.145896854,0.886645101,0.817328844,0.965358953,1.079104719,0.948937895,0.304091491,-0.35835434,0.422314542,0.058293676,0.196477188,-0.173571345,-0.291011445,-0.05086261,0.109834874,-0.075614424,37151903875,23472805965,40324571306,31332031847,34481483422,26680270786,24594457090,29048869992,32471623741,28554739632,0.006821429,0.003873521,0.007226532,0.005595027,0.00606158,0.004737047,0.0040673,0.005183487,0.005572795,0.004904484
RPOC_ECOLI,P0A8T7,rpoC,465,37608968070,0.975918387,0.968002262,0.795106917,1.073768111,1.146951401,0.989320907,0.892105209,0.953368619,1.02324583,1.060687199,-0.03516759,-0.046917677,-0.330779225,0.102682465,0.197804262,-0.01548953,-0.164714233,-0.068893956,0.033152787,0.084999262,36703283463,36405566146,29903150644,40383310590,43135658612,37207338397,33551156323,35855209965,38483219746,39891351004,0.006739058,0.006007707,0.005358918,0.007211333,0.007582918,0.006606113,0.005548511,0.006398012,0.006604507,0.00685163
TIG_ECOLI,P0A850,tig,258,29190103597,1.246826916,0.840576572,1.355102895,1.015977027,1.146327321,0.892960756,0.850308389,0.936671998,1.079311757,0.866266723,0.318261204,-0.250548848,0.438402401,0.022867781,0.197019048,-0.163331321,-0.233941924,-0.094384159,0.110111645,-0.207116797,36395006836,24536517218,39555593878,29656474673,33461413257,26065616987,24820589960,27341552662,31505222008,25286415385,0.006682455,0.004049057,0.007088724,0.005295819,0.00588226,0.004627916,0.004104697,0.004878833,0.00540694,0.004343126
ODP1_ECOLI,P0AFG8,aceE,280,30756307040,1.180922614,1.03887484,1.426096924,0.963175073,1.19316027,0.908837922,0.89409263,0.799184057,0.9712477,0.871394907,0.239914427,0.055021854,0.512072038,-0.05413004,0.254787845,-0.137905061,-0.161503789,-0.323400292,-0.042088817,-0.198601414,36320818493,31951953565,43861474875,29623708274,36697203620,27952498177,27498987450,24579950240,29871992482,26800889300,0.006668834,0.005272764,0.007860377,0.005289968,0.006451087,0.004962929,0.004547636,0.004386052,0.005126645,0.004603248
GLYA_ECOLI,P0A825,glyA,188,34203733263,0.993756923,0.717607241,1.014245847,0.90160129,1.103515491,1.222870913,0.86926678,1.098916306,1.022949302,1.078667065,-0.009035089,-0.478733647,0.020407396,-0.149438515,0.142106882,0.29027212,-0.202129083,0.136081514,0.032734646,0.10924964,33990196728,24544846658,34690994430,30838130045,37744349511,41826750525,29732169080,37587040218,34988685069,36894440570,0.00624091,0.004050431,0.006216943,0.00550683,0.006635167,0.007426284,0.004916947,0.00670704,0.006004774,0.006336888
ASSY_ECOLI,P0A6E4,argG,174,17862647433,1.780323062,0.9153034,1.911497321,0.762777797,1.527500319,1.027571961,0.719106946,0.872617935,0.766866461,0.640536547,0.83213906,-0.127678055,0.934703178,-0.390665244,0.611172681,0.03923943,-0.475721751,-0.196577969,-0.382952721,-0.642647206,31801283181,16349741928,34144402711,13625230863,27285199651,18355155655,12845153835,15587266521,13698265215,11441678508,0.005839006,0.002698062,0.006118989,0.002433086,0.004796529,0.003258933,0.002124263,0.002781395,0.002350902,0.001965191
RL1_ECOLI,P0A7L0,rplA,126,22135421952,1.412886487,0.815086326,1.509409436,1.063388783,1.112995577,0.856322795,0.828530772,0.949882265,1.038414577,0.775075427,0.498645562,-0.294975231,0.593984199,0.088669154,0.154447859,-0.223773364,-0.271372814,-0.074179389,0.05438254,-0.36759138,31274838555,18042279759,33411414773,23538559419,24636626719,18955066404,18339878243,21026044730,22985744815,17156621625,0.005742346,0.002977367,0.005987631,0.00420333,0.00433093,0.003365447,0.003032951,0.003751892,0.003944824,0.002946775
CARB_ECOLI,P00968,carB,296,24506328250,1.212599054,0.769075549,1.243314828,0.987079887,1.28839719,1.207729409,0.695515047,0.931700859,0.969326552,0.859500218,0.278102602,-0.378802769,0.314191657,-0.018761245,0.365577419,0.272297257,-0.523846368,-0.102061272,-0.044945325,-0.21843009,29716350451,18847217844,30469081288,24189703709,31573884455,29597013345,17044520049,22832567070,23754634657,21063194462,0.005456193,0.003110199,0.005460338,0.004319607,0.005550447,0.00525491,0.002818732,0.004074248,0.004076781,0.003617757
ATPA_ECOLI,P0ABB0,atpA,241,40807146383,0.726377415,1.032513176,0.86847772,1.198234336,0.833323964,0.894573,0.947413027,1.10101804,1.234006703,0.771829755,-0.461208749,0.046160192,-0.203439256,0.260910081,-0.263050627,-0.16072888,-0.077934585,0.138838107,0.303350231,-0.373645433,29641389508,42133916298,35440097465,48896523965,34005572965,36504971342,38661222094,44929404330,50356292148,31496169780,0.00544243,0.006953009,0.006351189,0.008731556,0.005977919,0.006481409,0.006393586,0.008017213,0.008642169,0.005409696
PT1_ECOLI,P08839,ptsI,194,22817961720,1.289760177,0.743313238,1.449225096,0.655459999,1.478548742,1.202515163,0.838256379,0.897535401,0.688785929,1.433232898,0.36710283,-0.427957793,0.535281694,-0.609420355,0.564181804,0.266055086,-0.254536539,-0.155959252,-0.537872423,0.519273064,29429698347,16960893011,33068362767,14956261168,33737468592,27438944968,19127301959,20479928419,15716690971,32703453407,0.005403561,0.002798915,0.005926153,0.002670771,0.005930788,0.004871748,0.003163171,0.003654443,0.002697306,0.005617056
EFTS_ECOLI,P0A6P1,tsf,182,26739638130,1.097994834,0.695867133,1.134982226,1.178711523,1.158442183,0.921812973,0.741636472,0.929718671,1.223621688,0.906998748,0.134871266,-0.523116227,0.182669705,0.237210677,0.212186042,-0.117454023,-0.4312159,-0.105133866,0.291157583,-0.140827536,29359984520,18607235322,30349014000,31518319575,30976324755,24648945328,19831090893,24860340835,32719201149,24252818304,0.005390761,0.003070597,0.005438821,0.005628293,0.0054454,0.004376387,0.00327956,0.004436085,0.005615284,0.004165598
TALB_ECOLI,P0A870,talB,127,18610477500,1.576255784,0.797999515,1.100806728,0.961689918,0.822180417,1.36268093,0.936611704,1.075052718,1.025807263,0.565605434,0.656501664,-0.325540225,0.138561193,-0.056356301,-0.282473085,0.446447797,-0.094477028,0.104407408,0.036759691,-0.822132115,29334872802,14851152019,20486538851,17897508580,15301170159,25360142793,17430791047,20007244421,19090762990,10526187195,0.00538615,0.002450762,0.003671375,0.003195996,0.002689828,0.00450266,0.002882611,0.003570097,0.003276365,0.001807949
GLTB_ECOLI,P09831,gltB,266,16482630600,1.715117578,0.502517148,1.801118825,0.916048794,1.767003815,0.96228223,0.498553435,0.949011202,0.855426802,0.797555293,0.778307482,-0.992755268,0.848893363,-0.126503648,0.821305154,-0.055468007,-1.004179955,-0.075502978,-0.225283685,-0.326343553,28269649475,8282804513,29687176262,15098893887,29124871146,15860942535,8217472096,15642201082,14099683979,13145809284,0.005190566,0.001366842,0.005320213,0.002696241,0.005119929,0.002816089,0.001358962,0.002791198,0.002419794,0.002257888
ILVC_ECOLI,P05793,ilvC,284,53030269133,0.52285838,0.339396328,0.558304436,1.884099837,0.549513245,0.753264101,0.603627289,1.096561449,2.089826345,0.446968381,-0.935507859,-1.55895714,-0.840876075,0.913875414,-0.863773839,-0.408772319,-0.728270066,0.13298666,1.063383066,-1.161755317,27727320624,17998278605,29607034524,99914321421,29140835293,39945798014,32010517589,58150948764,1.10824E+11,23702853547,0.005090989,0.002970106,0.005305851,0.017841912,0.005122735,0.007092323,0.005293728,0.010376468,0.019019665,0.004071137
RS5_ECOLI,P0A7W1,rpsE,139,23314599300,1.185372026,0.818293635,1.296787577,1.014352137,1.184873919,0.895449887,0.844015547,0.926818756,1.052674122,1.020854847,0.245339917,-0.289309464,0.374942175,0.020558577,0.244733552,-0.1593154,-0.244658521,-0.109640854,0.074058888,0.029777747,27636473811,19078188216,30234082736,23649213620,27624860637,20877055302,19677884283,21608407926,24542675344,23800821702,0.005074309,0.003148314,0.005418224,0.00422309,0.004856239,0.003706693,0.003254223,0.003855809,0.004212025,0.004087964
RL9_ECOLI,P0A7R1,rplI,83,22005550867,1.249546763,0.861397409,1.359415444,1.013037365,1.211485044,0.857785477,0.866795834,0.904617145,0.999453122,0.95968793,0.321404894,-0.215249111,0.442986418,0.018687387,0.276776595,-0.221311205,-0.206235876,-0.144620756,-0.000789195,-0.059362746,27496964862,18955524501,29914685707,22292445261,26659395767,18876041940,19074319812,19906598589,21993516504,21118461560,0.005048694,0.003128072,0.005360985,0.003980809,0.004686517,0.003351416,0.003154409,0.003552138,0.003774537,0.003627249
ATPB_ECOLI,P0ABB4,atpD,330,36255415380,0.746951649,1.030857884,0.928190547,1.139090123,0.838501455,0.878541887,0.967465315,1.048005804,1.25103039,0.784385965,-0.420913236,0.043845454,-0.10750709,0.187881895,-0.254114807,-0.186817022,-0.047718155,0.067646707,0.323116835,-0.350364374,27081042309,37374180787,33651933845,41298185551,30400218563,31851901052,35075856860,37995885759,45356626432,28438238962,0.004972327,0.006167549,0.006030734,0.007374704,0.005344125,0.005655263,0.005800658,0.006779994,0.007784125,0.004884474
