gene_name,b_number,condition,cog_class,cog_category,cog_letter,gene_product,growth_rate_hr,dataset_name,strain,mass_frac,go_terms,cog_desc
isph,b0029,M9_glucose,metabolism,lipid transport and metabolism,I,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,0.6931471805599453,Soufi et al. 2015,BW25113,5.005967487724694e-05,GO:0016114; GO:0051539; GO:0005829; GO:0016491; GO:0050992; GO:0019288; GO:0055114; GO:0051745; GO:0051538; GO:0051536; GO:0046872; GO:0008299; GO:0042380,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)
upps,b0174,M9_glucose,metabolism,lipid transport and metabolism,I,"ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]",0.6931471805599453,Soufi et al. 2015,BW25113,8.428943375042207e-06,GO:0030145; GO:0004659; GO:0042803; GO:0002094; GO:0071555; GO:0046872; GO:0016765; GO:0016740; GO:0005829; GO:0000287; GO:0051301; GO:0009252; GO:0008360; GO:0007049; GO:0016094; GO:0008834; GO:0043164; GO:0005737,Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)
phoe,b0241,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,outer membrane porin PhoE,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0034220; GO:0015288; GO:0046930; GO:0016021; GO:0016020; GO:0006811; GO:0009279,outer membrane phosphoporin protein E
malz,b0403,M9_glucose,metabolism,carbohydrate transport and metabolism,G,maltodextrin glucosidase,0.6931471805599453,Soufi et al. 2015,BW25113,4.414247629511558e-06,GO:0090599; GO:0016798; GO:0016787; GO:0008152; GO:0005975; GO:0004553; GO:0003824; GO:0005829; GO:0032450; GO:0051692; GO:0000023; GO:0004558; GO:0030980; GO:0005737,alpha-glucosidase (EC:3.2.1.20)
fes,b0585,M9_glucose,metabolism,inorganic ion transport and metabolism,P,ferric enterobactin esterase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0005021651713660507,GO:0005623; GO:0033214; GO:0006826; GO:0006811; GO:0005506; GO:0005829; GO:0046214; GO:0055072; GO:0008849; GO:0005737,enterobactin/ferric enterobactin esterase
ente,b0594,M9_glucose,metabolism,"secondary metabolites biosynthesis, transport, and catabolism",Q,"2,3-dihydroxybenzoate-AMP ligase",0.6931471805599453,Soufi et al. 2015,BW25113,0.0005995760053121314,GO:0016020; GO:0047527; GO:0019290; GO:0016740; GO:0003824; GO:0005829; GO:0005524; GO:0000166; GO:0016874; GO:0016746; GO:0008668; GO:0009239,"2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex"
tate,b0627,M9_glucose,Not Assigned,Not Assigned,Not Assigned,twin arginine protein translocation system - TatE protein,0.6931471805599453,Soufi et al. 2015,BW25113,5.975026422672284e-06,GO:0008320; GO:0065002; GO:0016020; GO:0005886; GO:0043953; GO:0005887; GO:0033281; GO:0016021; GO:0015031,Not Assigned
kdpb,b0697,M9_glucose,metabolism,inorganic ion transport and metabolism,P,K+ transporting P-type ATPase subunit KdpB,0.6931471805599453,Soufi et al. 2015,BW25113,3.888532256300015e-06,GO:0000287; GO:0005887; GO:0031004; GO:0098655; GO:0071805; GO:0005515; GO:0016020; GO:0006811; GO:0005886; GO:0046872; GO:0016021; GO:0006813; GO:0005524; GO:0000166; GO:0008556,"potassium translocating ATPase, subunit B"
suca,b0726,M9_glucose,metabolism,energy production and conversion,C,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0016278508882629373,GO:0000166; GO:0045252; GO:0000287; GO:0042802; GO:0005515; GO:0016624; GO:0016491; GO:0030976; GO:0006099; GO:0055114; GO:0005829; GO:0004591,2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)
sucb,b0727,M9_glucose,metabolism,energy production and conversion,C,"SucB-dihydrolipoate // ""SucB-S-succinyldihydrolipoate"" // ""SucB-lipoate"" // ""dihydrolipoyltranssuccinylase""",0.6931471805599453,Soufi et al. 2015,BW25113,0.0006934703667428508,GO:0005829; GO:0005515; GO:0016746; GO:0016740; GO:0033512; GO:0045252; GO:0031405; GO:0006099; GO:0004149,2-oxoglutarate dehydrogenase E2 component (EC 2.3.1.61)
faba,b0954,M9_glucose,metabolism,lipid transport and metabolism,I,&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0005034321638237963,GO:0008659; GO:0004317; GO:0019171; GO:0005829; GO:0006629; GO:0042803; GO:0047451; GO:0034017; GO:0016853; GO:0006631; GO:0008610; GO:0016829; GO:0006633; GO:0005737; GO:0008693,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)
