strain,carbon_source,date,inducer_conc,replicate,entry,name,synonyms,intensity,norm_intensity,common_intensity,mass_frac
meshI,glucoseCAA,2024-08-27,100,1,3PASE_ECOLI,ygiF,b3054 JW3026,7.844089939229973e-05,0.9331074005050242,96174600.0,7.844089939229973e-05
meshI,glucoseCAA,2024-08-27,0,1,3PASE_ECOLI,ygiF,b3054 JW3026,7.854995168907243e-05,0.925637316884469,96174600.0,7.854995168907243e-05
relA,glucoseCAA,2024-08-27,0,1,3PASE_ECOLI,ygiF,b3054 JW3026,8.143641717926112e-05,0.9523116596604112,96174600.0,8.143641717926113e-05
relA,glucoseCAA,2024-08-27,2,1,3PASE_ECOLI,ygiF,b3054 JW3026,9.249126680838685e-05,1.060870697409667,96174600.0,9.249126680838683e-05
relA,glucoseCAA,2024-08-27,4,1,3PASE_ECOLI,ygiF,b3054 JW3026,9.402645817996878e-05,1.0691484362468746,96174600.0,9.402645817996878e-05
meshI,glucoseCAA,2024-08-27,100,2,3PASE_ECOLI,ygiF,b3054 JW3026,7.778404810672757e-05,0.9101736411291425,96174600.0,7.778404810672759e-05
meshI,glucoseCAA,2024-08-27,0,2,3PASE_ECOLI,ygiF,b3054 JW3026,7.834832440651874e-05,0.92552789614604,96174600.0,7.834832440651875e-05
relA,glucoseCAA,2024-08-27,0,2,3PASE_ECOLI,ygiF,b3054 JW3026,8.487868171312491e-05,1.001793417317237,96174600.0,8.48786817131249e-05
relA,glucoseCAA,2024-08-27,2,2,3PASE_ECOLI,ygiF,b3054 JW3026,8.589282265461549e-05,0.974253608474656,96174600.0,8.58928226546155e-05
relA,glucoseCAA,2024-08-27,4,2,3PASE_ECOLI,ygiF,b3054 JW3026,0.0001113827789133,1.2406307131541474,96174600.0,0.00011138277891337904
meshI,glucoseCAA,2024-08-27,100,1,5DNU_ECOLI,yfbR,b2291 JW2288,5.839296905645744e-06,0.6643643891724139,10055500.0,5.8392969056457434e-06
meshI,glucoseCAA,2024-08-27,0,1,5DNU_ECOLI,yfbR,b2291 JW2288,6.791176370426272e-06,0.7654144561560539,10055500.0,6.791176370426271e-06
relA,glucoseCAA,2024-08-27,0,1,5DNU_ECOLI,yfbR,b2291 JW2288,8.093728667518697e-06,0.9052443077901,10055500.0,8.093728667518697e-06
relA,glucoseCAA,2024-08-27,2,1,5DNU_ECOLI,yfbR,b2291 JW2288,8.951536273869656e-06,0.9820102485678186,10055500.0,8.951536273869656e-06
relA,glucoseCAA,2024-08-27,4,1,5DNU_ECOLI,yfbR,b2291 JW2288,1.4310128924792197e-05,1.5562816353717814,10055500.0,1.4310128924792195e-05
meshI,glucoseCAA,2024-08-27,100,2,5DNU_ECOLI,yfbR,b2291 JW2288,7.475445054540337e-06,0.836618540416293,10055500.0,7.475445054540337e-06
meshI,glucoseCAA,2024-08-27,0,2,5DNU_ECOLI,yfbR,b2291 JW2288,8.234942115282995e-06,0.9304157844041544,10055500.0,8.234942115282995e-06
relA,glucoseCAA,2024-08-27,0,2,5DNU_ECOLI,yfbR,b2291 JW2288,6.786286941616082e-06,0.7660700525070014,10055500.0,6.786286941616083e-06
relA,glucoseCAA,2024-08-27,2,2,5DNU_ECOLI,yfbR,b2291 JW2288,1.0173082249602678e-05,1.1036323500787513,10055500.0,1.0173082249602678e-05
relA,glucoseCAA,2024-08-27,4,2,5DNU_ECOLI,yfbR,b2291 JW2288,1.3473609679686703e-05,1.4353742793013504,10055500.0,1.3473609679686705e-05
meshI,glucoseCAA,2024-08-27,100,1,6PGD_ECOLI,gnd,b2029 JW2011,0.0026023627359218,0.8577775514753042,3470904090.0,0.00260236273592181
meshI,glucoseCAA,2024-08-27,0,1,6PGD_ECOLI,gnd,b2029 JW2011,0.0028317706573937,0.9246359723724398,3470904090.0,0.002831770657393743
relA,glucoseCAA,2024-08-27,0,1,6PGD_ECOLI,gnd,b2029 JW2011,0.0029389673697361,0.9522982428899976,3470904090.0,0.0029389673697361946
relA,glucoseCAA,2024-08-27,2,1,6PGD_ECOLI,gnd,b2029 JW2011,0.0032192133305056,1.0231263244801407,3470904090.0,0.003219213330505683
relA,glucoseCAA,2024-08-27,4,1,6PGD_ECOLI,gnd,b2029 JW2011,0.0035706917901358,1.1250143662740504,3470904090.0,0.003570691790135814
meshI,glucoseCAA,2024-08-27,100,2,6PGD_ECOLI,gnd,b2029 JW2011,0.0027755963947454,0.8999280797557053,3470904090.0,0.002775596394745492
meshI,glucoseCAA,2024-08-27,0,2,6PGD_ECOLI,gnd,b2029 JW2011,0.002996176449829,0.9807198419250692,3470904090.0,0.0029961764498290314
relA,glucoseCAA,2024-08-27,0,2,6PGD_ECOLI,gnd,b2029 JW2011,0.0030218015357613,0.9882418946760716,3470904090.0,0.0030218015357613066
relA,glucoseCAA,2024-08-27,2,2,6PGD_ECOLI,gnd,b2029 JW2011,0.0030207580673965,0.9493992134606776,3470904090.0,0.003020758067396568
relA,glucoseCAA,2024-08-27,4,2,6PGD_ECOLI,gnd,b2029 JW2011,0.003805577537192,1.1745265270165095,3470904090.0,0.0038055775371920236
meshI,glucoseCAA,2024-08-27,100,1,6PGL_ECOLI,pgl,ybhE b0767 JW0750,0.0003432790345302,0.9506952692127788,413100200.0,0.00034327903453021494
meshI,glucoseCAA,2024-08-27,0,1,6PGL_ECOLI,pgl,ybhE b0767 JW0750,0.0003421898589326,0.9387869648079508,413100200.0,0.0003421898589326273
relA,glucoseCAA,2024-08-27,0,1,6PGL_ECOLI,pgl,ybhE b0767 JW0750,0.0003473982915949,0.9457864876859448,413100200.0,0.00034739829159495327
relA,glucoseCAA,2024-08-27,2,1,6PGL_ECOLI,pgl,ybhE b0767 JW0750,0.0003351117902689,0.8948627234183752,413100200.0,0.0003351117902689821
relA,glucoseCAA,2024-08-27,4,1,6PGL_ECOLI,pgl,ybhE b0767 JW0750,0.000402200839962,1.06472115834306,413100200.0,0.0004022008399620645
meshI,glucoseCAA,2024-08-27,100,2,6PGL_ECOLI,pgl,ybhE b0767 JW0750,0.0003570496649438,0.9726740423674112,413100200.0,0.0003570496649438875
meshI,glucoseCAA,2024-08-27,0,2,6PGL_ECOLI,pgl,ybhE b0767 JW0750,0.0003593710720156,0.9883434740573538,413100200.0,0.00035937107201567607
relA,glucoseCAA,2024-08-27,0,2,6PGL_ECOLI,pgl,ybhE b0767 JW0750,0.0003517090973317,0.9664249496253794,413100200.0,0.0003517090973317507
relA,glucoseCAA,2024-08-27,2,2,6PGL_ECOLI,pgl,ybhE b0767 JW0750,0.0003700822109601,0.9772784933985844,413100200.0,0.00037008221096016366
relA,glucoseCAA,2024-08-27,4,2,6PGL_ECOLI,pgl,ybhE b0767 JW0750,0.0004614401966975,1.196588670885785,413100200.0,0.000461440196697508
meshI,glucoseCAA,2024-08-27,100,1,A2MG_ECOLI,yfhM,b2520 JW2504,2.2602071103863216e-05,0.8309525960634919,31118700.0,2.260207110386322e-05
meshI,glucoseCAA,2024-08-27,0,1,A2MG_ECOLI,yfhM,b2520 JW2504,2.392525786990904e-05,0.8713457209395434,31118700.0,2.392525786990904e-05
relA,glucoseCAA,2024-08-27,0,1,A2MG_ECOLI,yfhM,b2520 JW2504,2.708315948422228e-05,0.9788107112115224,31118700.0,2.7083159484222288e-05
relA,glucoseCAA,2024-08-27,2,1,A2MG_ECOLI,yfhM,b2520 JW2504,2.930470699720709e-05,1.0388146180858462,31118700.0,2.930470699720709e-05
relA,glucoseCAA,2024-08-27,4,1,A2MG_ECOLI,yfhM,b2520 JW2504,3.1847624641615764e-05,1.1191902464241623,31118700.0,3.184762464161576e-05
meshI,glucoseCAA,2024-08-27,100,2,A2MG_ECOLI,yfhM,b2520 JW2504,2.5054447786842105e-05,0.9060611115223048,31118700.0,2.5054447786842105e-05
meshI,glucoseCAA,2024-08-27,0,2,A2MG_ECOLI,yfhM,b2520 JW2504,2.807928441460629e-05,1.0251437755882014,31118700.0,2.8079284414606297e-05
relA,glucoseCAA,2024-08-27,0,2,A2MG_ECOLI,yfhM,b2520 JW2504,2.62015361649403e-05,0.9557520650460112,31118700.0,2.620153616494031e-05
relA,glucoseCAA,2024-08-27,2,2,A2MG_ECOLI,yfhM,b2520 JW2504,3.128733782970864e-05,1.0967880310985827,31118700.0,3.1287337829708646e-05
relA,glucoseCAA,2024-08-27,4,2,A2MG_ECOLI,yfhM,b2520 JW2504,3.4610523806147364e-05,1.1914384030033625,31118700.0,3.4610523806147364e-05
meshI,glucoseCAA,2024-08-27,100,1,AAS_ECOLI,aas,b2836 JW2804,5.24572927462536e-06,1.065463828175983,5632700.0,5.24572927462536e-06
meshI,glucoseCAA,2024-08-27,0,1,AAS_ECOLI,aas,b2836 JW2804,4.045301049950002e-06,0.8139346688720213,5632700.0,4.045301049950002e-06
relA,glucoseCAA,2024-08-27,0,1,AAS_ECOLI,aas,b2836 JW2804,4.752848224395525e-06,0.9489823970805678,5632700.0,4.752848224395525e-06
relA,glucoseCAA,2024-08-27,2,1,AAS_ECOLI,aas,b2836 JW2804,5.217655676595786e-06,1.0218353181695805,5632700.0,5.217655676595787e-06
relA,glucoseCAA,2024-08-27,4,1,AAS_ECOLI,aas,b2836 JW2804,4.722823840055692e-06,0.9169242151383143,5632700.0,4.722823840055691e-06
